country,fuel_id,ef_kgco2_per_tj,basis,year,source_key,source_url,table_reference,document_value,conversion,quote,source_id,note,accessed_date
ID,sub_bituminous,99718,national,2020,id_esdm_energy_inventory_2020,https://www.esdm.go.id/assets/media/content/content-inventarisasi-emisi-gas-rumah-kaca-sektor-energi-tahun-2020.pdf,Tabel 1,99.718,kg_co2_per_tj,"l (IDO) 74.100 74.067 Residual Fuel Oil (RFO) 77.400 75.167 Batubara 96.100 99.718 Gas Alam 56.100 57.600 Sumber: - 2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 2 - Puslitbang Lemigas, 2019 - Puslitbang Tekmira, 2018 11 2.2 Penghitungan Emisi GRK Sektor Energi Secara umum, persa",national_inventory_documents,"one local coal factor, applied to every coal rank",2026-09-07
ID,lignite,99718,national,2020,id_esdm_energy_inventory_2020,https://www.esdm.go.id/assets/media/content/content-inventarisasi-emisi-gas-rumah-kaca-sektor-energi-tahun-2020.pdf,Tabel 1,99.718,kg_co2_per_tj,"l (IDO) 74.100 74.067 Residual Fuel Oil (RFO) 77.400 75.167 Batubara 96.100 99.718 Gas Alam 56.100 57.600 Sumber: - 2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 2 - Puslitbang Lemigas, 2019 - Puslitbang Tekmira, 2018 11 2.2 Penghitungan Emisi GRK Sektor Energi Secara umum, persa",national_inventory_documents,"one local coal factor, applied to every coal rank",2026-09-07
ID,natural_gas,57600,national,2020,id_esdm_energy_inventory_2020,https://www.esdm.go.id/assets/media/content/content-inventarisasi-emisi-gas-rumah-kaca-sektor-energi-tahun-2020.pdf,Tabel 1,57.600,kg_co2_per_tj,"esidual Fuel Oil (RFO) 77.400 75.167 Batubara 96.100 99.718 Gas Alam 56.100 57.600 Sumber: - 2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 2 - Puslitbang Lemigas, 2019 - Puslitbang Tekmira, 2018 11 2.2 Penghitungan Emisi GRK Sektor Energi Secara umum, persamaan untuk menghitung e",national_inventory_documents,from Puslitbang Lemigas' 2019 study,2026-09-07
ID,residual_fuel_oil,75167,national,2020,id_esdm_energy_inventory_2020,https://www.esdm.go.id/assets/media/content/content-inventarisasi-emisi-gas-rumah-kaca-sektor-energi-tahun-2020.pdf,Tabel 1,75.167,kg_co2_per_tj,"DO) 74.100 74.433 Industrial Diesel Oil (IDO) 74.100 74.067 Residual Fuel Oil (RFO) 77.400 75.167 Batubara 96.100 99.718 Gas Alam 56.100 57.600 Sumber: - 2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 2 - Puslitbang Lemigas, 2019 - Puslitbang Tekmira, 2018 11 2.2 Penghitungan Emisi GRK Sektor En",national_inventory_documents,,2026-09-07
ID,gas_diesel_oil,74433,national,2020,id_esdm_energy_inventory_2020,https://www.esdm.go.id/assets/media/content/content-inventarisasi-emisi-gas-rumah-kaca-sektor-energi-tahun-2020.pdf,Tabel 1,74.433,kg_co2_per_tj,9.300 72.967 Avtur 71.500 73.333 Minyak Tanah 71.900 73.700 Automotive Diesel Oil (ADO) 74.100 74.433 Industrial Diesel Oil (IDO) 74.100 74.067 Residual Fuel Oil (RFO) 77.400 75.167 Batubara 96.100 99.718 Gas Alam 56.100 57.600 Sumber: - 2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 2 - Puslitbang,national_inventory_documents,,2026-09-07
CN,bituminous,97900,national,2025,cn_provincial_inventory_guide_2025,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202508/W020250805356955461420.pdf,表2.2,26.7,tc_per_tj,燃料 油 石油 焦 液化 石油 气 炼厂 干气 其 他 石 油 制 品 天然 气 液化 天然 气 单位 热值 含碳 量 电力和热力、建筑业、服务业、居民生活:26.7 12.1 12.1 22 20.0 18.9 19.5 19.6 20.2 21.2 26.6 17.2 15.7 20 15.3 15.3 26.8-27.5 25.8 26.1-26.7 27.2 25.2 25.4 26.6 31.6 29.2 注:电力和热力行业用煤指全社会所有公用和自备燃煤电厂、热电联产发电及其供热所消费的煤炭 32 表2.3 固定源分行业、分燃料品种CH4缺省排放因子(kg/TJ) 无烟煤 炼焦烟煤 一般烟,national_inventory_documents,"the guideline states one carbon content for all coal burnt in electricity and heat generation, 26.7 tC/TJ on a net calorific value basis, which is 97,900 kg CO2/TJ at 44/12; the guideline pairs it with a 99 per cent oxidation rate for power boilers, which would give 96,921 - not applied here, because the IPCC factors this model compares against assume complete oxidation",2026-09-07
CN,anthracite,97900,national,2025,cn_provincial_inventory_guide_2025,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202508/W020250805356955461420.pdf,表2.2,26.7,tc_per_tj,燃料 油 石油 焦 液化 石油 气 炼厂 干气 其 他 石 油 制 品 天然 气 液化 天然 气 单位 热值 含碳 量 电力和热力、建筑业、服务业、居民生活:26.7 12.1 12.1 22 20.0 18.9 19.5 19.6 20.2 21.2 26.6 17.2 15.7 20 15.3 15.3 26.8-27.5 25.8 26.1-26.7 27.2 25.2 25.4 26.6 31.6 29.2 注:电力和热力行业用煤指全社会所有公用和自备燃煤电厂、热电联产发电及其供热所消费的煤炭 32 表2.3 固定源分行业、分燃料品种CH4缺省排放因子(kg/TJ) 无烟煤 炼焦烟煤 一般烟,national_inventory_documents,the power and heat value covers every coal rank; the rank-specific values in the row below it (anthracite 26.8-27.5 tC/TJ) apply to other sectors,2026-09-07
CN,natural_gas,56100,national_adopted,2025,cn_provincial_inventory_guide_2025,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202508/W020250805356955461420.pdf,表2.2,15.3,tc_per_tj,量 电力和热力、建筑业、服务业、居民生活:26.7 12.1 12.1 22 20.0 18.9 19.5 19.6 20.2 21.2 26.6 17.2 15.7 20 15.3 15.3 26.8-27.5 25.8 26.1-26.7 27.2 25.2 25.4 26.6 31.6 29.2 注:电力和热力行业用煤指全社会所有公用和自备燃煤电厂、热电联产发电及其供热所消费的煤炭 32 表2.3 固定源分行业、分燃料品种CH4缺省排放因子(kg/TJ) 无烟煤 炼焦烟煤 一般烟煤 褐煤 洗精 煤 其他 洗煤 型煤 煤矸 石 焦 炭 焦炉 煤气 其他 煤气 其他焦 化产品 原 油 汽 油 喷气 煤油 其他 煤油 柴 油,national_inventory_documents,"the guideline's carbon content for natural gas is 15.3 tC/TJ, which is 56,100 kg CO2/TJ and identical to the IPCC default, so the factor is the country's adopted value rather than a measured one",2026-09-07
TW,bituminous,94600,national_adopted,2024,tw_moenv_ef_2024,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.pdf,附表一,"94,600",kg_co2_per_tj,".6 無煙煤 Anthracite 98,300 1 1.5 煉焦煤 Coking Coal 94,600 1 1.5 其他煙煤 Other Bituminous Coal 94,600 1 1.5 亞煙煤 Sub-Bituminous Coal 96,100 1 1.5 褐煤 Lignite 101,000 1 1.5 油頁岩/焦油砂 Oil Shale and Tar Sands 107,000 1 1.5 褐煤塊 Brown Coal Briquettes 97,500 1 1.5 煤球 Patent Fuel 97,500 1 1.5 焦 焦炭 Coke Coke Oven Coke and Ligni te",national_inventory_documents,"announced under 環部授氣字第1139101231號 of 5 February 2024; the announcement's own note states the values are taken from the 2006 IPCC Guidelines Volume 2 Chapter 2 Table 2.2, so this is a national instrument adopting the default rather than a measured factor",2026-09-07
TW,sub_bituminous,96100,national_adopted,2024,tw_moenv_ef_2024,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.pdf,附表一,"96,100",kg_co2_per_tj,"g Coal 94,600 1 1.5 其他煙煤 Other Bituminous Coal 94,600 1 1.5 亞煙煤 Sub-Bituminous Coal 96,100 1 1.5 褐煤 Lignite 101,000 1 1.5 油頁岩/焦油砂 Oil Shale and Tar Sands 107,000 1 1.5 褐煤塊 Brown Coal Briquettes 97,500 1 1.5 煤球 Patent Fuel 97,500 1 1.5 焦 焦炭 Coke Coke Oven Coke and Ligni te Coke 107,000 1 1.5 4 炭 煤氣焦碳 Gas Coke",national_inventory_documents,,2026-09-07
TW,anthracite,98300,national_adopted,2024,tw_moenv_ef_2024,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.pdf,附表一,"98,300",kg_co2_per_tj,"73,300 3 0.6 其他石油 產品 Other Petroleum Products 73,300 3 0.6 無煙煤 Anthracite 98,300 1 1.5 煉焦煤 Coking Coal 94,600 1 1.5 其他煙煤 Other Bituminous Coal 94,600 1 1.5 亞煙煤 Sub-Bituminous Coal 96,100 1 1.5 褐煤 Lignite 101,000 1 1.5 油頁岩/焦油砂 Oil Shale and Tar Sands 107,000 1 1.5 褐煤塊 Brown Coal Briquettes 97,500 1 1",national_inventory_documents,,2026-09-07
VN,anthracite,98300,national_adopted,2022,vn_decision_2626_2022,https://static.luatvietnam.vn/uploaded/VIETLAWFILE/2023/8/2626_qd-btnmt_incom_220823105918.pdf,Appendix I,"98,300",kg_co2_per_tj,"Guideline s 1. Fuel combustion activities 1.1 CO2 emission factor of anthracite coal CO2 Energy industry 98,300 Kg CO2/TJ Tier 1 1.2 CH4 emission factor of anthracite coal CH4 Energy industry 1 Kg CH4/TJ Tier 1 1.3 N2O emission factor of anthracite coal N2O Energy industry 1.5 Kg N2O/TJ Tier 1 1.4 CO2 emission factor of sub- bitu",national_inventory_documents,"Decision 2626/QD-BTNMT lists Tier 1 factors for energy industries; Article 2 tasks the Department of Climate Change with updating the list when a country-specific factor exists, so the ministry itself states none does yet. The list carries no 'other bituminous' entry, which is why Viet Nam's bituminous units keep the IPCC default",2026-09-07
VN,sub_bituminous,96100,national_adopted,2022,vn_decision_2626_2022,https://static.luatvietnam.vn/uploaded/VIETLAWFILE/2023/8/2626_qd-btnmt_incom_220823105918.pdf,Appendix I,"96,100",kg_co2_per_tj,"dustry 1.5 Kg N2O/TJ Tier 1 1.4 CO2 emission factor of sub- bituminous coal CO2 Energy industry 96,100 Kg CO2/TJ Tier 1 1.5 CH4 emission factor of sub- CH4 Energy industry 1 Kg CH4/TJ Tier 1 LuatVietnam.vn 4 bituminous coal 1.6 N2O emission factor of sub- bituminous coal N2O Energy industry 1.5 Kg N2O/TJ Tier 1 1.7 CO2 e",national_inventory_documents,,2026-09-07
VN,natural_gas,56100,national_adopted,2022,vn_decision_2626_2022,https://static.luatvietnam.vn/uploaded/VIETLAWFILE/2023/8/2626_qd-btnmt_incom_220823105918.pdf,Appendix I,"56,100",kg_co2_per_tj,"N2O Energy industry 0.6 Kg N2O/TJ Tier 1 1.16 CO2 emission factor of natural gas CO2 Energy industry 56,100 Kg CO2/TJ Tier 1 1.17 CH4 emission factor of natural gas CH4 Energy industry 1 Kg CH4/TJ Tier 1 1.18 N2O emission factor of natural gas N2O Energy industry 0.1 Kg N2O/TJ Tier 1 1.19 CO2 emission factor of biomass CO2 En",national_inventory_documents,,2026-09-07
VN,residual_fuel_oil,77400,national_adopted,2022,vn_decision_2626_2022,https://static.luatvietnam.vn/uploaded/VIETLAWFILE/2023/8/2626_qd-btnmt_incom_220823105918.pdf,Appendix I,"77,400",kg_co2_per_tj,"N2O Energy industry 0.6 Kg N2O/TJ Tier 1 1.13 CO2 emission factor of fuel oil CO2 Energy industry 77,400 Kg CO2/TJ Tier 1 1.14 CH4 emission CH4 Energy industry 3 Kg CH4/TJ Tier 1 LuatVietnam.vn 5 factor of fuel oil 1.15 N2O emission factor of fuel oil N2O Energy industry 0.6 Kg N2O/TJ Tier 1 1.16 CO2 emission factor of nat",national_inventory_documents,,2026-09-07
VN,gas_diesel_oil,74100,national_adopted,2022,vn_decision_2626_2022,https://static.luatvietnam.vn/uploaded/VIETLAWFILE/2023/8/2626_qd-btnmt_incom_220823105918.pdf,Appendix I,"74,100",kg_co2_per_tj,"N2O Energy industry 0.6 Kg N2O/TJ Tier 1 1.10 CO2 emission factor of diesel oil CO2 Energy industry 74,100 Kg CO2/TJ Tier 1 1.11 CH4 emission factor of diesel oil CH4 Energy industry 3 Kg CH4/TJ Tier 1 1.12 N2O emission factor of diesel oil N2O Energy industry 0.6 Kg N2O/TJ Tier 1 1.13 CO2 emission factor of fuel oil CO2 Ene",national_inventory_documents,,2026-09-07
MA,bituminous,96100,national_adopted,2024,ma_nir_2024,https://eci.ma/documents/36/Maroc_-_Rapport_National_dInventaire_-_D%C3%A9cembre_2024.pdf,Tableau 30,"96,10",t_co2_per_tj,"quides t/TJ 73,79 74,16 73,34 73,34 73,20 72,54 72,89 72,74 Combustibles solides t/TJ 96,10 96,10 96,10 96,10 96,10 96,10 96,10 96,10 Combustibles gazeux t/TJ 56,10 56,10 56,10 56,10 56,10 56,10 56,10 56,10 Autres combustibles fossiles t/TJ 85,00 85,00 85,00 85,00 85,00 85,00 85,00 85,00 Biomasse t/TJ 109,07 108,63",national_inventory_documents,"the inventory applies one factor to all solid fuels in energy industries, flat from 2010 to 2022. The text states that local factors were used for coal and petroleum coke, but the value published is identical to the IPCC sub-bituminous default and no distinct local number appears anywhere in the report, so it is recorded as an adopted value, not a measured one",2026-09-07
MA,sub_bituminous,96100,national_adopted,2024,ma_nir_2024,https://eci.ma/documents/36/Maroc_-_Rapport_National_dInventaire_-_D%C3%A9cembre_2024.pdf,Tableau 30,"96,10",t_co2_per_tj,"quides t/TJ 73,79 74,16 73,34 73,34 73,20 72,54 72,89 72,74 Combustibles solides t/TJ 96,10 96,10 96,10 96,10 96,10 96,10 96,10 96,10 Combustibles gazeux t/TJ 56,10 56,10 56,10 56,10 56,10 56,10 56,10 56,10 Autres combustibles fossiles t/TJ 85,00 85,00 85,00 85,00 85,00 85,00 85,00 85,00 Biomasse t/TJ 109,07 108,63",national_inventory_documents,one value for all solid fuels,2026-09-07
MA,natural_gas,56100,national_adopted,2024,ma_nir_2024,https://eci.ma/documents/36/Maroc_-_Rapport_National_dInventaire_-_D%C3%A9cembre_2024.pdf,Tableau 30,"56,10",t_co2_per_tj,"olides t/TJ 96,10 96,10 96,10 96,10 96,10 96,10 96,10 96,10 Combustibles gazeux t/TJ 56,10 56,10 56,10 56,10 56,10 56,10 56,10 56,10 Autres combustibles fossiles t/TJ 85,00 85,00 85,00 85,00 85,00 85,00 85,00 85,00 Biomasse t/TJ 109,07 108,63 108,25 108,06 107,70 107,49 107,36 107,25 CH4 Combustibles liquides kg/TJ",national_inventory_documents,one value for all gaseous fuels,2026-09-07
