분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A 연료연소_e 식음료품 가공 및 담배 제조,3300.85,3360.8,3700.9,4100.56,4104.52,4377.3,4418.52,4066.37,3414.12,3153.22,3139.8,2890.04,2927.81,2848.59,2811.11,2787.83,2535.12,2542.92,2179.54,2199.59,2314.97,2197.69,2107.35,1927.58,1876.15,1904.72,2182.09,2078.48,2160.19,1921.93,2038.42,2104.7,2211.04,2058.12
A 연료연소_f 비금속광물,13868.22,16050.93,17670.01,20734.51,21932.18,22059.25,19241.71,21117.81,15670.33,16332.57,18450.19,18742.43,18576.96,19876.98,18453.75,17142.03,17385.12,17265.24,18267.68,16096.55,16915.41,17809.32,16644.64,17161.24,17286.15,16992.33,16280.99,14728.48,13566.06,14775.67,13390.35,13966.37,14455.62,15269.05
A 연료연소_g 기타,14995.87,16754.69,15891.24,20895.81,18165.29,18324.87,25472.16,22067.97,21065.88,24405.7,26714.02,26954.69,28324,28443.09,27347.09,27441.62,27856.6,26908.9,27024.84,26860.4,29707.07,33165.22,30334.36,29231.91,26950.22,28737.84,30522.83,31166.29,28461.62,25796.86,24460.9,25471.98,24247.87,23089.74
A 연료연소_2 제조업 및 건설업_g 기타_1 수송장비제조,2001.42,2272.79,2518.45,4152.27,3010.91,3263.65,3834.23,3980.35,3246.75,3866.93,3221.16,3117.4,3230.66,3168.39,3371.11,3502.83,3377.52,2121.24,2522.49,2277.66,2453.24,2621.89,2470.15,2237.65,2851.8,2406.27,2861.49,3808.82,3465.46,4021.3,3922.27,4065.46,4199,4764.75
A 연료연소_2 제조업 및 건설업_g 기타_2 기계 제조,754.09,865.13,848.93,908.84,979.69,1049.72,1114.09,1691.7,2608.41,3173.93,2924,2534.93,2500.13,1951.63,1235.95,548.22,408.82,1966.99,2079.08,1784.42,2069.5,2618.45,2798.17,3018.63,2437.99,2322.67,3635.71,3425.07,2436.06,2203.42,2176.73,2241.36,2227.41,2347.6
A 연료연소_2 제조업 및 건설업_g 기타_3 광업,436.53,346.08,332.77,226.29,229.16,215.74,194.12,155.91,123.1,113.48,150.94,158.5,163.69,196.21,167.09,196.34,193.88,163.98,145.71,155.83,193.39,182.11,170.81,183.86,146.4,135.32,140.65,123.28,120.7,119.39,134.93,130.99,122.49,164.06
A 연료연소_2 제조업 및 건설업_g 기타_4 목재 및 목제품,220.17,240.59,236.24,104.8,339.79,269.19,288.32,287.94,207.49,256.3,256.76,237.58,253.08,217.78,267.37,171.94,149.18,185.16,180.07,224.76,214.64,182.06,162.82,156.78,191.86,186.59,126.51,128.14,157.11,113.32,136.42,125.3,131.08,88.96
A 연료연소_2 제조업 및 건설업_g 기타_5 건설업,1639.47,1540.08,1362.64,1615,1259.43,1216.51,1213.97,1379.61,1021.85,1060.35,1400.2,1319.79,1565.09,1640.48,1759.46,1931.86,2650.53,2370.43,2314.44,2317.95,2503.36,2542.08,2235.15,2170.61,2322.15,2572.18,2647.41,2228.2,2185.64,2150.07,2107.58,2004.55,1938.47,1786.25
A 연료연소_2 제조업 및 건설업_g 기타_6 섬유 및 가죽,6182.24,6078.83,6119.04,6353.56,6921.78,6729.42,7302.11,8913.67,9578.02,10493.23,10520.12,10190.74,9703.77,8954.61,9433.57,8617.16,7816.53,7536.87,7412.9,6974.24,6822.03,6576.52,5967.51,5314.48,5640.82,4963.61,4930.4,5314.42,4923.8,4575.52,4115.15,4337.34,4202.45,4493.13
A 연료연소_2 제조업 및 건설업_g 기타_7 기타,3761.96,5411.2,4473.16,7535.04,5424.53,5580.65,11525.33,5658.79,4280.26,5441.49,8240.85,9395.75,10907.6,12314,11112.53,12473.26,13260.14,12564.24,12370.15,13125.55,15450.91,18442.11,16529.74,16149.91,13359.19,16151.2,16180.66,16138.36,15172.85,12613.84,11867.82,12566.98,11426.95,9444.98
A 연료연소_3 수송,35651.61,38762.26,44141.54,55806.91,57810.05,64999.49,69084.27,74507.28,57752.41,62774.28,70134.43,73273.92,78262.99,81070.29,81210.48,82016.42,82693.72,84914.99,82487.1,83104.35,84553.26,84267.78,85609.54,87510.49,87782.3,93151.43,97564.93,97043.6,96482.75,99399.56,94561.47,97198.46,96217.76,95421.84
A 연료연소_3 수송_a 국내항공,857.4,933.54,1083.88,1223.15,1254.05,1382.26,1434.82,1647.28,1403.01,1351.69,1465.6,1352.81,1396.37,1433.42,1186.32,1075.75,1007.22,989.88,1031.98,1137.4,1199.09,1267.84,1277.76,1381.53,1493.42,1538.57,1750.84,1750.81,1697.31,1745.49,1659.77,1952.06,1851.04,1755.81
A 연료연소_3 수송_b 도로수송,31003.28,35565.68,40658.54,49012.8,51588.78,58724.21,64345.63,68934.21,52747.09,58137.68,64632.06,67662.28,72609.92,75220.12,75937.62,76998.69,77908.61,80299.11,77807.44,78561.4,80130.59,79801.77,81259.31,83835.71,84421.45,88987.66,93311.26,92869.61,92979.55,95756.47,91525.69,93653.56,92735.88,92058.2
A 연료연소_3 수송_c 철도,882.29,897.64,912.92,984.45,934.29,944.23,933.38,929.56,915.34,952.47,976,985.68,985.51,1007.63,861.71,813.41,741.22,663.92,653.99,576.45,559.42,508.91,511.19,451.17,377.53,343.89,300.85,290.89,289.52,275.07,242.54,215.73,180.93,165.29
A 연료연소_3 수송_d 국내해운,2457.37,1041.31,1145.13,4346.25,3700.84,3655.74,1974.55,2599.81,2218.78,2071.73,2767.99,2514.26,2920.5,3040.57,2896.68,2793.47,2697.88,2601.78,2638.82,2440.88,2282.87,2276.75,2158.61,1417.49,1016.12,1649.82,1415.5,1347.19,1027.85,1224.95,1000.52,1286.59,1381.93,1370.07
A 연료연소_3 수송_e 기타수송,451.26,324.08,341.07,240.26,332.08,293.05,395.89,396.42,468.19,260.72,292.77,758.89,350.69,368.54,328.14,335.1,338.79,360.31,354.87,388.23,381.29,412.51,402.67,424.58,473.77,631.47,786.49,785.1,488.52,397.58,132.96,90.51,67.98,72.46
A 연료연소_4 기타,69343.34,64560.44,65990.01,59456.51,67827.46,73901.74,78279.2,79931.24,62140.28,72182.98,69684.32,67652.16,67903.65,65599.31,61705.22,63678.18,59468.28,57766.43,56397.28,55045.78,57908.56,56453.3,54843.75,53757.47,47988.12,48937.86,50882.84,51964.97,51987.58,49138.8,47509.45,47249.75,47726.15,44695.13
A 연료연소_4 기타_a 상업/공공,26662.28,27448.48,32077.72,27560.26,39231.85,44346.51,47189.64,48601.35,35283.52,38086.53,29975.96,25328.62,24838.22,24740.03,22739.74,20840.59,18288.69,19517.18,18528.9,17877.34,18489.81,18235.08,17854.4,17415.19,15704.22,17504.86,18135.47,18654.15,17658.97,15917.66,13338.73,13243,13581.83,13550.18
A 연료연소_4 기타_b 가정,36949.87,31545.15,27685.34,24287.54,20552.57,21003.13,21533.06,20795.89,17414.93,23935.49,29057.82,30337.84,31288.44,30587.59,29785.84,33851.08,32495.02,29922.21,30609.63,29793.57,31851.37,31143.89,30002.86,29194.53,26737.82,26539.64,28436.12,29329.16,30567.16,29205.79,29710.51,30027.74,30525.14,27638.11
A 연료연소_4 기타_c 농업/임업/어업,5731.2,5566.81,6226.95,7608.72,8043.03,8552.11,9556.5,10534,9441.83,10160.96,10650.54,11985.69,11776.99,10271.69,9179.64,8986.5,8684.58,8327.04,7258.74,7374.87,7567.38,7074.33,6986.49,7147.75,5546.07,4893.35,4311.25,3981.66,3761.46,4015.36,4460.21,3979.01,3619.19,3506.83
A 연료연소_4 기타_c 농업/임업/어업_농업/임업,3123.64,2956.14,3355.38,4414.05,4221.33,4466.63,5395.33,6146.89,5450.1,6632.75,6876.68,7810.85,7644.51,6270.08,5446.62,5605.88,5310.94,5069.42,4727,4537.36,4789.8,4562.31,4529.1,4523.09,3128.29,2159.64,1404.89,1199.03,1208.14,1149.56,1442.13,1428.71,1300.52,1170.06
A 연료연소_4 기타_c 농업/임업/어업_3 어업,2607.56,2610.68,2871.57,3194.66,3821.7,4085.48,4161.17,4387.11,3991.73,3528.21,3773.85,4174.84,4132.48,4001.61,3733.02,3380.63,3373.64,3257.62,2531.73,2837.51,2777.58,2512.02,2457.39,2624.67,2417.78,2733.72,2906.36,2782.63,2553.32,2865.8,3018.07,2550.3,2318.67,2336.77
A 연료연소_5 미분류,182.31,4676.04,2954.36,3162.19,2850.62,2824.46,3082.23,2933.8,2664.75,2736.23,2412.02,3122.54,2842.18,3326.82,3154.58,3233.76,2854.89,2911.19,2605.15,2881.07,2952.18,2885,2933.29,2987.48,2867.43,3105.89,3080.79,3203.49,3129.45,2954.83,2920.49,2932.13,3028.26,3004.08
B 탈루,186.98,163.57,130.07,102.7,80.98,62.39,54.14,49.47,47.85,46.19,45.8,42.24,36.89,36.72,44.57,56.32,53.36,48.86,42.35,51.88,49.46,45.17,44.53,42.81,35.35,29.22,27.34,33.47,28.83,25.28,21.05,13.87,10.63,8.51
B 탈루_1 고체연료,186.91,163.47,129.94,102.51,80.75,62.1,53.75,48.98,47.34,45.56,45.05,41.44,36.02,35.8,34.64,30.74,30.66,31.33,30.1,27.35,22.62,22.62,22.73,19.7,18.98,19.15,18.74,16.12,13.05,11.77,11.06,9.75,8.9,7.01
B 탈루_2 석유 및 천연가스,0.07,0.1,0.13,0.18,0.23,0.3,0.39,0.49,0.51,0.63,0.75,0.8,0.87,0.92,9.93,25.58,22.7,17.53,12.24,24.54,26.83,22.54,21.8,23.1,16.38,10.07,8.6,17.35,15.78,13.51,9.99,4.12,1.72,1.5
B 탈루_2 석유 및 천연가스_a 석유,0.02,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.08,0.08
B 탈루_2 석유 및 천연가스_b 천연가스,0.04,0.06,0.08,0.12,0.16,0.22,0.3,0.38,0.41,0.51,0.62,0.68,0.74,0.78,0.82,0.93,0.92,0.95,1.01,1.02,1.16,1.22,1.33,1.3,1.2,1.11,1.14,1.23,1.34,1.26,1.23,1.3,1.36,1.25
B 탈루_2 석유 및 천연가스_c 탈기 및 소각,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,9.04,24.59,21.71,16.52,11.17,23.45,25.6,21.25,20.4,21.73,15.1,8.88,7.37,16.03,14.36,12.17,8.68,2.74,0.29,0.17
C 이산화탄소 수송 및 저장,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
산업공정 및 제품사용,36130.02,42288.2,48620.49,55172.47,58302.98,61617.98,63896.24,67326.7,61670.02,63290.81,65200.18,71429.31,72707.91,74684.3,74591.15,77202.09,78516.86,73918.3,76372.5,70937.31,73753.18,73150.09,73885.35,84997.96,85802.66,89315.88,88278.77,90068.82,88199.75,86773.12,80251.63,84488.14,82317.95,80326.09
A 광물산업,16386.71,19523.83,21749.27,25352.7,27687.12,29093.2,29305.51,30433.51,23929.33,24996.35,26101.3,27071.25,28485.06,29471.32,27768.27,25097.93,24905.72,28165.27,28819.51,28089.12,28334.52,29172.79,29364.92,29451.7,29893.4,30550.15,32196.9,31963.44,30453.92,30539.66,27967.39,29005.86,28421.13,28027.05
A 광물산업_1 시멘트생산,15870.87,18960.06,21126.45,24697.88,26837.24,28101.72,28305.66,29317.11,22876.59,23716.89,24753.54,25662.76,27104.25,27917.99,26121.25,23323.54,23137.27,26272.63,26077.02,24550.65,24294.28,24717.81,24845.98,25047.57,25409.1,25776.03,26669.1,26347.96,24699.53,24927.31,22700.5,23516.13,23227.36,22737.36
A 광물산업_2 석회생산,256.81,297.3,321.7,356.06,509.39,637.75,635.09,750.25,762.23,815.95,803.6,787.75,758.82,893.5,932.56,1033.49,1028.29,1019.56,1856.6,2607.18,2970.56,3314.36,3365.5,3242.23,3287.57,3415.22,4109,4153.96,4303.18,4335.6,3978.67,4215.7,3961.71,4110.23
A 광물산업_3 유리생산,57.38,76.7,86.16,94.52,99.29,100.64,111.64,123.14,89.05,91.46,109.67,121.58,113.6,128.02,131.28,129.47,138.97,136.47,143.62,115.58,223.63,240.88,197.29,211.04,212.71,226.74,254.02,248.76,302.59,272.43,253.47,255.49,260.47,260.71
A 광물산업_4 탄산염의 기타 공정 사용,201.64,189.77,214.96,204.25,241.2,253.08,253.12,243,201.46,372.06,434.49,499.16,508.39,531.81,583.18,611.43,601.18,736.6,742.27,815.71,846.06,899.74,956.16,950.86,984.02,1132.15,1164.78,1212.76,1148.62,1004.33,1034.75,1018.54,971.58,918.75
B 화학산업,6322.1,8135.36,11614.17,12715.13,13872.33,14553.22,15310.34,18209.84,19927.24,20503.19,20107.77,24865.26,25155.44,25788.47,26811.56,28466.45,29764.34,25106.65,24551.64,23248.97,23628.28,24662.46,26076.25,25496.47,26350.89,27107.23,29410.36,30575.32,30733.28,30004.58,28551.98,32629.47,30449.21,28079.15
B 화학산업_1 암모니아 생산,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
B 화학산업_2 질산 생산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 화학산업_3 아디브산 생산,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"B 화학산업_4 카프로락탐, 글리옥살, 글리옥실산 생산",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
B 화학산업_5 카바이드 생산,"NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE"
B 화학산업_6 이산화티타늄 생산,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
B 화학산업_7 소다회 생산,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
B 화학산업_8 석유화학제품 및 카본블랙 생산,5264.22,7087.48,10475.8,11723.92,12399.11,12973.58,13782.37,16907.08,18654.37,19273.13,19133.86,23848.34,24690.66,25462.64,26397.92,28067.04,29548.62,24887.22,24328.04,23038.56,23423.32,24588,26074.44,25494.7,26349.17,27105.65,29408.8,30573.76,30731.95,30003.38,28550.8,32628.39,30448.21,28078.1
B 화학산업_9 불소화합물 생산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 화학산업_10 기타,1057.88,1047.87,1138.37,991.2,1473.22,1579.63,1527.97,1302.76,1272.87,1230.06,973.9,1016.91,464.79,325.83,413.64,399.41,215.71,219.43,223.6,210.41,204.96,74.46,1.81,1.77,1.72,1.58,1.56,1.57,1.33,1.2,1.18,1.08,1,1.04
C 금속산업,13064.48,14268.54,14868.81,16695.57,16296.95,17488.62,18750.33,18153.48,17404.74,17305.59,18480.56,19007.17,18581.26,18901.32,19475.27,23102.63,23326.35,20123.89,22483.72,19129.21,21244.85,18770.26,17887.6,29476.43,28975.35,31051.94,26065.97,26909.46,26413.51,25659.33,23183.51,22279.43,22834.16,23580.31
C 금속산업_1 철강생산,13041.22,14268.54,14868.81,16695.57,16296.95,17488.62,18750.33,18153.48,17404.74,17305.59,18480.56,19007.17,18581.26,18901.32,19475.27,23102.63,23326.35,20055.63,22416.74,19052.74,21157.46,18691.13,17796.32,29375.25,28878.76,30973.22,25980.62,26824.42,26328.23,25582.15,23101.6,22202.4,22773.51,23518.84
C 금속산업_2 합금철 생산,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,11.21,6.4,12.82,15.68,18.48,18.88,16.16,8.73,7.74,2.8,1.58,0.91,0.8,0.77,1.92,1.91,0.48
C 금속산업_3 알루미늄 생산,23.26,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C 금속산업_4 마그네슘 생산,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,7.19,8.44,NO,NO,NO,NO,NO,NO,NO,NO,NO
C 금속산업_5 납 생산,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
C 금속산업_6 아연 생산,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
C 금속산업_7 기타,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE",57.05,60.59,63.66,71.71,60.64,72.4,77.84,79.41,70.98,82.55,83.47,84.37,76.38,81.14,75.11,58.74,60.99
D 비에너지 연료 및 용매 사용,356.72,360.47,388.23,409.07,446.59,482.95,530.05,529.87,408.71,485.68,510.55,485.64,486.15,523.2,536.06,535.07,520.46,522.49,517.63,470.01,545.53,544.59,556.58,573.36,583.02,606.57,605.54,620.59,599.05,569.54,548.75,573.38,613.45,639.58
D 비에너지 연료 및 용매 사용_1 윤활유 사용,356.72,360.47,388.23,409.07,446.59,482.95,530.05,522.39,403.3,479.55,504.97,479.35,479.37,515.49,526.2,526.8,511.38,510.8,507.84,460.88,534.96,535.53,547.59,563.62,573.14,597.27,594.97,609.74,589.59,556.9,536.73,558.32,598.78,624.61
D 비에너지 연료 및 용매 사용_2 파라핀 왁스 사용,NO,NO,NO,NO,NO,NO,NO,7.47,5.41,6.13,5.58,6.29,6.78,7.71,9.86,8.27,9.08,11.69,9.79,9.12,10.57,9.06,8.99,9.74,9.88,9.29,10.57,10.85,9.46,12.65,12.02,15.06,14.67,14.98
D 비에너지 연료 및 용매 사용_3 기타,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E 전자 산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용_1 냉장 및 냉방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용_2 발포제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용_3 소화기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용_4 에어로졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용_5 용매,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F 오존층파괴물질의 대체물질 사용_6 기타 오존층파괴물질의 대체물질 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 기타 제품제조 및 소비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 기타 제품제조 및 소비_1 중전기기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 기타 제품제조 및 소비_2 기타 제품사용의 육불화황 및 과불화탄소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 기타 제품제조 및 소비_3 제품사용의 N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H 기타,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
H 기타_1 펄프 및 종이,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
H 기타_2 식품 및 음료,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
H 기타_3 기타,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
농업,435.03,294.58,341.92,348.69,330.39,320.92,318.13,307.58,323.02,312.5,288.28,240.73,230.4,223.42,245.19,165.58,130.44,193.67,157.2,134.06,124.26,139.73,140.28,132.92,130.92,122.13,121.58,114.34,120.16,112.84,107.8,112.76,94.32,95.03
A 장내발효,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 장내발효_1 소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 장내발효_2 양(면양),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 장내발효_3 돼지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 장내발효_4 기타 가축,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 가축분뇨처리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 가축분뇨처리_1 소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 가축분뇨처리_2 양(면양),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 가축분뇨처리_3 돼지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 가축분뇨처리_4 기타 가축,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
