reporter,flow,exporter,importer,year,hs6,powertrain_class,units,quantity_flag,value,currency,source_id,source_file
AU,imports,JP,AU,2023,870332,ICE,1825,reported,49864594.806,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870332,ICE,1825,reported,49864594.806,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870333,ICE,42142,reported,1673163185.15,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870333,ICE,1,reported,33538.506,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870333,ICE,42141,reported,1673129646.643,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870340,HEV,88082,reported,1875771588.398,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870340,HEV,2,reported,90354.481,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870340,HEV,88080,reported,1875681233.918,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870350,HEV,2,reported,62931.18,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870350,HEV,2,reported,62931.18,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870360,PHEV,3081,reported,95887754.707,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870360,PHEV,3081,reported,95887754.707,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870380,BEV,3284,reported,92309160.845,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870380,BEV,1,reported,126311.898,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870380,BEV,3283,reported,92182848.947,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870390,OTHER,51,reported,563076.429,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870390,OTHER,51,reported,563076.429,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2024,870321,ICE,422,reported,2890019.65,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870321,ICE,422,reported,2890019.65,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870322,ICE,22776,reported,346707296.017,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870322,ICE,22776,reported,346707296.017,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870323,ICE,178612,reported,3178634155.369,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870323,ICE,2,reported,83521.694,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870323,ICE,178610,reported,3178550633.676,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870324,ICE,14710,reported,482427208.416,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870324,ICE,2,reported,203544.213,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870324,ICE,14708,reported,482223664.203,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870331,ICE,7,reported,36378.828,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870331,ICE,7,reported,36378.828,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870332,ICE,138,reported,2099999.621,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870332,ICE,138,reported,2099999.621,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870333,ICE,24889,reported,1112689886.67,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870333,ICE,24889,reported,1112689886.67,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870340,HEV,127706,reported,2721924964.293,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870340,HEV,127706,reported,2721924964.293,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870350,HEV,1483,reported,54179338.274,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870350,HEV,1483,reported,54179338.274,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870360,PHEV,9957,reported,329482340.851,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870360,PHEV,9957,reported,329482340.851,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870380,BEV,6698,reported,183567367.023,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870380,BEV,1,reported,32423.801,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870380,BEV,6697,reported,183534943.223,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870390,OTHER,39,reported,557003.076,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870390,OTHER,10,reported,1207.774,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2024,870390,OTHER,29,reported,555795.302,USD,un_comtrade_public,comtrade_au_m_jp_2024.json
AU,imports,JP,AU,2025,870321,ICE,457,reported,3770722.49,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870321,ICE,1,reported,950.878,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870321,ICE,455,reported,3768547.036,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870321,ICE,1,reported,1224.576,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870322,ICE,17093,reported,261970030.64,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870322,ICE,17093,reported,261970030.64,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870323,ICE,121521,reported,2287741801.946,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
AU,imports,JP,AU,2025,870323,ICE,4,reported,182724.043,USD,un_comtrade_public,comtrade_au_m_jp_2025.json
