country,scenario,calendar_year,grid_gco2_per_kwh,basis,r_power
AE,S1,2097,18.8145,pathway,0.043056459
AE,S1,2098,18.0044,pathway,0.043056459
AE,S1,2099,17.2292,pathway,0.043056459
AE,S1,2100,16.4874,pathway,0.043056459
AE,S2,2000,676.77,observed,0.043056459
AE,S2,2001,676.63,observed,0.043056459
AE,S2,2002,676.84,observed,0.043056459
AE,S2,2003,676.64,observed,0.043056459
AE,S2,2004,676.78,observed,0.043056459
AE,S2,2005,676.77,observed,0.043056459
AE,S2,2006,676.81,observed,0.043056459
AE,S2,2007,676.74,observed,0.043056459
AE,S2,2008,676.73,observed,0.043056459
AE,S2,2009,676.66,observed,0.043056459
AE,S2,2010,676.64,observed,0.043056459
AE,S2,2011,676.59,observed,0.043056459
AE,S2,2012,676.58,observed,0.043056459
AE,S2,2013,676.15,observed,0.043056459
AE,S2,2014,675.05,observed,0.043056459
AE,S2,2015,675.22,observed,0.043056459
AE,S2,2016,675.26,observed,0.043056459
AE,S2,2017,673.26,observed,0.043056459
AE,S2,2018,671.2,observed,0.043056459
AE,S2,2019,660.09,observed,0.043056459
AE,S2,2020,645.69,observed,0.043056459
AE,S2,2021,605.3,observed,0.043056459
AE,S2,2022,558.49,observed,0.043056459
AE,S2,2023,483.79,observed,0.043056459
AE,S2,2024,467.51,observed,0.043056459
AE,S2,2025,447.3807,pathway,0.043056459
AE,S2,2026,428.118,pathway,0.043056459
AE,S2,2027,409.6848,pathway,0.043056459
AE,S2,2028,392.0452,pathway,0.043056459
AE,S2,2029,375.1651,pathway,0.043056459
AE,S2,2030,359.0119,pathway,0.043056459
AE,S2,2031,343.5541,pathway,0.043056459
AE,S2,2032,328.7619,pathway,0.043056459
AE,S2,2033,314.6065,pathway,0.043056459
AE,S2,2034,301.0607,pathway,0.043056459
AE,S2,2035,288.0981,pathway,0.043056459
AE,S2,2036,275.6936,pathway,0.043056459
AE,S2,2037,263.8232,pathway,0.043056459
AE,S2,2038,252.4639,pathway,0.043056459
AE,S2,2039,241.5937,pathway,0.043056459
AE,S2,2040,231.1915,pathway,0.043056459
AE,S2,2041,221.2373,pathway,0.043056459
AE,S2,2042,211.7116,pathway,0.043056459
AE,S2,2043,202.596,pathway,0.043056459
AE,S2,2044,193.8729,pathway,0.043056459
AE,S2,2045,185.5255,pathway,0.043056459
AE,S2,2046,177.5374,pathway,0.043056459
AE,S2,2047,169.8933,pathway,0.043056459
AE,S2,2048,162.5783,pathway,0.043056459
AE,S2,2049,155.5782,pathway,0.043056459
AE,S2,2050,148.8796,pathway,0.043056459
AE,S2,2051,142.4693,pathway,0.043056459
AE,S2,2052,136.3351,pathway,0.043056459
AE,S2,2053,130.465,pathway,0.043056459
AE,S2,2054,124.8476,pathway,0.043056459
AE,S2,2055,119.4722,pathway,0.043056459
AE,S2,2056,114.3281,pathway,0.043056459
AE,S2,2057,109.4055,pathway,0.043056459
AE,S2,2058,104.6949,pathway,0.043056459
AE,S2,2059,100.1871,pathway,0.043056459
AE,S2,2060,95.8734,pathway,0.043056459
AE,S2,2061,91.7455,pathway,0.043056459
AE,S2,2062,87.7952,pathway,0.043056459
AE,S2,2063,84.0151,pathway,0.043056459
AE,S2,2064,80.3977,pathway,0.043056459
AE,S2,2065,76.936,pathway,0.043056459
AE,S2,2066,73.6234,pathway,0.043056459
AE,S2,2067,70.4535,pathway,0.043056459
AE,S2,2068,67.42,pathway,0.043056459
AE,S2,2069,64.5171,pathway,0.043056459
AE,S2,2070,61.7393,pathway,0.043056459
AE,S2,2071,59.081,pathway,0.043056459
AE,S2,2072,56.5372,pathway,0.043056459
AE,S2,2073,54.1029,pathway,0.043056459
AE,S2,2074,51.7734,pathway,0.043056459
AE,S2,2075,49.5442,pathway,0.043056459
AE,S2,2076,47.411,pathway,0.043056459
AE,S2,2077,45.3697,pathway,0.043056459
AE,S2,2078,43.4162,pathway,0.043056459
AE,S2,2079,41.5469,pathway,0.043056459
AE,S2,2080,39.758,pathway,0.043056459
AE,S2,2081,38.0462,pathway,0.043056459
AE,S2,2082,36.408,pathway,0.043056459
AE,S2,2083,34.8404,pathway,0.043056459
AE,S2,2084,33.3403,pathway,0.043056459
AE,S2,2085,31.9048,pathway,0.043056459
AE,S2,2086,30.5311,pathway,0.043056459
AE,S2,2087,29.2165,pathway,0.043056459
AE,S2,2088,27.9586,pathway,0.043056459
AE,S2,2089,26.7548,pathway,0.043056459
AE,S2,2090,25.6028,pathway,0.043056459
AE,S2,2091,24.5004,pathway,0.043056459
AE,S2,2092,23.4455,pathway,0.043056459
AE,S2,2093,22.4361,pathway,0.043056459
AE,S2,2094,21.47,pathway,0.043056459
AE,S2,2095,20.5456,pathway,0.043056459
AE,S2,2096,19.661,pathway,0.043056459
AE,S2,2097,18.8145,pathway,0.043056459
AE,S2,2098,18.0044,pathway,0.043056459
AE,S2,2099,17.2292,pathway,0.043056459
AE,S2,2100,16.4874,pathway,0.043056459
AL,S1,2000,48.63,observed,-0.006470462
AL,S1,2001,51.49,observed,-0.006470462
AL,S1,2002,62.0,observed,-0.006470462
AL,S1,2003,36.33,observed,-0.006470462
AL,S1,2004,39.64,observed,-0.006470462
AL,S1,2005,33.4,observed,-0.006470462
AL,S1,2006,35.71,observed,-0.006470462
AL,S1,2007,42.4,observed,-0.006470462
AL,S1,2008,23.94,observed,-0.006470462
AL,S1,2009,23.08,observed,-0.006470462
AL,S1,2010,23.78,observed,-0.006470462
AL,S1,2011,33.41,observed,-0.006470462
AL,S1,2012,23.31,observed,-0.006470462
AL,S1,2013,24.43,observed,-0.006470462
AL,S1,2014,23.31,observed,-0.006470462
AL,S1,2015,23.77,observed,-0.006470462
AL,S1,2016,23.14,observed,-0.006470462
AL,S1,2017,24.28,observed,-0.006470462
AL,S1,2018,23.39,observed,-0.006470462
AL,S1,2019,23.08,observed,-0.006470462
AL,S1,2020,24.48,observed,-0.006470462
AL,S1,2021,23.49,observed,-0.006470462
AL,S1,2022,24.39,observed,-0.006470462
AL,S1,2023,24.42,observed,-0.006470462
AL,S1,2024,25.18,observed,-0.006470462
AL,S1,2025,25.3429,pathway,-0.006470462
AL,S1,2026,25.5069,pathway,-0.006470462
AL,S1,2027,25.6719,pathway,-0.006470462
AL,S1,2028,25.8381,pathway,-0.006470462
AL,S1,2029,26.0052,pathway,-0.006470462
AL,S1,2030,26.1735,pathway,-0.006470462
AL,S1,2031,26.3429,pathway,-0.006470462
AL,S1,2032,26.5133,pathway,-0.006470462
AL,S1,2033,26.6849,pathway,-0.006470462
AL,S1,2034,26.8575,pathway,-0.006470462
AL,S1,2035,27.0313,pathway,-0.006470462
AL,S1,2036,27.2062,pathway,-0.006470462
AL,S1,2037,27.3823,pathway,-0.006470462
AL,S1,2038,27.5594,pathway,-0.006470462
AL,S1,2039,27.7378,pathway,-0.006470462
AL,S1,2040,27.9172,pathway,-0.006470462
AL,S1,2041,28.0979,pathway,-0.006470462
AL,S1,2042,28.2797,pathway,-0.006470462
AL,S1,2043,28.4627,pathway,-0.006470462
AL,S1,2044,28.6468,pathway,-0.006470462
AL,S1,2045,28.8322,pathway,-0.006470462
AL,S1,2046,29.0187,pathway,-0.006470462
AL,S1,2047,29.2065,pathway,-0.006470462
AL,S1,2048,29.3955,pathway,-0.006470462
AL,S1,2049,29.5857,pathway,-0.006470462
AL,S1,2050,29.7771,pathway,-0.006470462
AL,S1,2051,29.9698,pathway,-0.006470462
AL,S1,2052,30.1637,pathway,-0.006470462
AL,S1,2053,30.3589,pathway,-0.006470462
AL,S1,2054,30.5553,pathway,-0.006470462
AL,S1,2055,30.753,pathway,-0.006470462
AL,S1,2056,30.952,pathway,-0.006470462
AL,S1,2057,31.1523,pathway,-0.006470462
AL,S1,2058,31.3538,pathway,-0.006470462
AL,S1,2059,31.5567,pathway,-0.006470462
AL,S1,2060,31.7609,pathway,-0.006470462
AL,S1,2061,31.9664,pathway,-0.006470462
AL,S1,2062,32.1733,pathway,-0.006470462
AL,S1,2063,32.3814,pathway,-0.006470462
AL,S1,2064,32.591,pathway,-0.006470462
AL,S1,2065,32.8018,pathway,-0.006470462
AL,S1,2066,33.0141,pathway,-0.006470462
AL,S1,2067,33.2277,pathway,-0.006470462
AL,S1,2068,33.4427,pathway,-0.006470462
AL,S1,2069,33.6591,pathway,-0.006470462
AL,S1,2070,33.8769,pathway,-0.006470462
AL,S1,2071,34.0961,pathway,-0.006470462
AL,S1,2072,34.3167,pathway,-0.006470462
AL,S1,2073,34.5387,pathway,-0.006470462
AL,S1,2074,34.7622,pathway,-0.006470462
AL,S1,2075,34.9871,pathway,-0.006470462
AL,S1,2076,35.2135,pathway,-0.006470462
AL,S1,2077,35.4414,pathway,-0.006470462
AL,S1,2078,35.6707,pathway,-0.006470462
AL,S1,2079,35.9015,pathway,-0.006470462
AL,S1,2080,36.1338,pathway,-0.006470462
AL,S1,2081,36.3676,pathway,-0.006470462
AL,S1,2082,36.6029,pathway,-0.006470462
AL,S1,2083,36.8398,pathway,-0.006470462
AL,S1,2084,37.0781,pathway,-0.006470462
AL,S1,2085,37.318,pathway,-0.006470462
AL,S1,2086,37.5595,pathway,-0.006470462
AL,S1,2087,37.8025,pathway,-0.006470462
AL,S1,2088,38.0471,pathway,-0.006470462
AL,S1,2089,38.2933,pathway,-0.006470462
AL,S1,2090,38.5411,pathway,-0.006470462
AL,S1,2091,38.7905,pathway,-0.006470462
AL,S1,2092,39.0415,pathway,-0.006470462
AL,S1,2093,39.2941,pathway,-0.006470462
AL,S1,2094,39.5483,pathway,-0.006470462
AL,S1,2095,39.8042,pathway,-0.006470462
AL,S1,2096,40.0618,pathway,-0.006470462
AL,S1,2097,40.321,pathway,-0.006470462
AL,S1,2098,40.5819,pathway,-0.006470462
AL,S1,2099,40.8445,pathway,-0.006470462
AL,S1,2100,41.1088,pathway,-0.006470462
AO,S1,2000,256.94,observed,0.04774892
AO,S1,2001,262.2,observed,0.04774892
AO,S1,2002,250.0,observed,0.04774892
AO,S1,2003,261.31,observed,0.04774892
AO,S1,2004,160.71,observed,0.04774892
AO,S1,2005,121.67,observed,0.04774892
AO,S1,2006,117.45,observed,0.04774892
AO,S1,2007,169.75,observed,0.04774892
AO,S1,2008,162.96,observed,0.04774892
AO,S1,2009,236.25,observed,0.04774892
AO,S1,2010,227.11,observed,0.04774892
AO,S1,2011,208.48,observed,0.04774892
AO,S1,2012,207.25,observed,0.04774892
AO,S1,2013,289.57,observed,0.04774892
AO,S1,2014,324.27,observed,0.04774892
AO,S1,2015,312.88,observed,0.04774892
AO,S1,2016,286.89,observed,0.04774892
AO,S1,2017,205.37,observed,0.04774892
AO,S1,2018,154.49,observed,0.04774892
AO,S1,2019,186.47,observed,0.04774892
AO,S1,2020,171.33,observed,0.04774892
AO,S1,2021,172.7,observed,0.04774892
AO,S1,2022,172.16,observed,0.04774892
AO,S1,2023,183.49,observed,0.04774892
AO,S1,2024,185.38,observed,0.04774892
AO,S1,2025,176.5283,pathway,0.04774892
AO,S1,2026,168.0993,pathway,0.04774892
AO,S1,2027,160.0727,pathway,0.04774892
AO,S1,2028,152.4294,pathway,0.04774892
AO,S1,2029,145.1511,pathway,0.04774892
AO,S1,2030,138.2203,pathway,0.04774892
AO,S1,2031,131.6204,pathway,0.04774892
AO,S1,2032,125.3357,pathway,0.04774892
AO,S1,2033,119.351,pathway,0.04774892
AO,S1,2034,113.6521,pathway,0.04774892
AO,S1,2035,108.2254,pathway,0.04774892
AO,S1,2036,103.0577,pathway,0.04774892
AO,S1,2037,98.1368,pathway,0.04774892
AO,S1,2038,93.4509,pathway,0.04774892
AO,S1,2039,88.9887,pathway,0.04774892
AO,S1,2040,84.7396,pathway,0.04774892
AO,S1,2041,80.6934,pathway,0.04774892
AO,S1,2042,76.8404,pathway,0.04774892
AO,S1,2043,73.1713,pathway,0.04774892
AO,S1,2044,69.6775,pathway,0.04774892
AO,S1,2045,66.3504,pathway,0.04774892
AO,S1,2046,63.1823,pathway,0.04774892
AO,S1,2047,60.1654,pathway,0.04774892
AO,S1,2048,57.2926,pathway,0.04774892
AO,S1,2049,54.5569,pathway,0.04774892
AO,S1,2050,51.9519,pathway,0.04774892
AO,S1,2051,49.4712,pathway,0.04774892
AO,S1,2052,47.109,pathway,0.04774892
AO,S1,2053,44.8596,pathway,0.04774892
AO,S1,2054,42.7176,pathway,0.04774892
AO,S1,2055,40.6779,pathway,0.04774892
AO,S1,2056,38.7356,pathway,0.04774892
AO,S1,2057,36.886,pathway,0.04774892
AO,S1,2058,35.1247,pathway,0.04774892
AO,S1,2059,33.4476,pathway,0.04774892
AO,S1,2060,31.8505,pathway,0.04774892
AO,S1,2061,30.3297,pathway,0.04774892
AO,S1,2062,28.8814,pathway,0.04774892
AO,S1,2063,27.5024,pathway,0.04774892
AO,S1,2064,26.1892,pathway,0.04774892
AO,S1,2065,24.9387,pathway,0.04774892
AO,S1,2066,23.7479,pathway,0.04774892
AO,S1,2067,22.6139,pathway,0.04774892
AO,S1,2068,21.5341,pathway,0.04774892
AO,S1,2069,20.5059,pathway,0.04774892
AO,S1,2070,19.5268,pathway,0.04774892
AO,S1,2071,18.5944,pathway,0.04774892
AO,S1,2072,17.7065,pathway,0.04774892
AO,S1,2073,16.8611,pathway,0.04774892
AO,S1,2074,16.056,pathway,0.04774892
AO,S1,2075,15.2893,pathway,0.04774892
AO,S1,2076,14.5593,pathway,0.04774892
AO,S1,2077,13.8641,pathway,0.04774892
AO,S1,2078,13.2021,pathway,0.04774892
AO,S1,2079,12.5717,pathway,0.04774892
AO,S1,2080,11.9714,pathway,0.04774892
AO,S1,2081,11.3998,pathway,0.04774892
AO,S1,2082,10.8555,pathway,0.04774892
AO,S1,2083,10.3371,pathway,0.04774892
AO,S1,2084,9.8435,pathway,0.04774892
AO,S1,2085,9.3735,pathway,0.04774892
AO,S1,2086,8.9259,pathway,0.04774892
AO,S1,2087,8.4997,pathway,0.04774892
AO,S1,2088,8.0939,pathway,0.04774892
AO,S1,2089,7.7074,pathway,0.04774892
AO,S1,2090,7.3394,pathway,0.04774892
AO,S1,2091,6.9889,pathway,0.04774892
AO,S1,2092,6.6552,pathway,0.04774892
AO,S1,2093,6.3375,pathway,0.04774892
AO,S1,2094,6.0348,pathway,0.04774892
AO,S1,2095,5.7467,pathway,0.04774892
AO,S1,2096,5.4723,pathway,0.04774892
AO,S1,2097,5.211,pathway,0.04774892
AO,S1,2098,4.9622,pathway,0.04774892
AO,S1,2099,4.7252,pathway,0.04774892
AO,S1,2100,4.4996,pathway,0.04774892
AO,S2,2000,256.94,observed,0.04774892
AO,S2,2001,262.2,observed,0.04774892
AO,S2,2002,250.0,observed,0.04774892
AO,S2,2003,261.31,observed,0.04774892
AO,S2,2004,160.71,observed,0.04774892
AO,S2,2005,121.67,observed,0.04774892
AO,S2,2006,117.45,observed,0.04774892
AO,S2,2007,169.75,observed,0.04774892
AO,S2,2008,162.96,observed,0.04774892
AO,S2,2009,236.25,observed,0.04774892
AO,S2,2010,227.11,observed,0.04774892
AO,S2,2011,208.48,observed,0.04774892
AO,S2,2012,207.25,observed,0.04774892
AO,S2,2013,289.57,observed,0.04774892
AO,S2,2014,324.27,observed,0.04774892
AO,S2,2015,312.88,observed,0.04774892
AO,S2,2016,286.89,observed,0.04774892
AO,S2,2017,205.37,observed,0.04774892
AO,S2,2018,154.49,observed,0.04774892
AO,S2,2019,186.47,observed,0.04774892
AO,S2,2020,171.33,observed,0.04774892
AO,S2,2021,172.7,observed,0.04774892
AO,S2,2022,172.16,observed,0.04774892
AO,S2,2023,183.49,observed,0.04774892
AO,S2,2024,185.38,observed,0.04774892
AO,S2,2025,176.5283,pathway,0.04774892
AO,S2,2026,168.0993,pathway,0.04774892
AO,S2,2027,160.0727,pathway,0.04774892
AO,S2,2028,152.4294,pathway,0.04774892
AO,S2,2029,145.1511,pathway,0.04774892
AO,S2,2030,138.2203,pathway,0.04774892
AO,S2,2031,131.6204,pathway,0.04774892
AO,S2,2032,125.3357,pathway,0.04774892
AO,S2,2033,119.351,pathway,0.04774892
AO,S2,2034,113.6521,pathway,0.04774892
AO,S2,2035,108.2254,pathway,0.04774892
AO,S2,2036,103.0577,pathway,0.04774892
AO,S2,2037,98.1368,pathway,0.04774892
AO,S2,2038,93.4509,pathway,0.04774892
AO,S2,2039,88.9887,pathway,0.04774892
AO,S2,2040,84.7396,pathway,0.04774892
AO,S2,2041,80.6934,pathway,0.04774892
AO,S2,2042,76.8404,pathway,0.04774892
AO,S2,2043,73.1713,pathway,0.04774892
AO,S2,2044,69.6775,pathway,0.04774892
AO,S2,2045,66.3504,pathway,0.04774892
AO,S2,2046,63.1823,pathway,0.04774892
AO,S2,2047,60.1654,pathway,0.04774892
AO,S2,2048,57.2926,pathway,0.04774892
AO,S2,2049,54.5569,pathway,0.04774892
AO,S2,2050,51.9519,pathway,0.04774892
AO,S2,2051,49.4712,pathway,0.04774892
AO,S2,2052,47.109,pathway,0.04774892
AO,S2,2053,44.8596,pathway,0.04774892
AO,S2,2054,42.7176,pathway,0.04774892
AO,S2,2055,40.6779,pathway,0.04774892
AO,S2,2056,38.7356,pathway,0.04774892
AO,S2,2057,36.886,pathway,0.04774892
AO,S2,2058,35.1247,pathway,0.04774892
AO,S2,2059,33.4476,pathway,0.04774892
AO,S2,2060,31.8505,pathway,0.04774892
AO,S2,2061,30.3297,pathway,0.04774892
AO,S2,2062,28.8814,pathway,0.04774892
AO,S2,2063,27.5024,pathway,0.04774892
AO,S2,2064,26.1892,pathway,0.04774892
AO,S2,2065,24.9387,pathway,0.04774892
AO,S2,2066,23.7479,pathway,0.04774892
AO,S2,2067,22.6139,pathway,0.04774892
AO,S2,2068,21.5341,pathway,0.04774892
AO,S2,2069,20.5059,pathway,0.04774892
AO,S2,2070,19.5268,pathway,0.04774892
AO,S2,2071,18.5944,pathway,0.04774892
AO,S2,2072,17.7065,pathway,0.04774892
AO,S2,2073,16.8611,pathway,0.04774892
AO,S2,2074,16.056,pathway,0.04774892
AO,S2,2075,15.2893,pathway,0.04774892
AO,S2,2076,14.5593,pathway,0.04774892
AO,S2,2077,13.8641,pathway,0.04774892
AO,S2,2078,13.2021,pathway,0.04774892
AO,S2,2079,12.5717,pathway,0.04774892
AO,S2,2080,11.9714,pathway,0.04774892
AO,S2,2081,11.3998,pathway,0.04774892
AO,S2,2082,10.8555,pathway,0.04774892
AO,S2,2083,10.3371,pathway,0.04774892
AO,S2,2084,9.8435,pathway,0.04774892
AO,S2,2085,9.3735,pathway,0.04774892
AO,S2,2086,8.9259,pathway,0.04774892
AO,S2,2087,8.4997,pathway,0.04774892
AO,S2,2088,8.0939,pathway,0.04774892
AO,S2,2089,7.7074,pathway,0.04774892
AO,S2,2090,7.3394,pathway,0.04774892
AO,S2,2091,6.9889,pathway,0.04774892
AO,S2,2092,6.6552,pathway,0.04774892
AO,S2,2093,6.3375,pathway,0.04774892
AO,S2,2094,6.0348,pathway,0.04774892
AO,S2,2095,5.7467,pathway,0.04774892
AO,S2,2096,5.4723,pathway,0.04774892
AO,S2,2097,5.211,pathway,0.04774892
AO,S2,2098,4.9622,pathway,0.04774892
AO,S2,2099,4.7252,pathway,0.04774892
AO,S2,2100,4.4996,pathway,0.04774892
AR,S1,2000,355.47,observed,0.024037194
AR,S1,2001,302.09,observed,0.024037194
AR,S1,2002,294.83,observed,0.024037194
AR,S1,2003,316.39,observed,0.024037194
AR,S1,2004,357.67,observed,0.024037194
AR,S1,2005,357.16,observed,0.024037194
AR,S1,2006,349.91,observed,0.024037194
AR,S1,2007,388.04,observed,0.024037194
AR,S1,2008,400.62,observed,0.024037194
AR,S1,2009,382.36,observed,0.024037194
AR,S1,2010,401.59,observed,0.024037194
AR,S1,2011,419.88,observed,0.024037194
AR,S1,2012,432.14,observed,0.024037194
AR,S1,2013,422.23,observed,0.024037194
AR,S1,2014,424.14,observed,0.024037194
AR,S1,2015,426.56,observed,0.024037194
AR,S1,2016,431.92,observed,0.024037194
AR,S1,2017,425.38,observed,0.024037194
AR,S1,2018,414.29,observed,0.024037194
AR,S1,2019,397.62,observed,0.024037194
AR,S1,2020,394.7,observed,0.024037194
AR,S1,2021,406.99,observed,0.024037194
AR,S1,2022,392.69,observed,0.024037194
AR,S1,2023,350.9,observed,0.024037194
AR,S1,2024,344.83,observed,0.024037194
AR,S1,2025,346.0,observed,0.024037194
AR,S1,2026,337.6831,pathway,0.024037194
AR,S1,2027,329.5662,pathway,0.024037194
AR,S1,2028,321.6443,pathway,0.024037194
AR,S1,2029,313.9129,pathway,0.024037194
AR,S1,2030,306.3673,pathway,0.024037194
AR,S1,2031,299.0031,pathway,0.024037194
AR,S1,2032,291.8159,pathway,0.024037194
AR,S1,2033,284.8015,pathway,0.024037194
AR,S1,2034,277.9556,pathway,0.024037194
AR,S1,2035,271.2744,pathway,0.024037194
AR,S1,2036,264.7537,pathway,0.024037194
AR,S1,2037,258.3898,pathway,0.024037194
AR,S1,2038,252.1788,pathway,0.024037194
AR,S1,2039,246.1171,pathway,0.024037194
AR,S1,2040,240.2012,pathway,0.024037194
AR,S1,2041,234.4274,pathway,0.024037194
AR,S1,2042,228.7924,pathway,0.024037194
AR,S1,2043,223.2929,pathway,0.024037194
AR,S1,2044,217.9256,pathway,0.024037194
AR,S1,2045,212.6872,pathway,0.024037194
AR,S1,2046,207.5748,pathway,0.024037194
AR,S1,2047,202.5853,pathway,0.024037194
AR,S1,2048,197.7157,pathway,0.024037194
AR,S1,2049,192.9632,pathway,0.024037194
AR,S1,2050,188.3249,pathway,0.024037194
AR,S1,2051,183.7981,pathway,0.024037194
AR,S1,2052,179.3801,pathway,0.024037194
AR,S1,2053,175.0683,pathway,0.024037194
AR,S1,2054,170.8602,pathway,0.024037194
AR,S1,2055,166.7532,pathway,0.024037194
AR,S1,2056,162.7449,pathway,0.024037194
AR,S1,2057,158.833,pathway,0.024037194
AR,S1,2058,155.0151,pathway,0.024037194
AR,S1,2059,151.2889,pathway,0.024037194
AR,S1,2060,147.6524,pathway,0.024037194
AR,S1,2061,144.1032,pathway,0.024037194
AR,S1,2062,140.6394,pathway,0.024037194
AR,S1,2063,137.2588,pathway,0.024037194
AR,S1,2064,133.9595,pathway,0.024037194
AR,S1,2065,130.7395,pathway,0.024037194
AR,S1,2066,127.5969,pathway,0.024037194
AR,S1,2067,124.5298,pathway,0.024037194
AR,S1,2068,121.5365,pathway,0.024037194
AR,S1,2069,118.6151,pathway,0.024037194
AR,S1,2070,115.7639,pathway,0.024037194
AR,S1,2071,112.9813,pathway,0.024037194
AR,S1,2072,110.2655,pathway,0.024037194
AR,S1,2073,107.615,pathway,0.024037194
AR,S1,2074,105.0283,pathway,0.024037194
AR,S1,2075,102.5037,pathway,0.024037194
AR,S1,2076,100.0398,pathway,0.024037194
AR,S1,2077,97.6351,pathway,0.024037194
AR,S1,2078,95.2882,pathway,0.024037194
AR,S1,2079,92.9978,pathway,0.024037194
AR,S1,2080,90.7624,pathway,0.024037194
AR,S1,2081,88.5807,pathway,0.024037194
AR,S1,2082,86.4515,pathway,0.024037194
AR,S1,2083,84.3734,pathway,0.024037194
AR,S1,2084,82.3453,pathway,0.024037194
