gem_unit_id,scenario,dimension,variant,parameter,ti_lifetime_tco2,ti_remaining_tco2
G100000405038,S1,efficiency,low,0.511,-677799.814,5746632.113
G100000405038,S1,efficiency,high,0.589,-5958044.73,2294164.284
G100000405038,S1,emission_factor,central,56100.0,-3505130.953,3897992.52
G100000405038,S1,emission_factor,low,54300.0,-4693500.802,3120981.467
G100000405038,S1,emission_factor,high,58300.0,-2052107.237,4848046.491
G100000405038,S2,capacity_factor,central,0.3313,-3505130.953,3897992.52
G100000405038,S2,capacity_factor,low,0.3242,-3430013.448,3814455.704
G100000405038,S2,capacity_factor,high,0.3969,-4199174.391,4669825.63
G100000405038,S2,efficiency,central,0.55,-3505130.953,3897992.52
G100000405038,S2,efficiency,low,0.511,-677799.814,5746632.113
G100000405038,S2,efficiency,high,0.589,-5958044.73,2294164.284
G100000405038,S2,emission_factor,central,56100.0,-3505130.953,3897992.52
G100000405038,S2,emission_factor,low,54300.0,-4693500.802,3120981.467
G100000405038,S2,emission_factor,high,58300.0,-2052107.237,4848046.491
G100000405039,S1,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405039,S1,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405039,S1,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405039,S1,efficiency,central,0.36,1080171.555,1122932.287
G100000405039,S1,efficiency,low,0.335,1364486.355,1308830.424
G100000405039,S1,efficiency,high,0.385,832780.762,961176.767
G100000405039,S1,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405039,S1,emission_factor,low,54300.0,957931.399,1043006.03
G100000405039,S1,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405039,S2,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405039,S2,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405039,S2,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405039,S2,efficiency,central,0.36,1080171.555,1122932.287
G100000405039,S2,efficiency,low,0.335,1364486.355,1308830.424
G100000405039,S2,efficiency,high,0.385,832780.762,961176.767
G100000405039,S2,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405039,S2,emission_factor,low,54300.0,957931.399,1043006.03
G100000405039,S2,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405040,S1,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405040,S1,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405040,S1,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405040,S1,efficiency,central,0.36,1080171.555,1122932.287
G100000405040,S1,efficiency,low,0.335,1364486.355,1308830.424
G100000405040,S1,efficiency,high,0.385,832780.762,961176.767
G100000405040,S1,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405040,S1,emission_factor,low,54300.0,957931.399,1043006.03
G100000405040,S1,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405040,S2,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405040,S2,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405040,S2,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405040,S2,efficiency,central,0.36,1080171.555,1122932.287
G100000405040,S2,efficiency,low,0.335,1364486.355,1308830.424
G100000405040,S2,efficiency,high,0.385,832780.762,961176.767
G100000405040,S2,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405040,S2,emission_factor,low,54300.0,957931.399,1043006.03
G100000405040,S2,emission_factor,high,58300.0,1229576.196,1220619.937
G100000405041,S1,capacity_factor,central,0.3313,1080171.555,1122932.287
G100000405041,S1,capacity_factor,low,0.3242,1057022.692,1098867.03
G100000405041,S1,capacity_factor,high,0.3969,1294054.001,1345281.693
G100000405041,S1,efficiency,central,0.36,1080171.555,1122932.287
G100000405041,S1,efficiency,low,0.335,1364486.355,1308830.424
G100000405041,S1,efficiency,high,0.385,832780.762,961176.767
G100000405041,S1,emission_factor,central,56100.0,1080171.555,1122932.287
G100000405041,S1,emission_factor,low,54300.0,957931.399,1043006.03
