company_id,company_name,company_country,phase,role_tier1,role_tier2,role_tier2_all,share,share_basis,origin,also_stated_by,gem_unit_id,gem_location_id,plant_name,country,fuel_type,status,capacity_mw,start_year,scenario,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction,tier,latitude,longitude,source_url
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,1.0,equity_share,gem,,G100000407918,L100000406935,Ukudu power station,GU,gas,operating,198.0,2025,S1,-4702885.03,-4702885.03,-4498015.45,-4498015.45,contribution,C,13.52612,144.817776,https://www.gem.wiki/Ukudu_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_parent,equity_parent,1.0,equity_share,gem,,G100000407918,L100000406935,Ukudu power station,GU,gas,operating,198.0,2025,S2,3705682.871,3705682.871,3874397.041,3874397.041,liability,C,13.52612,144.817776,https://www.gem.wiki/Ukudu_power_station
samsung_ct,Samsung C&T Engineering & Construction,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100001062047,L100001054214,Yona solar farm,GU,solar,announced,132.0,2028,S1,-2881180.881,,-2881180.881,,contribution,B,13.388,144.7217,https://www.gem.wiki/Yona_solar_farm
samsung_ct,Samsung C&T Engineering & Construction,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100001062047,L100001054214,Yona solar farm,GU,solar,announced,132.0,2028,S2,-1068627.246,,-1068627.246,,contribution,B,13.388,144.7217,https://www.gem.wiki/Yona_solar_farm
ewp,Korea East-West Power,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100001062047,L100001054214,Yona solar farm,GU,solar,announced,132.0,2028,S1,-2881180.881,,-2881180.881,,contribution,B,13.388,144.7217,https://www.gem.wiki/Yona_solar_farm
ewp,Korea East-West Power,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100001062047,L100001054214,Yona solar farm,GU,solar,announced,132.0,2028,S2,-1068627.246,,-1068627.246,,contribution,B,13.388,144.7217,https://www.gem.wiki/Yona_solar_farm
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100001062047,L100001054214,Yona solar farm,GU,solar,announced,132.0,2028,S1,-2881180.881,,-2881180.881,,contribution,B,13.388,144.7217,https://www.gem.wiki/Yona_solar_farm
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100001062047,L100001054214,Yona solar farm,GU,solar,announced,132.0,2028,S2,-1068627.246,,-1068627.246,,contribution,B,13.388,144.7217,https://www.gem.wiki/Yona_solar_farm
mitsubishi_corp,Mitsubishi Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.115,equity_share,gem,,G100000100367,L100000102695,Asahimas Chemical power station,ID,coal,operating,150.0,2019,S1,7582880.691,872031.279,6366269.949,732121.044,liability,C,-6.024754,105.942635,https://www.gem.wiki/Asahimas_Chemical_power_station
mitsubishi_corp,Mitsubishi Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.115,equity_share,gem,,G100000100367,L100000102695,Asahimas Chemical power station,ID,coal,operating,150.0,2019,S2,7582880.691,872031.279,6366269.949,732121.044,liability,C,-6.024754,105.942635,https://www.gem.wiki/Asahimas_Chemical_power_station
