company_id,company_name,company_country,phase,role_tier1,role_tier2_all,scenario,units,units_with_share,units_from_register,units_from_company_ir,units_from_gem,units_from_wiki,capacity_mw,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction_full
osaka_gas,Osaka Gas,JP,investment,equity_owner,equity_direct|equity_parent,S1,16,16,0,0,16,0,7629.0,8886232.716,5511486.029,49916095.585,13770016.052,liability
osaka_gas,Osaka Gas,JP,investment,equity_owner,equity_direct|equity_parent,S2,16,16,0,0,16,0,7629.0,36679144.603,13775807.353,77709007.472,22034337.375,liability
posco_international,POSCO International,KR,investment,equity_owner,equity_direct|equity_parent,S1,6,6,0,2,4,0,1839.7,144838934.405,50419660.496,107327400.478,37229730.782,liability
posco_international,POSCO International,KR,investment,equity_owner,equity_direct|equity_parent,S2,6,6,0,2,4,0,1839.7,144960424.159,50420875.393,107448890.232,37230945.679,liability
posco_international,POSCO International,KR,operation,om_contractor,om_contract,S1,2,0,0,2,0,0,1240.0,135153427.324,0,100230642.182,0,liability
posco_international,POSCO International,KR,operation,om_contractor,om_contract,S2,2,0,0,2,0,0,1240.0,135153427.324,0,100230642.182,0,liability
samsung_ct,Samsung C&T Engineering & Construction,KR,construction,epc_contractor,epc_lead,S1,3,0,0,2,0,1,2820.0,91633381.877,0,90579983.029,0,liability
samsung_ct,Samsung C&T Engineering & Construction,KR,construction,epc_contractor,epc_lead,S2,3,0,0,2,0,1,2820.0,91633381.877,0,90579983.029,0,liability
samsung_ct,Samsung C&T Engineering & Construction,KR,investment,equity_owner,equity_direct|equity_parent,S1,18,11,0,0,18,0,7066.0,-204727148.269,-25676978.55,-126540105.299,-15375532.637,contribution
samsung_ct,Samsung C&T Engineering & Construction,KR,investment,equity_owner,equity_direct|equity_parent,S2,11,4,0,0,11,0,2040.6,-14744350.526,-2385248.387,-11526174.177,-1336205.609,contribution
samsung_ct,Samsung C&T Engineering & Construction,KR,operation,om_contractor,operator_of_record,S1,1,0,0,0,1,0,110.1,-1180703.618,0,-1180703.618,0,contribution
samsung_ct,Samsung C&T Engineering & Construction,KR,operation,om_contractor,operator_of_record,S2,1,0,0,0,1,0,110.1,-939387.731,0,-939387.731,0,contribution
shikoku,Shikoku Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S1,11,11,0,0,8,3,7473.0,30540293.265,12939149.483,74997393.967,16002368.154,liability
shikoku,Shikoku Electric Power,JP,investment,equity_owner,equity_parent,S2,6,6,0,0,3,3,4620.0,110627809.536,18493614.197,113045031.848,19203259.659,liability
sk_ecoplant,SK ecoplant,KR,investment,equity_owner,equity_direct,S1,1,1,0,0,1,0,410.0,-20723012.345,-4973522.963,-17779051.13,-4266972.271,contribution
sojitz,Sojitz Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,12,12,0,0,12,0,8107.0,-195944544.071,-45735947.683,-178478924.049,-41809459.58,contribution
sojitz,Sojitz Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,11,11,0,0,11,0,6534.0,-84048840.114,-17719771.052,-66583220.092,-13793282.949,contribution
sojitz,Sojitz Corporation,JP,operation,om_contractor,operator_of_record,S1,1,0,0,0,1,0,98.0,-847227.798,0,-453132.938,0,contribution
sojitz,Sojitz Corporation,JP,operation,om_contractor,operator_of_record,S2,1,0,0,0,1,0,98.0,-847227.798,0,-453132.938,0,contribution
sumitomo_corp,Sumitomo Corporation,JP,development,developer,project_development,S1,4,0,0,4,0,0,2640.0,155069630.06,0,90889241.269,0,liability
sumitomo_corp,Sumitomo Corporation,JP,development,developer,project_development,S2,4,0,0,4,0,0,2640.0,155069630.06,0,90889241.269,0,liability
sumitomo_corp,Sumitomo Corporation,JP,construction,epc_contractor,epc_civil_works,S1,2,0,0,2,0,0,1200.0,15472302.974,0,13863830.928,0,liability
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,38,36,0,4,34,0,19325.9,-30970809.934,175455179.391,22183108.953,136638624.04,contribution
