gem_unit_id,gem_location_id,country,plant_name,unit_name,fuel_type,fuel_id,technology,status,capacity_mw,start_year,end_year,lifetime_years,lifetime_source,capacity_factor,cf_source,cf_low,cf_high,heat_rate_mj_per_kwh,heat_rate_source,ef_kgco2_per_tj,ef_basis,intensity_gco2_per_kwh,biogenic,biogenic_intensity_gco2_per_kwh,biogenic_lifetime_tco2,scenario,years_counted,years_dropped,e_prod_lifetime_tco2,e_ref_lifetime_tco2,ti_lifetime_tco2,ti_remaining_tco2,analysis_year,crossover_year,direction,layer1_tier,layer2_tier,tier,latitude,longitude,matched_companies,wiki_url
G100000405046,L100000405579,AE,Hamriyah IPP power station,2,gas,natural_gas,combined cycle,operating,600.0,2023,2052,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,19182301.8,14473386.964,4708914.84,5226225.265,2026,2030,liability,A,C,C,25.459488,55.478473,sumitomo_corp;shikoku,https://www.gem.wiki/Hamriyah_IPP_power_station
G100000405046,L100000405579,AE,Hamriyah IPP power station,2,gas,natural_gas,combined cycle,operating,600.0,2023,2052,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,19182301.8,14473386.964,4708914.84,5226225.265,2026,2030,liability,A,C,C,25.459488,55.478473,sumitomo_corp;shikoku,https://www.gem.wiki/Hamriyah_IPP_power_station
G100000405047,L100000405579,AE,Hamriyah IPP power station,3,gas,natural_gas,combined cycle,operating,600.0,2023,2052,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,19182301.8,14473386.964,4708914.84,5226225.265,2026,2030,liability,A,C,C,25.459488,55.478473,sumitomo_corp;shikoku,https://www.gem.wiki/Hamriyah_IPP_power_station
G100000405047,L100000405579,AE,Hamriyah IPP power station,3,gas,natural_gas,combined cycle,operating,600.0,2023,2052,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,19182301.8,14473386.964,4708914.84,5226225.265,2026,2030,liability,A,C,C,25.459488,55.478473,sumitomo_corp;shikoku,https://www.gem.wiki/Hamriyah_IPP_power_station
G100000405038,L100000405588,AE,Mirfa Independent Water and Power Project,CC,gas,natural_gas,combined cycle,operating,1337.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,26,0,37045287.526,40550418.472,-3505130.953,3897992.52,2026,2030,contribution,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405038,L100000405588,AE,Mirfa Independent Water and Power Project,CC,gas,natural_gas,combined cycle,operating,1337.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,26,0,37045287.526,40550418.472,-3505130.953,3897992.52,2026,2030,contribution,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405039,L100000405588,AE,Mirfa Independent Water and Power Project,1,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S1,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405039,L100000405588,AE,Mirfa Independent Water and Power Project,1,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S2,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405040,L100000405588,AE,Mirfa Independent Water and Power Project,2,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S1,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405040,L100000405588,AE,Mirfa Independent Water and Power Project,2,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S2,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405041,L100000405588,AE,Mirfa Independent Water and Power Project,3,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S1,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405041,L100000405588,AE,Mirfa Independent Water and Power Project,3,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S2,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405042,L100000405588,AE,Mirfa Independent Water and Power Project,4,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S1,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000405042,L100000405588,AE,Mirfa Independent Water and Power Project,4,gas,natural_gas,gas turbine,operating,90.0,2017,2042,26,retired_year,0.3313,country_implied,0.3242,0.3969,10.0,default,56100.0,ipcc_default,561.0,no,0.0,0.0,S2,26,0,3809818.272,2729646.72,1080171.555,1122932.287,2026,2022,liability,A,C,C,24.121,53.447,sojitz,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project
G100000804694,L100000804102,AE,Noor Abu Dhabi solar farm,--,solar,,PV,operating,1177.0,2019,2043,25,default,0.2671,country_implied,0.2378,0.2767,,not_applicable,,not_applicable,0.0,no,0.0,0.0,S1,25,0,0.0,25635511.596,-25635511.596,-14982581.681,2026,,contribution,A,B,B,24.5361,55.4321,marubeni,https://www.gem.wiki/Noor_Abu_Dhabi_solar_farm
G100000804694,L100000804102,AE,Noor Abu Dhabi solar farm,--,solar,,PV,operating,1177.0,2019,2043,25,default,0.2671,country_implied,0.2378,0.2767,,not_applicable,,not_applicable,0.0,no,0.0,0.0,S2,25,0,0.0,25635511.596,-25635511.596,-14982581.681,2026,,contribution,A,B,B,24.5361,55.4321,marubeni,https://www.gem.wiki/Noor_Abu_Dhabi_solar_farm
G100000405048,L100000405592,AE,Shuweihat S1 power plant,1,gas,natural_gas,combined cycle,operating,1615.0,2004,2025,22,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,22,0,37863732.39,65640456.148,-27776723.753,0,2026,,contribution,A,C,C,24.165085,52.569724,sumitomo_corp,https://www.gem.wiki/Shuweihat_S1_power_plant
G100000405048,L100000405592,AE,Shuweihat S1 power plant,1,gas,natural_gas,combined cycle,operating,1615.0,2004,2025,22,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,22,0,37863732.39,65640456.148,-27776723.753,0,2026,,contribution,A,C,C,24.165085,52.569724,sumitomo_corp,https://www.gem.wiki/Shuweihat_S1_power_plant
G100000405049,L100000405593,AE,Shuweihat S2 power plant,1,gas,natural_gas,combined cycle,operating,820.5,2011,2036,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,26,0,22734224.682,31154690.335,-8420465.645,531970.427,2026,2030,contribution,A,C,C,24.156936,52.569199,marubeni;osaka_gas,https://www.gem.wiki/Shuweihat_S2_power_plant
G100000405049,L100000405593,AE,Shuweihat S2 power plant,1,gas,natural_gas,combined cycle,operating,820.5,2011,2036,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,26,0,22734224.682,31154690.335,-8420465.645,531970.427,2026,2030,contribution,A,C,C,24.156936,52.569199,marubeni;osaka_gas,https://www.gem.wiki/Shuweihat_S2_power_plant
G100000405050,L100000405593,AE,Shuweihat S2 power plant,2,gas,natural_gas,combined cycle,operating,820.5,2012,2036,25,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,25,0,21859831.425,29543563.609,-7683732.176,531970.427,2026,2030,contribution,A,C,C,24.156936,52.569199,marubeni;osaka_gas,https://www.gem.wiki/Shuweihat_S2_power_plant
G100000405050,L100000405593,AE,Shuweihat S2 power plant,2,gas,natural_gas,combined cycle,operating,820.5,2012,2036,25,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,25,0,21859831.425,29543563.609,-7683732.176,531970.427,2026,2030,contribution,A,C,C,24.156936,52.569199,marubeni;osaka_gas,https://www.gem.wiki/Shuweihat_S2_power_plant
G100000405051,L100000405594,AE,Shuweihat S3 power plant,1,gas,natural_gas,combined cycle,operating,823.5,2014,2039,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,26,0,22817348.008,28229923.025,-5412575.027,1355387.802,2026,2030,contribution,A,C,C,24.1535,52.566208,kepco;sumitomo_corp,https://www.gem.wiki/Shuweihat_S3_power_plant
G100000405051,L100000405594,AE,Shuweihat S3 power plant,1,gas,natural_gas,combined cycle,operating,823.5,2014,2039,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,26,0,22817348.008,28229923.025,-5412575.027,1355387.802,2026,2030,contribution,A,C,C,24.1535,52.566208,kepco;sumitomo_corp,https://www.gem.wiki/Shuweihat_S3_power_plant
G100000405052,L100000405594,AE,Shuweihat S3 power plant,2,gas,natural_gas,combined cycle,operating,823.5,2014,2039,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,26,0,22817348.008,28229923.025,-5412575.027,1355387.802,2026,2030,contribution,A,C,C,24.1535,52.566208,kepco;sumitomo_corp,https://www.gem.wiki/Shuweihat_S3_power_plant
G100000405052,L100000405594,AE,Shuweihat S3 power plant,2,gas,natural_gas,combined cycle,operating,823.5,2014,2039,26,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,26,0,22817348.008,28229923.025,-5412575.027,1355387.802,2026,2030,contribution,A,C,C,24.1535,52.566208,kepco;sumitomo_corp,https://www.gem.wiki/Shuweihat_S3_power_plant
G100000405055,L100000405597,AE,Taweelah B Power and Desalination Station,Initial B EXT,gas,natural_gas,combined cycle,operating,337.9,2001,2030,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,10802832.96,17650536.276,-6847703.311,-125547.63,2026,2030,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405055,L100000405597,AE,Taweelah B Power and Desalination Station,Initial B EXT,gas,natural_gas,combined cycle,operating,337.9,2001,2030,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,10802832.96,17650536.276,-6847703.311,-125547.63,2026,2030,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405056,L100000405597,AE,Taweelah B Power and Desalination Station,ST11,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S1,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405056,L100000405597,AE,Taweelah B Power and Desalination Station,ST11,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S2,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405057,L100000405597,AE,Taweelah B Power and Desalination Station,ST21,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S1,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405057,L100000405597,AE,Taweelah B Power and Desalination Station,ST21,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S2,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405058,L100000405597,AE,Taweelah B Power and Desalination Station,ST31,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S1,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405058,L100000405597,AE,Taweelah B Power and Desalination Station,ST31,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S2,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405059,L100000405597,AE,Taweelah B Power and Desalination Station,ST41,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S1,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405059,L100000405597,AE,Taweelah B Power and Desalination Station,ST41,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S2,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405060,L100000405597,AE,Taweelah B Power and Desalination Station,ST51,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S1,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405060,L100000405597,AE,Taweelah B Power and Desalination Station,ST51,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S2,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405061,L100000405597,AE,Taweelah B Power and Desalination Station,ST61,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S1,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405061,L100000405597,AE,Taweelah B Power and Desalination Station,ST61,gas,natural_gas,steam turbine,operating,146.0,1997,2026,30,default,0.3313,country_implied,0.3242,0.3969,9.4737,default,56100.0,ipcc_default,531.474,no,0.0,0.0,S2,27,3,6080284.872,7262419.434,-1182134.56,43793.813,2026,2023,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405062,L100000405597,AE,Taweelah B Power and Desalination Station,New B EXT,gas,natural_gas,combined cycle,operating,1041.0,2008,2037,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,33281293.62,46457295.544,-13176001.912,987251.086,2026,2030,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000405062,L100000405597,AE,Taweelah B Power and Desalination Station,New B EXT,gas,natural_gas,combined cycle,operating,1041.0,2008,2037,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,33281293.62,46457295.544,-13176001.912,987251.086,2026,2030,contribution,A,C,C,24.76581,54.686594,marubeni;kyushu,https://www.gem.wiki/Taweelah_B_Power_and_Desalination_Station
G100000410458,L100000405598,AE,Umm Al Nar West and East Integrated Water and power plant,CC1,gas,natural_gas,combined cycle,operating,1706.0,2007,2027,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,21,0,38179174.698,63434573.485,-25255398.796,-511960.988,2026,,contribution,A,C,C,24.434804,54.487617,jera,https://www.gem.wiki/Umm_Al_Nar_West_and_East_Integrated_Water_and_power_plant
G100000410458,L100000405598,AE,Umm Al Nar West and East Integrated Water and power plant,CC1,gas,natural_gas,combined cycle,operating,1706.0,2007,2027,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,21,0,38179174.698,63434573.485,-25255398.796,-511960.988,2026,,contribution,A,C,C,24.434804,54.487617,jera,https://www.gem.wiki/Umm_Al_Nar_West_and_East_Integrated_Water_and_power_plant
G100000407060,L100000406735,AO,Lobito power station,1-1,gas,natural_gas,combined cycle,pre-construction,375.0,2027,2056,30,default,0.222,country_implied,0.2204,0.2648,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,8033638.32,1881432.586,6152205.734,6152205.734,2026,2027,liability,A,C,C,-12.366489,13.532781,kepco;kospo;hyundai_ec;hyundai_engineering,https://www.gem.wiki/Lobito_power_station
G100000407060,L100000406735,AO,Lobito power station,1-1,gas,natural_gas,combined cycle,pre-construction,375.0,2027,2056,30,default,0.222,country_implied,0.2204,0.2648,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,8033638.32,1881432.586,6152205.734,6152205.734,2026,2027,liability,A,C,C,-12.366489,13.532781,kepco;kospo;hyundai_ec;hyundai_engineering,https://www.gem.wiki/Lobito_power_station
G100000407061,L100000406735,AO,Lobito power station,1-2,gas,natural_gas,combined cycle,pre-construction,375.0,2029,2058,30,default,0.222,country_implied,0.2204,0.2648,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,8033638.32,1706049.422,6327588.898,6327588.898,2026,2029,liability,A,C,C,-12.366489,13.532781,kepco;kospo;hyundai_ec;hyundai_engineering,https://www.gem.wiki/Lobito_power_station
G100000407061,L100000406735,AO,Lobito power station,1-2,gas,natural_gas,combined cycle,pre-construction,375.0,2029,2058,30,default,0.222,country_implied,0.2204,0.2648,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,8033638.32,1706049.422,6327588.898,6327588.898,2026,2029,liability,A,C,C,-12.366489,13.532781,kepco;kospo;hyundai_ec;hyundai_engineering,https://www.gem.wiki/Lobito_power_station
G100000907500,L100000905494,AR,Los Hercules wind farm,--,wind,,Onshore,operating,97.0,2021,2045,25,default,0.4723,country_implied,0.4273,0.4883,,not_applicable,,not_applicable,0.0,no,0.0,0.0,S1,25,0,0.0,2911275.697,-2911275.697,-2172275.961,2026,,contribution,A,B,B,-46.6343,-68.3925,mitsui,https://www.gem.wiki/Los_Hercules_wind_farm
G100000907500,L100000905494,AR,Los Hercules wind farm,--,wind,,Onshore,operating,97.0,2021,2045,25,default,0.4723,country_implied,0.4273,0.4883,,not_applicable,,not_applicable,0.0,no,0.0,0.0,S2,25,0,0.0,2911275.697,-2911275.697,-2172275.961,2026,,contribution,A,B,B,-46.6343,-68.3925,mitsui,https://www.gem.wiki/Los_Hercules_wind_farm
