gem_unit_id,scenario,t,calendar_year,generation_gwh,grid_gco2_per_kwh,grid_basis,e_prod_tco2,e_ref_tco2,ti_tco2,cumulative_ti_tco2
G100000811471,S1,24,2050,3509.694,148.88,pathway,0.0,522521.839,-522521.839,-23284300.783
G100000811471,S2,0,2026,3509.694,428.118,pathway,0.0,1502563.176,-1502563.176,-1502563.176
G100000811471,S2,1,2027,3509.694,409.685,pathway,0.0,1437868.284,-1437868.284,-2940431.46
G100000811471,S2,2,2028,3509.694,392.045,pathway,0.0,1375958.686,-1375958.686,-4316390.147
G100000811471,S2,3,2029,3509.694,375.165,pathway,0.0,1316714.7,-1316714.7,-5633104.847
G100000811471,S2,4,2030,3509.694,359.012,pathway,0.0,1260021.911,-1260021.911,-6893126.758
G100000811471,S2,5,2031,3509.694,343.554,pathway,0.0,1205769.763,-1205769.763,-8098896.522
G100000811471,S2,6,2032,3509.694,328.762,pathway,0.0,1153853.668,-1153853.668,-9252750.19
G100000811471,S2,7,2033,3509.694,314.606,pathway,0.0,1104172.545,-1104172.545,-10356922.735
G100000811471,S2,8,2034,3509.694,301.061,pathway,0.0,1056630.932,-1056630.932,-11413553.667
G100000811471,S2,9,2035,3509.694,288.098,pathway,0.0,1011136.173,-1011136.173,-12424689.84
G100000811471,S2,10,2036,3509.694,275.694,pathway,0.0,967600.174,-967600.174,-13392290.014
G100000811471,S2,11,2037,3509.694,263.823,pathway,0.0,925938.702,-925938.702,-14318228.716
G100000811471,S2,12,2038,3509.694,252.464,pathway,0.0,886071.035,-886071.035,-15204299.751
G100000811471,S2,13,2039,3509.694,241.594,pathway,0.0,847919.959,-847919.959,-16052219.711
G100000811471,S2,14,2040,3509.694,231.191,pathway,0.0,811411.42,-811411.42,-16863631.131
G100000811471,S2,15,2041,3509.694,221.237,pathway,0.0,776475.224,-776475.224,-17640106.355
G100000811471,S2,16,2042,3509.694,211.712,pathway,0.0,743042.932,-743042.932,-18383149.288
G100000811471,S2,17,2043,3509.694,202.596,pathway,0.0,711049.966,-711049.966,-19094199.253
G100000811471,S2,18,2044,3509.694,193.873,pathway,0.0,680434.554,-680434.554,-19774633.807
G100000811471,S2,19,2045,3509.694,185.525,pathway,0.0,651137.734,-651137.734,-20425771.541
G100000811471,S2,20,2046,3509.694,177.537,pathway,0.0,623101.948,-623101.948,-21048873.489
G100000811471,S2,21,2047,3509.694,169.893,pathway,0.0,596273.496,-596273.496,-21645146.985
G100000811471,S2,22,2048,3509.694,162.578,pathway,0.0,570600.084,-570600.084,-22215747.069
G100000811471,S2,23,2049,3509.694,155.578,pathway,0.0,546031.875,-546031.875,-22761778.944
G100000811471,S2,24,2050,3509.694,148.88,pathway,0.0,522521.839,-522521.839,-23284300.783
G100000405012,S1,0,2011,2516.197,676.59,observed,923947.537,1702433.726,-778486.189,-778486.189
G100000405012,S1,1,2012,2516.197,676.58,observed,923947.537,1702408.564,-778461.027,-1556947.215
G100000405012,S1,2,2013,2516.197,676.15,observed,923947.537,1701326.599,-777379.062,-2334326.277
G100000405012,S1,3,2014,2516.197,675.05,observed,923947.537,1698558.782,-774611.245,-3108937.522
G100000405012,S1,4,2015,2516.197,675.22,observed,923947.537,1698986.536,-775038.999,-3883976.521
G100000405012,S1,5,2016,2516.197,675.26,observed,923947.537,1699087.184,-775139.647,-4659116.168
G100000405012,S1,6,2017,2516.197,673.26,observed,923947.537,1694054.79,-770107.253,-5429223.42
G100000405012,S1,7,2018,2516.197,671.2,observed,923947.537,1688871.424,-764923.887,-6194147.307
G100000405012,S1,8,2019,2516.197,660.09,observed,923947.537,1660916.475,-736968.938,-6931116.245
G100000405012,S1,9,2020,2516.197,645.69,observed,923947.537,1624683.238,-700735.701,-7631851.947
G100000405012,S1,10,2021,2516.197,605.3,observed,923947.537,1523054.042,-599106.505,-8230958.451
G100000405012,S1,11,2022,2516.197,558.49,observed,923947.537,1405270.86,-481323.323,-8712281.775
G100000405012,S1,12,2023,2516.197,483.79,observed,923947.537,1217310.945,-293363.408,-9005645.182
G100000405012,S1,13,2024,2516.197,467.51,observed,923947.537,1176347.258,-252399.721,-9258044.903
G100000405012,S1,14,2025,2516.197,447.381,pathway,923947.537,1125697.973,-201750.436,-9459795.34
G100000405012,S1,15,2026,2516.197,428.118,pathway,923947.537,1077229.226,-153281.689,-9613077.028
G100000405012,S1,16,2027,2516.197,409.685,pathway,923947.537,1030847.663,-106900.126,-9719977.154
G100000405012,S1,17,2028,2516.197,392.045,pathway,923947.537,986462.955,-62515.418,-9782492.572
G100000405012,S1,18,2029,2516.197,375.165,pathway,923947.537,943989.298,-20041.761,-9802534.333
G100000405012,S1,19,2030,2516.197,359.012,pathway,923947.537,903344.664,20602.873,-9781931.46
G100000405012,S1,20,2031,2516.197,343.554,pathway,923947.537,864449.794,59497.743,-9722433.717
G100000405012,S2,0,2011,2516.197,676.59,observed,923947.537,1702433.726,-778486.189,-778486.189
G100000405012,S2,1,2012,2516.197,676.58,observed,923947.537,1702408.564,-778461.027,-1556947.215
G100000405012,S2,2,2013,2516.197,676.15,observed,923947.537,1701326.599,-777379.062,-2334326.277
G100000405012,S2,3,2014,2516.197,675.05,observed,923947.537,1698558.782,-774611.245,-3108937.522
G100000405012,S2,4,2015,2516.197,675.22,observed,923947.537,1698986.536,-775038.999,-3883976.521
G100000405012,S2,5,2016,2516.197,675.26,observed,923947.537,1699087.184,-775139.647,-4659116.168
G100000405012,S2,6,2017,2516.197,673.26,observed,923947.537,1694054.79,-770107.253,-5429223.42
G100000405012,S2,7,2018,2516.197,671.2,observed,923947.537,1688871.424,-764923.887,-6194147.307
G100000405012,S2,8,2019,2516.197,660.09,observed,923947.537,1660916.475,-736968.938,-6931116.245
G100000405012,S2,9,2020,2516.197,645.69,observed,923947.537,1624683.238,-700735.701,-7631851.947
G100000405012,S2,10,2021,2516.197,605.3,observed,923947.537,1523054.042,-599106.505,-8230958.451
G100000405012,S2,11,2022,2516.197,558.49,observed,923947.537,1405270.86,-481323.323,-8712281.775
G100000405012,S2,12,2023,2516.197,483.79,observed,923947.537,1217310.945,-293363.408,-9005645.182
G100000405012,S2,13,2024,2516.197,467.51,observed,923947.537,1176347.258,-252399.721,-9258044.903
G100000405012,S2,14,2025,2516.197,447.381,pathway,923947.537,1125697.973,-201750.436,-9459795.34
G100000405012,S2,15,2026,2516.197,428.118,pathway,923947.537,1077229.226,-153281.689,-9613077.028
G100000405012,S2,16,2027,2516.197,409.685,pathway,923947.537,1030847.663,-106900.126,-9719977.154
G100000405012,S2,17,2028,2516.197,392.045,pathway,923947.537,986462.955,-62515.418,-9782492.572
G100000405012,S2,18,2029,2516.197,375.165,pathway,923947.537,943989.298,-20041.761,-9802534.333
G100000405012,S2,19,2030,2516.197,359.012,pathway,923947.537,903344.664,20602.873,-9781931.46
G100000405012,S2,20,2031,2516.197,343.554,pathway,923947.537,864449.794,59497.743,-9722433.717
G100000405013,S1,0,2011,1253.745,676.59,observed,460375.243,848271.476,-387896.232,-387896.232
G100000405013,S1,1,2012,1253.745,676.58,observed,460375.243,848258.938,-387883.695,-775779.927
G100000405013,S1,2,2013,1253.745,676.15,observed,460375.243,847719.828,-387344.584,-1163124.512
G100000405013,S1,3,2014,1253.745,675.05,observed,460375.243,846340.708,-385965.465,-1549089.977
G100000405013,S1,4,2015,1253.745,675.22,observed,460375.243,846553.845,-386178.601,-1935268.578
G100000405013,S1,5,2016,1253.745,675.26,observed,460375.243,846603.995,-386228.751,-2321497.329
G100000405013,S1,6,2017,1253.745,673.26,observed,460375.243,844096.504,-383721.261,-2705218.59
G100000405013,S1,7,2018,1253.745,671.2,observed,460375.243,841513.789,-381138.546,-3086357.136
G100000405013,S1,8,2019,1253.745,660.09,observed,460375.243,827584.68,-367209.436,-3453566.572
G100000405013,S1,9,2020,1253.745,645.69,observed,460375.243,809530.749,-349155.505,-3802722.077
G100000405013,S1,10,2021,1253.745,605.3,observed,460375.243,758891.979,-298516.736,-4101238.813
G100000405013,S1,11,2022,1253.745,558.49,observed,460375.243,700204.166,-239828.922,-4341067.735
G100000405013,S1,12,2023,1253.745,483.79,observed,460375.243,606549.398,-146174.155,-4487241.89
G100000405013,S1,13,2024,1253.745,467.51,observed,460375.243,586138.426,-125763.183,-4613005.073
G100000405013,S1,14,2025,1253.745,447.381,pathway,460375.243,560901.412,-100526.169,-4713531.242
G100000405013,S1,15,2026,1253.745,428.118,pathway,460375.243,536750.894,-76375.651,-4789906.893
G100000405013,S1,16,2027,1253.745,409.685,pathway,460375.243,513640.358,-53265.115,-4843172.008
G100000405013,S1,17,2028,1253.745,392.045,pathway,460375.243,491524.794,-31149.551,-4874321.558
G100000405013,S1,18,2029,1253.745,375.165,pathway,460375.243,470361.449,-9986.206,-4884307.764
G100000405013,S1,19,2030,1253.745,359.012,pathway,460375.243,450109.452,10265.791,-4874041.973
G100000405013,S1,20,2031,1253.745,343.554,pathway,460375.243,430729.309,29645.934,-4844396.039
G100000405013,S2,0,2011,1253.745,676.59,observed,460375.243,848271.476,-387896.232,-387896.232
G100000405013,S2,1,2012,1253.745,676.58,observed,460375.243,848258.938,-387883.695,-775779.927
G100000405013,S2,2,2013,1253.745,676.15,observed,460375.243,847719.828,-387344.584,-1163124.512
G100000405013,S2,3,2014,1253.745,675.05,observed,460375.243,846340.708,-385965.465,-1549089.977
G100000405013,S2,4,2015,1253.745,675.22,observed,460375.243,846553.845,-386178.601,-1935268.578
G100000405013,S2,5,2016,1253.745,675.26,observed,460375.243,846603.995,-386228.751,-2321497.329
G100000405013,S2,6,2017,1253.745,673.26,observed,460375.243,844096.504,-383721.261,-2705218.59
G100000405013,S2,7,2018,1253.745,671.2,observed,460375.243,841513.789,-381138.546,-3086357.136
G100000405013,S2,8,2019,1253.745,660.09,observed,460375.243,827584.68,-367209.436,-3453566.572
G100000405013,S2,9,2020,1253.745,645.69,observed,460375.243,809530.749,-349155.505,-3802722.077
G100000405013,S2,10,2021,1253.745,605.3,observed,460375.243,758891.979,-298516.736,-4101238.813
G100000405013,S2,11,2022,1253.745,558.49,observed,460375.243,700204.166,-239828.922,-4341067.735
G100000405013,S2,12,2023,1253.745,483.79,observed,460375.243,606549.398,-146174.155,-4487241.89
G100000405013,S2,13,2024,1253.745,467.51,observed,460375.243,586138.426,-125763.183,-4613005.073
G100000405013,S2,14,2025,1253.745,447.381,pathway,460375.243,560901.412,-100526.169,-4713531.242
G100000405013,S2,15,2026,1253.745,428.118,pathway,460375.243,536750.894,-76375.651,-4789906.893
G100000405013,S2,16,2027,1253.745,409.685,pathway,460375.243,513640.358,-53265.115,-4843172.008
G100000405013,S2,17,2028,1253.745,392.045,pathway,460375.243,491524.794,-31149.551,-4874321.558
G100000405013,S2,18,2029,1253.745,375.165,pathway,460375.243,470361.449,-9986.206,-4884307.764
G100000405013,S2,19,2030,1253.745,359.012,pathway,460375.243,450109.452,10265.791,-4874041.973
G100000405013,S2,20,2031,1253.745,343.554,pathway,460375.243,430729.309,29645.934,-4844396.039
G100000405014,S1,0,2011,2516.197,676.59,observed,923947.537,1702433.726,-778486.189,-778486.189
G100000405014,S1,1,2012,2516.197,676.58,observed,923947.537,1702408.564,-778461.027,-1556947.215
G100000405014,S1,2,2013,2516.197,676.15,observed,923947.537,1701326.599,-777379.062,-2334326.277
G100000405014,S1,3,2014,2516.197,675.05,observed,923947.537,1698558.782,-774611.245,-3108937.522
G100000405014,S1,4,2015,2516.197,675.22,observed,923947.537,1698986.536,-775038.999,-3883976.521
G100000405014,S1,5,2016,2516.197,675.26,observed,923947.537,1699087.184,-775139.647,-4659116.168
G100000405014,S1,6,2017,2516.197,673.26,observed,923947.537,1694054.79,-770107.253,-5429223.42
G100000405014,S1,7,2018,2516.197,671.2,observed,923947.537,1688871.424,-764923.887,-6194147.307
G100000405014,S1,8,2019,2516.197,660.09,observed,923947.537,1660916.475,-736968.938,-6931116.245
G100000405014,S1,9,2020,2516.197,645.69,observed,923947.537,1624683.238,-700735.701,-7631851.947
G100000405014,S1,10,2021,2516.197,605.3,observed,923947.537,1523054.042,-599106.505,-8230958.451
G100000405014,S1,11,2022,2516.197,558.49,observed,923947.537,1405270.86,-481323.323,-8712281.775
G100000405014,S1,12,2023,2516.197,483.79,observed,923947.537,1217310.945,-293363.408,-9005645.182
G100000405014,S1,13,2024,2516.197,467.51,observed,923947.537,1176347.258,-252399.721,-9258044.903
G100000405014,S1,14,2025,2516.197,447.381,pathway,923947.537,1125697.973,-201750.436,-9459795.34
G100000405014,S1,15,2026,2516.197,428.118,pathway,923947.537,1077229.226,-153281.689,-9613077.028
G100000405014,S1,16,2027,2516.197,409.685,pathway,923947.537,1030847.663,-106900.126,-9719977.154
G100000405014,S1,17,2028,2516.197,392.045,pathway,923947.537,986462.955,-62515.418,-9782492.572
G100000405014,S1,18,2029,2516.197,375.165,pathway,923947.537,943989.298,-20041.761,-9802534.333
G100000405014,S1,19,2030,2516.197,359.012,pathway,923947.537,903344.664,20602.873,-9781931.46
G100000405014,S1,20,2031,2516.197,343.554,pathway,923947.537,864449.794,59497.743,-9722433.717
G100000405014,S2,0,2011,2516.197,676.59,observed,923947.537,1702433.726,-778486.189,-778486.189
G100000405014,S2,1,2012,2516.197,676.58,observed,923947.537,1702408.564,-778461.027,-1556947.215
G100000405014,S2,2,2013,2516.197,676.15,observed,923947.537,1701326.599,-777379.062,-2334326.277
G100000405014,S2,3,2014,2516.197,675.05,observed,923947.537,1698558.782,-774611.245,-3108937.522
G100000405014,S2,4,2015,2516.197,675.22,observed,923947.537,1698986.536,-775038.999,-3883976.521
G100000405014,S2,5,2016,2516.197,675.26,observed,923947.537,1699087.184,-775139.647,-4659116.168
G100000405014,S2,6,2017,2516.197,673.26,observed,923947.537,1694054.79,-770107.253,-5429223.42
G100000405014,S2,7,2018,2516.197,671.2,observed,923947.537,1688871.424,-764923.887,-6194147.307
G100000405014,S2,8,2019,2516.197,660.09,observed,923947.537,1660916.475,-736968.938,-6931116.245
G100000405014,S2,9,2020,2516.197,645.69,observed,923947.537,1624683.238,-700735.701,-7631851.947
G100000405014,S2,10,2021,2516.197,605.3,observed,923947.537,1523054.042,-599106.505,-8230958.451
G100000405014,S2,11,2022,2516.197,558.49,observed,923947.537,1405270.86,-481323.323,-8712281.775
G100000405014,S2,12,2023,2516.197,483.79,observed,923947.537,1217310.945,-293363.408,-9005645.182
G100000405014,S2,13,2024,2516.197,467.51,observed,923947.537,1176347.258,-252399.721,-9258044.903
G100000405014,S2,14,2025,2516.197,447.381,pathway,923947.537,1125697.973,-201750.436,-9459795.34
G100000405014,S2,15,2026,2516.197,428.118,pathway,923947.537,1077229.226,-153281.689,-9613077.028
G100000405014,S2,16,2027,2516.197,409.685,pathway,923947.537,1030847.663,-106900.126,-9719977.154
G100000405014,S2,17,2028,2516.197,392.045,pathway,923947.537,986462.955,-62515.418,-9782492.572
G100000405014,S2,18,2029,2516.197,375.165,pathway,923947.537,943989.298,-20041.761,-9802534.333
G100000405014,S2,19,2030,2516.197,359.012,pathway,923947.537,903344.664,20602.873,-9781931.46
G100000405014,S2,20,2031,2516.197,343.554,pathway,923947.537,864449.794,59497.743,-9722433.717
G100000405015,S1,0,2025,6965.251,447.381,pathway,2557640.241,3116118.958,-558478.717,-558478.717
G100000405015,S1,1,2026,6965.251,428.118,pathway,2557640.241,2981949.413,-424309.173,-982787.889
G100000405015,S1,2,2027,6965.251,409.685,pathway,2557640.241,2853557.545,-295917.304,-1278705.194
G100000405015,S1,3,2028,6965.251,392.045,pathway,2557640.241,2730693.3,-173053.059,-1451758.253
G100000405015,S1,4,2029,6965.251,375.165,pathway,2557640.241,2613119.163,-55478.922,-1507237.175
G100000405015,S1,5,2030,6965.251,359.012,pathway,2557640.241,2500608.067,57032.173,-1450205.002
G100000405015,S1,6,2031,6965.251,343.554,pathway,2557640.241,2392940.607,164699.633,-1285505.368
G100000405015,S1,7,2032,6965.251,328.762,pathway,2557640.241,2289909.218,267731.022,-1017774.346
G100000405015,S1,8,2033,6965.251,314.606,pathway,2557640.241,2191313.302,366326.939,-651447.407
G100000405015,S1,9,2034,6965.251,301.061,pathway,2557640.241,2096963.402,460676.839,-190770.569
G100000405015,S1,10,2035,6965.251,288.098,pathway,2557640.241,2006675.637,550964.604,360194.035
G100000405015,S1,11,2036,6965.251,275.694,pathway,2557640.241,1920275.178,637365.062,997559.098
G100000405015,S1,12,2037,6965.251,263.823,pathway,2557640.241,1837594.86,720045.38,1717604.478
G100000405015,S1,13,2038,6965.251,252.464,pathway,2557640.241,1758474.482,799165.758,2516770.236
G100000405015,S1,14,2039,6965.251,241.594,pathway,2557640.241,1682760.809,874879.432,3391649.668
G100000405015,S1,15,2040,6965.251,231.191,pathway,2557640.241,1610306.873,947333.368,4338983.036
G100000405015,S1,16,2041,6965.251,221.237,pathway,2557640.241,1540973.369,1016666.871,5355649.907
G100000405015,S1,17,2042,6965.251,211.712,pathway,2557640.241,1474624.476,1083015.765,6438665.672
G100000405015,S1,18,2043,6965.251,202.596,pathway,2557640.241,1411132.032,1146508.209,7585173.88
G100000405015,S1,19,2044,6965.251,193.873,pathway,2557640.241,1350373.449,1207266.791,8792440.672
G100000405015,S1,20,2045,6965.251,185.525,pathway,2557640.241,1292231.712,1265408.529,10057849.201
G100000405015,S1,21,2046,6965.251,177.537,pathway,2557640.241,1236592.588,1321047.652,11378896.853
G100000405015,S1,22,2047,6965.251,169.893,pathway,2557640.241,1183349.512,1374290.729,12753187.582
G100000405015,S1,23,2048,6965.251,162.578,pathway,2557640.241,1132398.699,1425241.541,14178429.123
G100000405015,S1,24,2049,6965.251,155.578,pathway,2557640.241,1083641.244,1473998.996,15652428.12
G100000405015,S1,25,2050,6965.251,148.88,pathway,2557640.241,1036983.813,1520656.428,17173084.548
G100000405015,S1,26,2051,6965.251,142.469,pathway,2557640.241,992334.463,1565305.778,18738390.326
G100000405015,S1,27,2052,6965.251,136.335,pathway,2557640.241,949608.219,1608032.022,20346422.348
G100000405015,S1,28,2053,6965.251,130.465,pathway,2557640.241,908721.498,1648918.743,21995341.09
G100000405015,S1,29,2054,6965.251,124.848,pathway,2557640.241,869594.896,1688045.345,23683386.435
G100000405015,S2,0,2025,6965.251,447.381,pathway,2557640.241,3116118.958,-558478.717,-558478.717
G100000405015,S2,1,2026,6965.251,428.118,pathway,2557640.241,2981949.413,-424309.173,-982787.889
G100000405015,S2,2,2027,6965.251,409.685,pathway,2557640.241,2853557.545,-295917.304,-1278705.194
G100000405015,S2,3,2028,6965.251,392.045,pathway,2557640.241,2730693.3,-173053.059,-1451758.253
G100000405015,S2,4,2029,6965.251,375.165,pathway,2557640.241,2613119.163,-55478.922,-1507237.175
G100000405015,S2,5,2030,6965.251,359.012,pathway,2557640.241,2500608.067,57032.173,-1450205.002
G100000405015,S2,6,2031,6965.251,343.554,pathway,2557640.241,2392940.607,164699.633,-1285505.368
G100000405015,S2,7,2032,6965.251,328.762,pathway,2557640.241,2289909.218,267731.022,-1017774.346
G100000405015,S2,8,2033,6965.251,314.606,pathway,2557640.241,2191313.302,366326.939,-651447.407
G100000405015,S2,9,2034,6965.251,301.061,pathway,2557640.241,2096963.402,460676.839,-190770.569
G100000405015,S2,10,2035,6965.251,288.098,pathway,2557640.241,2006675.637,550964.604,360194.035
G100000405015,S2,11,2036,6965.251,275.694,pathway,2557640.241,1920275.178,637365.062,997559.098
G100000405015,S2,12,2037,6965.251,263.823,pathway,2557640.241,1837594.86,720045.38,1717604.478
G100000405015,S2,13,2038,6965.251,252.464,pathway,2557640.241,1758474.482,799165.758,2516770.236
G100000405015,S2,14,2039,6965.251,241.594,pathway,2557640.241,1682760.809,874879.432,3391649.668
G100000405015,S2,15,2040,6965.251,231.191,pathway,2557640.241,1610306.873,947333.368,4338983.036
G100000405015,S2,16,2041,6965.251,221.237,pathway,2557640.241,1540973.369,1016666.871,5355649.907
G100000405015,S2,17,2042,6965.251,211.712,pathway,2557640.241,1474624.476,1083015.765,6438665.672
G100000405015,S2,18,2043,6965.251,202.596,pathway,2557640.241,1411132.032,1146508.209,7585173.88
G100000405015,S2,19,2044,6965.251,193.873,pathway,2557640.241,1350373.449,1207266.791,8792440.672
G100000405015,S2,20,2045,6965.251,185.525,pathway,2557640.241,1292231.712,1265408.529,10057849.201
G100000405015,S2,21,2046,6965.251,177.537,pathway,2557640.241,1236592.588,1321047.652,11378896.853
G100000405015,S2,22,2047,6965.251,169.893,pathway,2557640.241,1183349.512,1374290.729,12753187.582
G100000405015,S2,23,2048,6965.251,162.578,pathway,2557640.241,1132398.699,1425241.541,14178429.123
G100000405015,S2,24,2049,6965.251,155.578,pathway,2557640.241,1083641.244,1473998.996,15652428.12
G100000405015,S2,25,2050,6965.251,148.88,pathway,2557640.241,1036983.813,1520656.428,17173084.548
G100000405015,S2,26,2051,6965.251,142.469,pathway,2557640.241,992334.463,1565305.778,18738390.326
G100000405015,S2,27,2052,6965.251,136.335,pathway,2557640.241,949608.219,1608032.022,20346422.348
G100000405015,S2,28,2053,6965.251,130.465,pathway,2557640.241,908721.498,1648918.743,21995341.09
G100000405015,S2,29,2054,6965.251,124.848,pathway,2557640.241,869594.896,1688045.345,23683386.435
G100000405045,S1,0,2021,1741.313,605.3,observed,639410.06,1054016.638,-414606.578,-414606.578
G100000405045,S1,1,2022,1741.313,558.49,observed,639410.06,972505.786,-333095.726,-747702.303
G100000405045,S1,2,2023,1741.313,483.79,observed,639410.06,842429.72,-203019.659,-950721.963
G100000405045,S1,3,2024,1741.313,467.51,observed,639410.06,814081.147,-174671.087,-1125393.05
G100000405045,S1,4,2025,1741.313,447.381,pathway,639410.06,779029.739,-139619.679,-1265012.729
G100000405045,S1,5,2026,1741.313,428.118,pathway,639410.06,745487.353,-106077.293,-1371090.022
G100000405045,S1,6,2027,1741.313,409.685,pathway,639410.06,713389.386,-73979.326,-1445069.348
G100000405045,S1,7,2028,1741.313,392.045,pathway,639410.06,682673.325,-43263.265,-1488332.613
G100000405045,S1,8,2029,1741.313,375.165,pathway,639410.06,653279.791,-13869.731,-1502202.343
G100000405045,S1,9,2030,1741.313,359.012,pathway,639410.06,625152.017,14258.043,-1487944.3
G100000405045,S1,10,2031,1741.313,343.554,pathway,639410.06,598235.152,41174.908,-1446769.392
G100000405045,S1,11,2032,1741.313,328.762,pathway,639410.06,572477.305,66932.756,-1379836.636
G100000405045,S1,12,2033,1741.313,314.606,pathway,639410.06,547828.325,91581.735,-1288254.901
G100000405045,S1,13,2034,1741.313,301.061,pathway,639410.06,524240.85,115169.21,-1173085.692
G100000405045,S1,14,2035,1741.313,288.098,pathway,639410.06,501668.909,137741.151,-1035344.541
G100000405045,S1,15,2036,1741.313,275.694,pathway,639410.06,480068.795,159341.266,-876003.275
G100000405045,S1,16,2037,1741.313,263.823,pathway,639410.06,459398.715,180011.345,-695991.93
G100000405045,S1,17,2038,1741.313,252.464,pathway,639410.06,439618.621,199791.44,-496200.49
G100000405045,S1,18,2039,1741.313,241.594,pathway,639410.06,420690.202,218719.858,-277480.633
G100000405045,S1,19,2040,1741.313,231.191,pathway,639410.06,402576.718,236833.342,-40647.291
G100000405045,S1,20,2041,1741.313,221.237,pathway,639410.06,385243.342,254166.718,213519.427
G100000405045,S1,21,2042,1741.313,211.712,pathway,639410.06,368656.119,270753.941,484273.368
G100000405045,S1,22,2043,1741.313,202.596,pathway,639410.06,352783.008,286627.052,770900.421
G100000405045,S1,23,2044,1741.313,193.873,pathway,639410.06,337593.362,301816.698,1072717.118
G100000405045,S1,24,2045,1741.313,185.525,pathway,639410.06,323057.928,316352.132,1389069.251
G100000405045,S1,25,2046,1741.313,177.537,pathway,639410.06,309148.147,330261.913,1719331.164
G100000405045,S1,26,2047,1741.313,169.893,pathway,639410.06,295837.378,343572.682,2062903.846
G100000405045,S1,27,2048,1741.313,162.578,pathway,639410.06,283099.675,356310.385,2419214.231
G100000405045,S1,28,2049,1741.313,155.578,pathway,639410.06,270910.311,368499.749,2787713.98
G100000405045,S1,29,2050,1741.313,148.88,pathway,639410.06,259245.953,380164.107,3167878.087
G100000405045,S2,0,2021,1741.313,605.3,observed,639410.06,1054016.638,-414606.578,-414606.578
G100000405045,S2,1,2022,1741.313,558.49,observed,639410.06,972505.786,-333095.726,-747702.303
G100000405045,S2,2,2023,1741.313,483.79,observed,639410.06,842429.72,-203019.659,-950721.963
G100000405045,S2,3,2024,1741.313,467.51,observed,639410.06,814081.147,-174671.087,-1125393.05
G100000405045,S2,4,2025,1741.313,447.381,pathway,639410.06,779029.739,-139619.679,-1265012.729
G100000405045,S2,5,2026,1741.313,428.118,pathway,639410.06,745487.353,-106077.293,-1371090.022
G100000405045,S2,6,2027,1741.313,409.685,pathway,639410.06,713389.386,-73979.326,-1445069.348
G100000405045,S2,7,2028,1741.313,392.045,pathway,639410.06,682673.325,-43263.265,-1488332.613
G100000405045,S2,8,2029,1741.313,375.165,pathway,639410.06,653279.791,-13869.731,-1502202.343
G100000405045,S2,9,2030,1741.313,359.012,pathway,639410.06,625152.017,14258.043,-1487944.3
G100000405045,S2,10,2031,1741.313,343.554,pathway,639410.06,598235.152,41174.908,-1446769.392
