country,scenario,rate,value,target_level,base_year,target_year,derivation,source_id
BE,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
BE,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
BG,S1,r_fleet,-0.01883563,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021. OBSERVED_INCREASE: the series is rising (-0.0188/yr), so the S1 benchmark grows over the lifetime and no crossover can occur.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
BG,S1,r_power,0.048669116,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
BG,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
BG,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
BG,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
BG,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
CY,S1,r_fleet,0.019422804,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
CY,S1,r_power,0.018447962,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
CY,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
CY,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
CY,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
CY,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
CZ,S1,r_fleet,0.004232049,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
CZ,S1,r_power,0.031649383,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
CZ,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
CZ,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
CZ,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
CZ,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
DE,S1,r_fleet,0.026324785,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
DE,S1,r_power,0.040232496,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
DE,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
DE,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
DE,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
DE,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
DK,S1,r_fleet,0.039001227,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
DK,S1,r_power,0.09656685,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
DK,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
DK,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
DK,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
DK,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
EE,S1,r_fleet,0.033370734,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
EE,S1,r_power,0.053425938,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
EE,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
EE,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
EE,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
EE,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
ES,S1,r_fleet,0.022924754,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
ES,S1,r_power,0.081472819,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
ES,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
ES,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
ES,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
ES,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
FI,S1,r_fleet,0.092746187,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
FI,S1,r_power,0.10857591,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
FI,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
FI,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
FI,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
FI,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
FR,S1,r_fleet,0.020279217,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
FR,S1,r_power,0.031559764,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
FR,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
FR,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
FR,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
FR,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
GR,S1,r_fleet,0.019755231,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
GR,S1,r_power,0.073081335,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
GR,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
GR,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
GR,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
GR,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
HR,S1,r_fleet,0.006035829,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
HR,S1,r_power,0.040592876,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
HR,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
HR,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
HR,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
HR,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
HU,S1,r_fleet,0.004574812,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
HU,S1,r_power,0.054666697,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
HU,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
HU,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
HU,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
HU,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
IE,S1,r_fleet,0.032660219,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
IE,S1,r_power,0.051960881,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
IE,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
IE,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
IE,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
IE,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
IT,S1,r_fleet,0.017910898,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
IT,S1,r_power,0.029069833,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
IT,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
IT,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
IT,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
IT,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
LT,S1,r_fleet,0.03214133,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
LT,S1,r_power,0.079486042,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
LT,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
LT,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
LT,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
LT,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
LU,S1,r_fleet,0.043298936,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
LU,S1,r_power,0.073464658,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
LU,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
LU,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
LU,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
LU,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
LV,S1,r_fleet,0.032188027,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
LV,S1,r_power,0.05763822,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
LV,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
LV,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
LV,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
LV,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
