국가,제작업체,판매년도,선택기준,판매규모,적용기준차종,판매량확인,진행상태,실적확인상태,기준(비율별)_온실가스,기준(비율별)_에너지소비효율,기준(연차별)_온실가스,기준(연차별)_에너지소비효율,실적(100)_온실가스,실적(100)_에너지소비효율,실적(비율)_온실가스,실적(비율)_에너지소비효율,판매량(대)_비율 판매량,판매량(대)_전체 판매량,평균 공차중량,평균 점유면적,경유차 비율_경유차,경유차 비율_경유차비율,초과달성분(비율별)_온실가스,초과달성분(비율별)_에너지소비효율,초과달성분(연차별)_온실가스,초과달성분(연차별)_에너지소비효율,전기차 향상분_판매대수,전기차 향상분_판매대수 비율
독일,포르쉐코리아 주식회사,2012,"에너지소비효율, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,확인,258.696,9.2,0,0,205.557,12.045,181.906,14.685,455,1516,2118.29,4.68,713,47.032,34939.25,20552.16,0,0,1,1
일본,스바루코리아(주),2012,"에너지소비효율, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,미확인,180.122,12.792,0,0,160.674,10.935,160.674,10.935,189,627,1595,8.539,0,0,2431.06,-1912,0,0,1,1
미국,GM코리아㈜,2012,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,196.459,10.489,0,0,223.044,10.501,206.457,11.349,166,553,1941.63,0,0,0,-1659.64,1174.71,0,0,1,1
이탈리아,(주) 에프엠케이,2012,"온실가스, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,미확인,332,7.169,0,0,302.723,7.733,278.505,8.406,39,127,1816.38,0,0,0,2086.32,397.43,0,0,1,1
일본,씨엑스씨 모터스,2012,"온실가스, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,미확인,177.682,12.902,0,0,178.312,13.168,159.206,14.728,28,93,1560.43,7.938,2,2.151,517.326,421.132,0,0,1,1
한국,현대자동차(주),2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,144.853,16.481,0,0,142.9,16.955,129.163,19.187,288541,480901,1505.74,4.362,159681,33.205,4527249.33,6429010.38,0,0,1,1
한국,기아자동차(주),2013,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,134.276,17.666,0,0,133.463,17.981,119.099,20.144,227997,379995,1325.85,4.118,93458,24.595,3460301.58,4652659.2,0,0,1.002,1.003
한국,한국지엠주식회사,2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,129.586,18.289,0,0,133.34,17.871,117.899,19.815,80871,134784,1246.09,3.757,21545,15.985,945126.03,1016397.93,0,0,1.001,1.001
한국,르노삼성자동차(주),2013,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,139.584,17.323,0,0,130.926,17.908,119.74,19.672,36019,60031,1416.13,4.265,5291,8.814,714754.11,696773.58,0,0,1.02,1.032
한국,쌍용자동차㈜,2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,160.321,14.513,0,0,169.204,15.563,156.733,17.147,18332,30552,1768.8,4.285,27337,89.477,65785.17,397664.53,0,0,1,1
독일,아우디폭스바겐코리아(주),2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,158.978,14.507,0,0,139.527,18.791,122.176,21.994,27505,45841,1745.95,4.344,40150,87.585,1012215.06,1695943.78,0,0,1,1
독일,BMW코리아(주),2013,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,미확인,149.641,15.828,0,0,130.084,19.873,115.453,23.291,23639,39397,1587.17,4.539,29993,76.13,808165.17,1452744.95,0,0,1,1
독일,메르세데스-벤츠코리아(주),2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,162.124,14.22,0,0,156.645,15.962,134.585,19.562,14868,24779,1799.45,4.544,13985,56.439,409436.22,654027.73,0,0,1,1
일본,한국토요타자동차(주),2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,152.874,15.429,0,0,134.929,17.358,108.309,21.621,7757,12928,1642.14,4.412,0,0,345686.4,395512.56,0,0,1,1
미국,포드세일즈서비스코리아(유),2013,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,196.222,10.605,0,0,193.913,12.118,171.89,13.716,4329,7214,1937.5,4.658,405,5.614,105331.76,110913.86,0,0,1,1
영국,(주)재규어랜드로버코리아,2013,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,207.039,9.016,0,0,185.802,14,167.517,15.842,3003,5004,2125.31,4.572,4010,80.136,118684.87,168795.18,0,0,1,1
일본,혼다코리아(주),2013,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,149.673,15.941,0,0,155.439,15.063,140.624,16.65,2915,4858,1587.71,4.354,0,0,26378.95,17016.32,0,0,1,1
미국,에프씨에이코리아 주식회사,2013,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,미확인,197.204,10.222,0,0,190.229,13.311,172.177,14.556,2792,4652,1954.56,4.526,2674,57.481,69875.39,99652.15,0,0,1,1
일본,한국닛산(주),2013,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,미확인,145.057,16.505,0,0,154.378,15.237,137.396,17.037,2507,4177,1509.2,4.269,131,3.136,19205.54,10980.45,0,0,1,1
프랑스,한불모터스(주),2013,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,미확인,163.181,14.374,0,0,110.873,23.906,101.666,26.429,1952,3252,1363.85,4.007,3016,92.743,120078.26,193790.39,0,0,1,1
독일,포르쉐코리아 주식회사,2013,"에너지소비효율, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,확인,258.696,9.2,0,0,200.811,12.348,181.531,14.233,1227,2044,2038.57,4.556,947,46.331,94681.89,50856.69,0,0,1,1
스웨덴,㈜볼보자동차코리아,2013,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,184.278,12.006,0,0,150.827,17.681,136.811,19.646,1176,1960,1730.13,4.418,1879,95.867,55820.48,73990.97,0,0,1,1
미국,GM코리아㈜,2013,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,193.595,10.494,0,0,213.019,10.989,184.883,12.662,207,344,1891.9,4.492,0,0,1803.46,3695.8,0,0,1,1
이탈리아,(주) 에프엠케이,2013,"온실가스, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,미확인,332,7.169,0,0,281.193,8.339,256.183,9.167,120,199,1900.6,4.796,0,0,9098.01,1974.65,0,0,1,1
일본,씨엑스씨 모터스,2013,"온실가스, 판매비율",별도기준,승용·승합(10인승이하),미확인,마감,미확인,177.682,12.902,0,0,173.863,13.457,162.895,14.364,88,146,1546.16,4.078,0,0,1301.25,1059.81,0,0,1,1
한국,현대자동차(주),2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,147.358,16.144,0,0,144.791,16.729,135.023,18.096,408407,510508,1548.33,4.423,166717,32.657,5037599.76,6564230.39,0,0,1,1
한국,기아자동차(주),2014,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,137.431,17.07,0,0,135.389,18.11,125.981,19.245,322032,402539,1379.51,4.165,135861,33.751,3687287.63,5765771.05,0,0,1.005,1.006
한국,한국지엠주식회사,2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,132.337,17.941,0,0,136.211,17.674,128.154,18.707,118979,148723,1292.88,3.856,32630,21.94,497758.28,750644.27,0,0,1.001,1.002
한국,르노삼성자동차(주),2014,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,139.82,17.297,0,0,125.285,19.427,116.737,21.046,64003,80003,1420.15,4.196,29459,36.822,1477405.8,1976015.4,0,0,1.011,1.014
한국,쌍용자동차㈜,2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,163.744,13.996,0,0,168.875,15.694,162.204,16.57,30242,37802,1827.01,4.354,35105,92.865,46581.02,641033.29,0,0,1,1
독일,아우디폭스바겐코리아(주),2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,156.204,14.912,0,0,138.602,19.021,128.49,20.909,46969,58711,1698.77,4.346,53161,90.547,1301681.9,2319618.81,0,0,1,1
독일,BMW코리아(주),2014,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,150.59,15.697,0,0,125.991,20.678,117.171,22.662,37402,46752,1603.3,8.571,37808,80.869,1249937.59,2145439.85,0,0,1.01,1.013
독일,메르세데스-벤츠코리아(주),2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,163.245,14.001,0,0,152.282,16.525,137.38,18.743,28171,35213,1818.53,4.613,21624,61.409,728645.67,1100135.73,0,0,1,1
일본,한국토요타자동차(주),2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,153.345,15.399,0,0,125.241,18.701,110.677,21.16,10644,13304,1650.15,4.373,0,0,454149.98,504963.12,0,0,1,1
미국,포드세일즈서비스코리아(유),2014,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,196.836,10.532,0,0,194.909,12.044,185.075,12.695,6975,8718,1948.17,4.636,402,4.611,82035.88,124266.71,0,0,1,1
일본,한국닛산(주),2014,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,148.448,16.053,0,0,138.407,17.732,130.786,19.033,5751,7188,1566.87,4.299,2726,37.924,101572.4,141131.13,0,0,1.007,1.008
영국,(주)재규어랜드로버코리아,2014,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,208.136,8.988,0,0,186.155,14.043,174.46,15.147,5332,6664,2144.36,4.546,5578,83.703,179561.15,270447.79,0,0,1,1
미국,에프씨에이코리아 주식회사,2014,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,194.736,10.394,0,0,178.217,14.252,166.927,15.078,5120,6400,1911.7,4.378,3853,60.203,142382.46,197498.62,0,0,1,1
프랑스,한불모터스(주),2014,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,164.902,14.153,0,0,114.324,23.492,108.157,24.824,2991,3738,1393.72,7.938,3738,100,169723.39,262863.05,0,0,1,1
일본,혼다코리아(주),2014,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,150.949,15.726,0,0,154.464,15.162,145.997,16.04,2881,3601,1609.41,4.415,0,0,14266.49,7454.04,0,0,1,1
스웨덴,㈜볼보자동차코리아,2014,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,182.925,12.146,0,0,135.499,19.615,125.282,21.302,2381,2976,1706.64,4.411,2787,93.649,137248.4,179517.21,0,0,1,1
독일,포르쉐코리아 주식회사,2014,"에너지소비효율, 판매비율",별도기준,승용·승합(10인승이하),확인,마감,확인,258.696,9.2,0,0,199.389,12.518,187.537,13.602,2055,2568,2010.66,4.589,1348,52.492,146231.92,74495.58,0,0,1,1
이탈리아,(주) 에프엠케이,2014,"온실가스, 판매비율",별도기준,승용·승합(10인승이하),확인,마감,확인,332,7.169,0,0,229.753,10.44,217.754,11.098,620,774,1977.16,49.275,187,24.16,70832.33,20061.3,0,0,1,1
미국,GM코리아㈜,2014,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,186.04,11.734,0,0,185.448,12.62,173.22,13.508,449,561,1760.73,2.796,0,0,5756.44,6559.62,0,0,1,1
한국,현대자동차(주),2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,148.797,15.963,0,0,141.862,17.212,141.862,17.207,535735,535735,1572.812,0.379,202043,37.713,3715488.739,5488088.877,0,0,1.001,1.001
한국,기아자동차(주),2015,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,144.946,16.025,0,0,140.655,17.759,140.655,17.759,452916,452916,1507.322,0.161,205894,45.46,1943467.992,6466206.287,0,0,1.009,1.009
한국,한국지엠주식회사,2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,132.951,17.87,0,0,137.887,17.41,137.887,17.41,148863,148863,1303.311,1.135,32859,22.073,-734788.856,-563527.795,0,0,1.003,1.003
한국,르노삼성자동차(주),2015,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,138.637,17.45,0,0,120.789,20.239,120.789,20.239,80017,80017,1400.027,1.929,35707,44.624,1428172.03,1837652.083,0,0,1.038,1.038
한국,쌍용자동차㈜,2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,145.717,16.25,0,0,149.961,16.818,149.961,16.818,72357,72357,1520.428,2.516,40148,55.486,-307066.541,338705.281,0,0,1,1
독일,아우디폭스바겐코리아(주),2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,154.964,15.068,0,0,140.367,18.831,140.367,18.831,68721,68721,1677.688,0,62354,90.735,1003097.571,2129675.842,0,0,1,1
독일,BMW코리아(주),2015,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,151.005,15.625,0,0,125.583,20.806,125.583,20.761,55440,55440,1610.355,8.522,44825,80.853,1409371.245,2345026.947,0,0,1.022,1.022
독일,메르세데스-벤츠코리아(주),2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,166.662,13.534,0,0,155.738,16.119,155.738,16.119,46995,46995,1876.635,0.542,28397,60.426,513366.724,1000430.693,0,0,1,1
일본,한국토요타자동차(주),2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,153.249,15.411,0,0,124.77,18.771,124.77,18.771,15782,15782,1648.524,0.067,0,0,449454.453,436587.86,0,0,1,1
미국,포드세일즈서비스코리아(유),2015,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,196.76,10.539,0,0,184.933,12.832,184.933,12.832,10358,10358,1946.844,4.171,1752,16.914,122504.96,195623.898,0,0,1,1
일본,한국닛산(주),2015,"온실가스, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,150.636,15.807,0,0,135.216,18.428,135.216,18.428,8711,8711,1604.082,0.145,4391,50.408,134322.804,188026.353,0,0,1.034,1.034
프랑스,한불모터스(주),2015,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,161.138,14.587,0,0,113.648,23.64,113.648,23.64,7573,7573,1328.369,0,7573,100,359638.794,564586.202,0,0,1,1
영국,(주)재규어랜드로버코리아,2015,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,206.451,9.048,0,0,184.55,14.192,184.55,14.192,7180,7180,2115.099,4.6,6085,84.749,157248.603,304194.833,0,0,1,1
미국,에프씨에이코리아 주식회사,2015,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,192.278,10.761,0,0,175.817,14.249,175.817,14.249,6872,6872,1869.027,0,3794,55.21,113117.507,197405.723,0,0,1,1
일본,혼다코리아(주),2015,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,151.377,15.697,0,0,149.503,15.67,149.503,15.67,4511,4511,1616.687,0.59,0,0,8451.97,-1016.691,0,0,1,1
스웨덴,㈜볼보자동차코리아,2015,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,확인,181.586,12.336,0,0,126.899,20.876,126.899,20.876,4238,4238,1683.398,0,3916,92.402,231766.523,298061.406,0,0,1,1
독일,포르쉐코리아 주식회사,2015,"에너지소비효율, 판매비율",별도기준,승용·승합(10인승이하),확인,마감,확인,258.696,9.2,0,0,197.294,12.682,197.294,12.682,3856,3856,1985.709,0,2065,53.553,236766.043,110582.46,0,0,1,1
이탈리아,(주) 에프엠케이,2015,"온실가스, 판매비율",별도기준,승용·승합(10인승이하),확인,마감,미확인,332,7.169,0,0,211.341,11.595,211.341,11.595,1397,1397,1957.402,0,664,47.53,168560.032,50915.503,0,0,1,1
미국,GM코리아㈜,2015,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,186.154,11.814,0,0,180.775,12.946,180.775,12.946,934,934,1762.703,0.146,0,0,5023.7,8708.263,0,0,1,1
한국,현대자동차(주),2016,온실가스,일반,승용·승합(10인승이하),확인,마감,확인,104.147,22.461,136.359,17.192,141.965,16.45,80.707,24.581,48352,483512,1597.39,4.463,161134,33.3,1133359,1349351.2,-2710570.7,114521.5,3.2,19.4
한국,기아자동차(주),2016,온실가스,일반,승용·승합(10인승이하),확인,마감,확인,103.654,22.199,135.699,16.996,141.659,17.305,91.033,24.166,46843,468431,1564.41,4.343,217917,46.5,591191.8,590771.7,-2791697.1,923084.5,0.7,4.8
한국,한국지엠주식회사,2016,온실가스,일반,승용·승합(10인승이하),확인,마감,확인,91.81,25.937,120.169,19.866,130.633,17.858,107.728,21.12,17138,171374,1218.67,3.861,15202,8.9,-272804.1,-296622.8,-1793355,-1329141.9,0.3,1.9
한국,르노삼성자동차(주),2016,온실가스,일반,승용·승합(10인승이하),확인,마감,확인,98.065,24.414,128.395,18.687,134.337,17.379,91.169,24.917,11111,111101,1447.9,4.374,35072,31.6,76626.2,207145.2,-660095.7,-322069.1,2.3,16.6
한국,쌍용자동차㈜,2016,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,확인,100.534,23.328,131.629,17.856,149.609,16.438,128.912,20.074,7654,76533,1508.64,4.139,45927,60,-217199.8,-99398.3,-1376090.4,-433089,0,0
독일,BMW코리아(주),2016,"에너지소비효율, 연차별",일반,승용·승합(10인승이하),확인,마감,미확인,105.743,22.078,138.45,16.9,131.569,19.124,86.571,25.359,5715,57144,1636.61,8.595,43912,76.8,109567.4,185401.2,393158.7,666737.6,2.8,19.3
독일,메르세데스-벤츠코리아(주),2016,"에너지소비효율, 연차별",일반,승용·승합(10인승이하),확인,마감,미확인,115.389,19.27,151.082,14.751,153.549,16.184,111.639,24.065,5635,56345,1873.63,8.962,31574,56,21132,107843.2,-138982.6,322481.3,0,0
독일,아우디폭스바겐코리아(주),2016,"에너지소비효율, 연차별",일반,승용·승합(10인승이하),확인,마감,미확인,109.666,20.952,143.587,16.038,148.419,17.682,121.168,22.164,3009,30086,1733,4.411,25608,85.1,-34610,14547.1,-145371.5,197447.2,0,0
일본,한국토요타자동차(주),2016,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,107.741,21.584,141.066,16.522,120.908,19.256,71.228,31.856,1987,19862,1685.71,4.351,0,0,72551.6,81472.4,400380.2,216777.3,0,0
영국,(주)재규어랜드로버코리아,2016,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,149.591,12.807,195.866,9.803,174.309,14.981,134.807,19.692,1440,14399,2127.12,4.579,13226,91.9,21288.6,39575.3,310393.9,297612.8,0,0
미국,포드세일즈서비스코리아(유),2016,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,143.22,14.65,187.524,11.214,188.919,12.056,115.054,22.093,1122,11220,1995.59,4.718,2350,20.9,31602.5,33334.3,-15652.8,37687.6,0,0
일본,한국닛산(주),2016,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,105.261,22.314,137.819,17.08,141.961,16.484,97.933,20.115,894,8934,1624.78,4.386,2306,25.8,6551.7,20828.6,-37008.9,16592.8,4.2,32.1
일본,혼다코리아(주),2016,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),확인,마감,미확인,105.106,22.355,137.616,17.112,150.119,15.447,131.926,17.556,664,6636,1620.97,4.404,0,0,-17808.6,-12719.1,-82974,-44094.7,0,0
미국,에프씨에이코리아 주식회사,2016,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),확인,마감,미확인,135.458,15.554,177.358,11.906,185.488,13.02,145.211,16.661,662,6617,1835.32,4.293,2570,38.8,-6456.7,2925.9,-53794,29414.4,0,0
스웨덴,㈜볼보자동차코리아,2016,"에너지소비효율, 연차별",소규모,승용·승합(10인승이하),확인,마감,미확인,132.665,16.632,173.701,12.731,136.015,19.349,114.198,23.537,521,5205,1777.66,4.468,4556,87.5,9621.5,14359.5,196155,137510.8,0,0
프랑스,한불모터스(주),2016,"에너지소비효율, 연차별",소규모,승용·승합(10인승이하),확인,마감,미확인,114.983,20.069,150.545,15.362,119.829,22.334,105.863,25.294,455,4546,1412.58,7.794,4546,100,4149.7,9489.4,139634.4,126511.2,0,0
독일,포르쉐코리아 주식회사,2016,"에너지소비효율, 연차별",별도기준,승용·승합(10인승이하),확인,마감,미확인,0,10.6,0,10.6,194.573,12.686,171.156,15.629,319,3187,1972.59,4.59,1678,52.7,0,6403.8,0,26541.4,0,0
이탈리아,(주) 에프엠케이,2016,"온실가스, 연차별",별도기준,승용·승합(10인승이하),확인,마감,미확인,297,0,297,0,211.205,11.422,174.948,14.797,134,1338,1969.92,49.529,612,45.7,16355,0,114794.3,0,0,0
미국,GM코리아㈜,2016,"에너지소비효율, 연차별",소규모,승용·승합(10인승이하),확인,마감,미확인,133.506,16.604,174.802,12.709,188.896,12.32,151.837,15.393,111,1103,1795.01,3.683,0,0,-2034.8,-536.5,-15546.7,-1715,0,0
일본,혼다코리아(주),2017,에너지소비비율,일반,승용·승합(10인승이하),확인,마감,확인,105.123,22.375,133.318,17.678,134.211,17.161,82.845,27.488,2060,10299,1621.37,4.427,0,0,45891.8,42046.4,-9202.1,-21253.7,0,0
한국,현대자동차(주),2017,온실가스,일반,승용·승합(10인승이하),확인,마감,확인,103.36,22.77,131.08,17.99,137.475,16.003,87.79,21.664,102640,513199,1578.08,4.46,141825,27.6,1598115.6,1927322.6,-3282204.8,-586795,6.8,23.2
프랑스,한불모터스(주),2017,에너지소비비율,소규모,승용·승합(10인승이하),확인,마감,확인,113.217,20.577,143.566,16.258,126.064,20.699,105.901,25.062,975,4871,1436.57,7.737,4871,100,7133.5,17452.3,85249.5,86340,0,0
일본,한국토요타자동차(주),2017,에너지소비비율,일반,승용·승합(10인승이하),확인,마감,확인,108.507,21.322,137.617,16.846,121.406,18.307,81.914,26.11,5040,25198,1704.53,4.373,0,0,134029.3,104362.9,408474.7,160163.6,0.5,1.6
한국,한국지엠주식회사,2017,온실가스,일반,승용·승합(10인승이하),확인,마감,확인,91.837,25.988,116.428,20.541,129.967,17.545,105.487,20.373,25016,125077,1232.19,3.928,9744,7.8,-341467.3,-367651.9,-1693418.4,-1261345.2,1.9,7.7
일본,한국닛산(주),2017,에너지소비비율,일반,승용·승합(10인승이하),확인,마감,확인,103.741,22.706,131.563,17.94,147.032,15.363,120.311,18.012,1796,8980,1587.43,4.386,0,0,-29759.1,-16230.6,-138906.2,-71534.1,2.3,9.7
독일,포르쉐코리아 주식회사,2017,에너지소비비율,별도기준,승용·승합(10인승이하),확인,마감,확인,0,11,0,11,193.915,12.072,179.904,14.291,558,2789,1852.91,3.789,807,28.9,0,7330.4,0,11934.3,0,0
