country,iso3,anchor_id,scope,target_type,base_year,base_value,base_unit,target_year,target_value,reduction,reduction_upper,conditional,communicated,document,source_url,source_id,verified,parse_status,target_text,origin,note
TR,TUR,tr_second_ndc,economy,bau_reduction,,,,,,,,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/TUR,climatewatch_ndc_content,no,not_usable,"Türkiye commits to reduce its GHG emissions by 466 Mt CO₂ eq. compared to BAU, limiting GHG emissions to 643 Mt CO₂ eq. in 2035.",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
TT,TTO,tt_second_ndc,economy,bau_reduction,,,,,,,,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/TTO,climatewatch_ndc_content,no,not_usable,"Trinidad and Tobago commits to a 15% reduction compared to BAU by 2035, contingent on international support.",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
TW,,tw_2035_national,economy,reduction_from_base,2005,,,2035,,0.38,,no,2025-01-23,,https://www.cca.gov.tw/en/,tw_cca_ndc_2035,no,hand,,hand,Taiwan is not a UNFCCC party; national 2035 target 38% (36-40%) below 2005 announced by the Executive Yuan / Climate Change Administration
TZ,TZA,tz_revised_first_ndc,economy,bau_reduction,,,,,,,,no,revised_first_ndc,revised_first_ndc,https://www.climatewatchdata.org/ndcs/country/TZA,climatewatch_ndc_content,no,not_usable,"""30-35% reduction on national BAU emissions by 2030""",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2030
UA,UKR,ua_second_ndc,economy,reduction_from_base,1990,,,2035,,0.65,,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/UKR,climatewatch_ndc_content,no,parsed,Ukraine commits to reducing its emissions by over 65% in 2035 comparing to 1990 level.,climatewatch,Climate Watch type: Base year target; target year field: 2035
US,USA,us_second_ndc,economy,reduction_from_base,2005,,,2035,,0.61,0.66,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/USA,climatewatch_ndc_content,no,parsed,The United States commits to reducing its emissions by 61-66 % below 2005 levels by 2035.,climatewatch,Climate Watch type: Base year target; target year field: 2035
UZ,UZB,uz_third_ndc,economy,gdp_intensity,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/UZB,climatewatch_ndc_content,no,not_usable,Uzbekistan commits to reducing its emissions intensity by 50 % by 2035 compared to 2010 levels.,climatewatch,Climate Watch type: Intensity target; target year field: 2035
VN,VNM,vn_revised_first_ndc,economy,bau_reduction,,,,,,,,no,revised_first_ndc,revised_first_ndc,https://www.climatewatchdata.org/ndcs/country/VNM,climatewatch_ndc_content,no,not_usable,Vietnam commits to reducing its emissions by 15.8% (unconditional) and by 43.5% (conditional) by 2030 compared to BAU.,climatewatch,Climate Watch type: Baseline scenario target; target year field: 2030
ZA,ZAF,za_second_ndc,economy,fixed_level,,,,,,,,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/ZAF,climatewatch_ndc_content,no,needs_review,South Africa commits to a target range of 320-380 Mt CO2-eq in 2035.,climatewatch,Climate Watch type: Fixed level target; target year field: 2035
ZM,ZMB,zm_third_ndc,economy,reduction_from_base,2010,,,2030,,0.25,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/ZMB,climatewatch_ndc_content,no,parsed,Zambia commits to reduce its emissions by 25% (with limited international support) and by 47% (conditional) compared to 2010 levels by 2030.,climatewatch,Climate Watch type: Base year target; target year field: 2030
