source_id,publisher,title,url,how_obtained,accessed_date,license,used_by
epa_ghg_inventory_2025_annexes,US Environmental Protection Agency,Inventory of U.S. Greenhouse Gas Emissions and Sinks 1990-2023 (April 2025) annexes; Annex 3 Table A-91 total GHG emissions from transportation and mobile sources by mode and vehicle type and fuel,https://www.epa.gov/system/files/documents/2025-04/us-ghg-inventory-2025-annexes.pdf,PDF downloaded 2026-09-04 (sha256 2b982a6ee301696b1a75a1fa28c1e5fa0ad194a9e43e47f4dba3067cc1b9f8a7; 14 MB; not stored); passenger-car rows transcribed from the PDF text into country_emissions/raw/epa_ghg_inventory_2025_table_a_91.csv,2026-09-04,US government work (public domain),country_emissions
abs_motor_vehicle_census_2021,Australian Bureau of Statistics,Motor Vehicle Census Australia 31 January 2021 (9309.0) data cube 93090DO001_2021: vehicles on register by type state fuel and year of manufacture; estimated average age,https://www.abs.gov.au/statistics/industry/tourism-and-transport/motor-vehicle-census-australia/31-jan-2021,downloaded 2026-09-04 as https://www.abs.gov.au/statistics/industry/tourism-and-transport/motor-vehicle-census-australia/31-jan-2021/93090do001_2021.xls (final edition of the series),2026-09-04,CC BY 4.0 (ABS),vehicle_usage
abs_survey_motor_vehicle_use_2020,Australian Bureau of Statistics,Survey of Motor Vehicle Use Australia 12 months ended 30 June 2020 (9208.0) data cube 92080DO001_202006: kilometres travelled vehicles and fuel by vehicle type 2012-2020,https://www.abs.gov.au/statistics/industry/tourism-and-transport/survey-motor-vehicle-use-australia/12-months-ended-30-june-2020,downloaded 2026-09-04 as https://www.abs.gov.au/statistics/industry/tourism-and-transport/survey-motor-vehicle-use-australia/12-months-ended-30-june-2020/92080DO001_202006.xls (final edition of the survey),2026-09-04,CC BY 4.0 (ABS),vehicle_usage
nhtsa_809952,US National Highway Traffic Safety Administration,Vehicle Survivability and Travel Mileage Schedules (DOT HS 809 952; January 2006): Table 7 passenger-car survival probability and annual miles by vehicle age (1977-2002 registrations; 2001 NHTS),https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/809952,PDF downloaded 2026-09-04 (sha256 19f51e776b5919041530aa95575dd8639103429d7887ba2aedfa22aa551f580b; 259 KB; not stored); Table 7 transcribed from the PDF text into vehicle_usage/raw/nhtsa_809952_passenger_car_survival.csv,2026-09-04,US government work (public domain),vehicle_usage
epa_fuel_economy_label,US Environmental Protection Agency,Fuel economy and environment label: how the 5-cycle adjusted label values relate to real-world driving,https://www.fueleconomy.gov/feg/label/learn-more-gasoline-label.shtml,statement of method read 2026-09-04; used to justify factor 1.0 for EPA-cycle values in vehicle_technology/method/real_world_correction.csv,2026-09-04,US government work (public domain),vehicle_technology
epa_fueleconomy_vehicles,US Environmental Protection Agency and US Department of Energy (fueleconomy.gov),Fuel economy data: all vehicles 1984 onward (vehicles.csv; one row per model-year trim with EPA combined-cycle CO2 g/mile and electricity kWh/100 miles),https://www.fueleconomy.gov/feg/download.shtml,downloaded 2026-09-04 as https://www.fueleconomy.gov/feg/epadata/vehicles.csv (21.7 MB; complete file pinned as raw),2026-09-04,US government work (public domain),vehicle_technology
anga_odata_paris_inventory,Australian Government DCCEEW - Australia's National Greenhouse Accounts (ANGA),Paris Agreement inventory (AR5) by UNFCCC category gas and inventory year 1990 onward - OData v4 entity set AR5_ParisInventory_AUSTRALIA,https://greenhouseaccounts.climatechange.gov.au/OData,fetched 2026-09-04 from https://greenhouseaccounts.climatechange.gov.au/OData/AR5_ParisInventory_AUSTRALIA by script/auto/country_emissions/fetch_anga_odata.py (full entity set; the API refuses $top and category filters),2026-09-04,Australian Government open data (CC BY 4.0),country_emissions;emission_targets
fhwa_vm1_2023,US Federal Highway Administration,Highway Statistics 2023 Table VM-1: annual vehicle distance travelled and registrations by vehicle type (updated March 2025),https://www.fhwa.dot.gov/policyinformation/statistics/2023/vm1.cfm,downloaded 2026-09-04 as https://www.fhwa.dot.gov/policyinformation/statistics/2023/xls/vm1.xlsx,2026-09-04,US government work (public domain),vehicle_usage
iea_weo_2024,International Energy Agency,World Energy Outlook 2024 full report; Annex A Tables A.4a-c world CO2 emissions by sector under STEPS APS and NZE,https://www.iea.org/reports/world-energy-outlook-2024,local PDF in Google Drive Trade/References/IEA_2024_WEO_Full_Report.pdf (sha256 720da70bf1ac7c27518a6ae197177e61a695015efa8d95ccea4e8584ea7a2899; not stored in the repository); anchor values transcribed from the PDF text into emission_targets/raw/iea_weo_2024_world_co2.csv,2026-09-04,IEA terms of use (WEO 2024 published under CC BY 4.0 - confirm before redistribution),emission_targets
unfccc_ndc_registry,UNFCCC,NDC Registry (nationally determined contributions as communicated by Parties),https://unfccc.int/NDCREG,anchors transcribed by hand into emission_targets/raw/ndc_anchors.csv; each row carries a verified flag,2026-09-04,UNFCCC terms of use,emission_targets
eu_climate_law_2021_1119,European Union,Regulation (EU) 2021/1119 (European Climate Law) Art. 4(1): at least 55% net reduction by 2030 vs 1990,https://eur-lex.europa.eu/eli/reg/2021/1119/oj/eng,legal text; anchor transcribed by hand into emission_targets/raw/eu_climate_targets.csv,2026-09-04,EUR-Lex re-use,emission_targets
ec_2040_com_2024_63,European Commission,COM(2024) 63: recommended 90% net GHG reduction by 2040 vs 1990,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,policy document; anchor transcribed by hand into emission_targets/raw/eu_climate_targets.csv,2026-09-04,EUR-Lex re-use,emission_targets
ec_2040_impact_assessment_transport,European Commission,Impact assessment accompanying COM(2024) 63: domestic transport GHG pathway (2023 base 795.6 Mt; 2030 level 583.0 Mt),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024SC0063,policy document; anchor transcribed by hand into emission_targets/raw/eu_climate_targets.csv,2026-09-04,EUR-Lex re-use,emission_targets
