company,market,cohort_year,segment,status,period,units_held,units_assessed,covered_share,lifetime_years,lifetime_low_years,lifetime_high_years,volume_rank,share_of_global,markets_assessed,grid_min_gco2_kwh,grid_max_gco2_kwh,grid_spread,target_level,registration_database,criteria_met,criteria_failed,note
kia,CA,,,no_benchmark,,238609,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,CN,,,no_benchmark,,202562,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,IN,,,no_benchmark,,711822,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,"benchmark not built: free official inputs are partial and mostly proxies. Sourced: grid intensity (CEA CO2 baseline database xlsx, Ember), car stock 1991-2020 (MoRTH Road Transport Year Book Table 2.1, data.gov.in GODL API to 2017), NDC anchor (2022 updated NDC, intensity target only). Missing or proxy-only: passenger-car CO2 (UNFCCC BUR/BTR give whole road transport at 2016, 2020, 2022 only, no car split; BTR1 CRT xlsx must be fetched by hand from unfccc.int/documents/656940), annual km per car (no survey; Goel et al. 2015 Delhi 12,200 km), vehicle age (none published), certified technology by model (BEE CAFE reports OEM averages only; MIDC cycle). S2 would be FLAG (no absolute or sector target). More than half the inputs proxied, so any result would be direction-only under guideline 5.3. Model-level sales are not free: Hyundai Motor India and Kia India publish company totals only, SIAM model data is paid, Vahan's public report hides the model and exports by hand behind a CAPTCHA."
kia,LU,,,withheld,,1540,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,MX,,,no_benchmark,,279860,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,africa,,,region_unassessed,,124147,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,asia_pacific,,,region_unassessed,,425267,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,eastern_europe,,,region_unassessed,,205304,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,europe,,,region_unassessed,,1377450,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,latin_america,,,region_unassessed,,388266,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
kia,middle_east,,,region_unassessed,,441344,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
nissan,LU,,,withheld,,439,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
toyota,LU,,,withheld,,1210,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
