company,market,cohort_year,destination,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
kia,EU27,2024,LV,S1,801,9040.2837,11286.2468,liability
kia,EU27,2024,LV,S2,801,23370.8068,29177.0372,liability
kia,EU27,2024,MT,S1,515,-3408.8629,-6619.1513,contribution
kia,EU27,2024,MT,S2,515,6191.9387,12023.1819,liability
kia,EU27,2024,NL,S1,34774,95152.8113,2736.3206,liability
kia,EU27,2024,NL,S2,34774,392755.8943,11294.5274,liability
kia,EU27,2024,PL,S1,33133,226914.0695,6848.5821,liability
kia,EU27,2024,PL,S2,33133,1204936.4539,36366.6572,liability
kia,EU27,2024,PT,S1,7499,14593.8748,1946.1095,liability
kia,EU27,2024,PT,S2,7499,141606.8845,18883.4357,liability
kia,EU27,2024,RO,S1,4368,71234.7154,16308.314,liability
kia,EU27,2024,RO,S2,4368,167082.0927,38251.3948,liability
kia,EU27,2024,SE,S1,19565,-277439.3298,-14180.39,contribution
kia,EU27,2024,SE,S2,19565,-73266.1536,-3744.7561,contribution
kia,EU27,2024,SI,S1,2289,-12421.0722,-5426.4186,contribution
kia,EU27,2024,SI,S2,2289,50534.5449,22077.1275,liability
kia,EU27,2024,SK,S1,8696,77271.822,8885.9041,liability
kia,EU27,2024,SK,S2,8696,217372.9514,24996.8895,liability
kia,KR,2024,KR,S1,534866,-2406576.4598,-4499.4007,contribution
kia,KR,2024,KR,S2,534866,4590680.05,8582.8601,liability
kia,KR,2025,KR,S1,544364,-2783007.614,-5112.402,contribution
kia,KR,2025,KR,S2,544364,4358424.2752,8006.4521,liability
kia,KR,2026,KR,S1,349551,-2399088.8978,-6863.3444,contribution
kia,KR,2026,KR,S2,349551,1848594.3715,5288.4826,liability
kia,US,2024,US,S1,794571,-1244315.2617,-1566.0215,contribution
kia,US,2024,US,S2,794571,8705828.5699,10956.6402,liability
kia,US,2025,US,S1,852155,-308913.3853,-362.5084,contribution
kia,US,2025,US,S2,852155,10386134.423,12188.0813,liability
kia,US,2026,US,S1,506584,374603.2801,739.4692,liability
kia,US,2026,US,S2,506584,6741748.1855,13308.2533,liability
nissan,EU27,2024,AT,S1,2799,-3229.234,-1153.7099,contribution
nissan,EU27,2024,AT,S2,2799,35588.1578,12714.5973,liability
nissan,EU27,2024,BE,S1,8628,62052.3189,7191.9702,liability
nissan,EU27,2024,BE,S2,8628,151796.1464,17593.4338,liability
nissan,EU27,2024,BG,S1,1205,-6870.8668,-5701.9641,contribution
nissan,EU27,2024,BG,S2,1205,30875.2524,25622.6161,liability
nissan,EU27,2024,CY,S1,1460,7128.976,4882.8603,liability
nissan,EU27,2024,CY,S2,1460,36856.4415,25244.138,liability
nissan,EU27,2024,CZ,S1,1287,1348.3053,1047.6343,liability
nissan,EU27,2024,CZ,S2,1287,21870.4998,16993.3953,liability
nissan,EU27,2024,DE,S1,29185,184491.5386,6321.4507,liability
nissan,EU27,2024,DE,S2,29185,496674.8703,17018.1556,liability
nissan,EU27,2024,DK,S1,5721,-3598.6692,-629.028,contribution
nissan,EU27,2024,DK,S2,5721,49913.8243,8724.6678,liability
nissan,EU27,2024,EE,S1,525,627.1047,1194.4851,liability
nissan,EU27,2024,EE,S2,525,8524.4472,16237.0423,liability
nissan,EU27,2024,ES,S1,32631,262280.9429,8037.7844,liability
nissan,EU27,2024,ES,S2,32631,886346.2307,27162.7051,liability
nissan,EU27,2024,FI,S1,2955,60683.3607,20535.8243,liability
nissan,EU27,2024,FI,S2,2955,70522.9866,23865.6469,liability
nissan,EU27,2024,FR,S1,29572,110246.0257,3728.0544,liability
nissan,EU27,2024,FR,S2,29572,490172.1598,16575.5498,liability
nissan,EU27,2024,GR,S1,4296,81148.7701,18889.3785,liability
nissan,EU27,2024,GR,S2,4296,126996.0558,29561.4655,liability
nissan,EU27,2024,HR,S1,847,-6516.2392,-7693.3166,contribution
nissan,EU27,2024,HR,S2,847,20958.4373,24744.3179,liability
nissan,EU27,2024,HU,S1,5589,29067.6363,5200.8653,liability
nissan,EU27,2024,HU,S2,5589,168024.7556,30063.4739,liability
nissan,EU27,2024,IE,S1,4809,35414.6677,7364.2478,liability
nissan,EU27,2024,IE,S2,4809,112937.4716,23484.6063,liability
nissan,EU27,2024,IT,S1,34933,355462.6434,10175.5544,liability
nissan,EU27,2024,IT,S2,34933,866306.5088,24799.0871,liability
nissan,EU27,2024,LT,S1,1051,18154.4606,17273.5115,liability
nissan,EU27,2024,LT,S2,1051,34045.6725,32393.599,liability
nissan,EU27,2024,LV,S1,687,8484.6534,12350.2961,liability
nissan,EU27,2024,LV,S2,687,20785.1859,30255.0013,liability
nissan,EU27,2024,MT,S1,230,-2123.9026,-9234.3591,contribution
nissan,EU27,2024,MT,S2,230,1758.7334,7646.667,liability
nissan,EU27,2024,NL,S1,5470,50108.9003,9160.6765,liability
nissan,EU27,2024,NL,S2,5470,96900.0531,17714.8178,liability
nissan,EU27,2024,PL,S1,8763,71494.1767,8158.6416,liability
nissan,EU27,2024,PL,S2,8763,333943.2918,38108.3295,liability
nissan,EU27,2024,PT,S1,7532,74960.4171,9952.2593,liability
nissan,EU27,2024,PT,S2,7532,201753.5457,26786.185,liability
nissan,EU27,2024,RO,S1,1202,18822.4179,15659.2495,liability
nissan,EU27,2024,RO,S2,1202,45158.734,37569.6622,liability
nissan,EU27,2024,SE,S1,3506,14008.6196,3995.6131,liability
nissan,EU27,2024,SE,S2,3506,51394.9444,14659.1399,liability
nissan,EU27,2024,SI,S1,969,-2642.7289,-2727.2744,contribution
nissan,EU27,2024,SI,S2,969,24006.4441,24774.4521,liability
nissan,EU27,2024,SK,S1,1736,21472.5573,12368.9846,liability
nissan,EU27,2024,SK,S2,1736,49464.2891,28493.2541,liability
nissan,JP,2024,JP,S1,214441,-349875.3194,-1631.5691,contribution
nissan,JP,2024,JP,S2,214441,474401.6553,2212.2712,liability
nissan,JP,2025,JP,S1,169528,-243866.1162,-1438.5005,contribution
nissan,JP,2025,JP,S2,169528,407772.4556,2405.3399,liability
nissan,US,2024,US,S1,864996,-2258871.2412,-2611.4239,contribution
nissan,US,2024,US,S2,864996,8633249.9452,9980.6819,liability
nissan,US,2025,US,S1,873293,-1362505.5202,-1560.1929,contribution
nissan,US,2025,US,S2,873293,9647078.9873,11046.7838,liability
toyota,EU27,2024,AT,S1,11119,-45557.0761,-4097.2278,contribution
toyota,EU27,2024,AT,S2,11119,108978.6969,9801.1239,liability
toyota,EU27,2024,BE,S1,23645,62780.7105,2655.1368,liability
toyota,EU27,2024,BE,S2,23645,308988.1837,13067.8022,liability
toyota,EU27,2024,BG,S1,5253,-72791.1526,-13857.0631,contribution
toyota,EU27,2024,BG,S2,5253,91422.9853,17403.9568,liability
toyota,EU27,2024,CY,S1,13,-22.3766,-1721.2769,contribution
toyota,EU27,2024,CY,S2,13,204.0716,15697.8154,liability
toyota,EU27,2024,CZ,S1,18911,-40261.0258,-2128.9739,contribution
toyota,EU27,2024,CZ,S2,18911,260427.6864,13771.2277,liability
toyota,EU27,2024,DE,S1,95088,182037.1717,1914.4074,liability
toyota,EU27,2024,DE,S2,95088,1202721.2214,12648.5069,liability
toyota,EU27,2024,DK,S1,13187,-24279.8287,-1841.1943,contribution
toyota,EU27,2024,DK,S2,13187,98661.0195,7481.688,liability
toyota,EU27,2024,EE,S1,4443,336.0021,75.6251,liability
toyota,EU27,2024,EE,S2,4443,67418.6272,15174.1227,liability
toyota,EU27,2024,ES,S1,100873,70885.5668,702.7209,liability
toyota,EU27,2024,ES,S2,100873,1999829.7754,19825.2236,liability
toyota,EU27,2024,FI,S1,12449,178345.7393,14326.1097,liability
toyota,EU27,2024,FI,S2,12449,219668.9434,17645.5091,liability
toyota,EU27,2024,FR,S1,134464,-37710.2251,-280.4485,contribution
toyota,EU27,2024,FR,S2,134464,1689890.1249,12567.6027,liability
toyota,EU27,2024,GR,S1,23480,238615.0869,10162.4824,liability
toyota,EU27,2024,GR,S2,23480,489061.5634,20828.857,liability
toyota,EU27,2024,HR,S1,4224,-68016.3611,-16102.3582,contribution
toyota,EU27,2024,HR,S2,4224,68940.9724,16321.2529,liability
toyota,EU27,2024,HU,S1,14274,-15782.8681,-1105.7074,contribution
toyota,EU27,2024,HU,S2,14274,340053.6365,23823.2897,liability
toyota,EU27,2024,IE,S1,17079,64353.0244,3767.9621,liability
toyota,EU27,2024,IE,S2,17079,341874.1169,20017.221,liability
toyota,EU27,2024,IT,S1,122924,393594.5668,3201.9343,liability
toyota,EU27,2024,IT,S2,122924,2189354.3092,17810.6335,liability
toyota,EU27,2024,LT,S1,6119,77292.7034,12631.5907,liability
toyota,EU27,2024,LT,S2,6119,169824.6315,27753.6577,liability
toyota,EU27,2024,LV,S1,2838,28153.0144,9920.0192,liability
toyota,EU27,2024,LV,S2,2838,79069.9837,27861.1641,liability
toyota,EU27,2024,MT,S1,1054,-9268.2026,-8793.3611,contribution
toyota,EU27,2024,MT,S2,1054,10832.9536,10277.9446,liability
toyota,EU27,2024,NL,S1,29853,195266.5093,6540.9342,liability
toyota,EU27,2024,NL,S2,29853,450553.7121,15092.4099,liability
toyota,EU27,2024,PL,S1,103174,-90026.2661,-872.5674,contribution
toyota,EU27,2024,PL,S2,103174,2989594.4434,28976.2386,liability
toyota,EU27,2024,PT,S1,11149,9846.4786,883.1715,liability
toyota,EU27,2024,PT,S2,11149,197786.9706,17740.3328,liability
toyota,EU27,2024,RO,S1,12799,111440.9673,8707.0058,liability
toyota,EU27,2024,RO,S2,12799,393016.7406,30706.8318,liability
toyota,EU27,2024,SE,S1,20143,59669.5093,2962.2951,liability
toyota,EU27,2024,SE,S2,20143,275739.5172,13689.0988,liability
toyota,EU27,2024,SI,S1,3394,-37415.7127,-11024.0756,contribution
toyota,EU27,2024,SI,S2,3394,55769.5884,16431.8174,liability
toyota,EU27,2024,SK,S1,9212,53019.4587,5755.4775,liability
toyota,EU27,2024,SK,S2,9212,201508.9212,21874.6115,liability
toyota,JP,2024,JP,S1,1189107,-1070526.4374,-900.2776,contribution
toyota,JP,2024,JP,S2,1189107,3500211.0639,2943.5627,liability
toyota,JP,2025,JP,S1,1212140,-1129277.1373,-931.6392,contribution
toyota,JP,2025,JP,S2,1212140,3529995.5393,2912.2012,liability
toyota,US,2024,US,S1,1986904,-6482842.2234,-3262.7858,contribution
toyota,US,2024,US,S2,1986904,18547637.42,9334.9439,liability
toyota,US,2025,US,S1,2147795,-8883848.9275,-4136.2648,contribution
toyota,US,2025,US,S2,2147795,18195077.9772,8471.5152,liability
