market,country,cohort_year,vkt_km,vkt_low_km,vkt_high_km,vkt_tier,vkt_year,vkt_derivation,car_stock,car_stock_year,car_co2_kt,car_co2_year,fleet_intensity_gco2_km,fleet_intensity_tier,grid_gco2_kwh,grid_year,grid_tier,mean_car_age_years,mean_car_age_year,mean_car_age_tier,lifetime_years,lifetime_low_years,lifetime_high_years,scenarios_excluded,scenario_exclusion_reason,warnings,source_ids
EU27,FR,2024,11532.060938827924,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,39738933.0,2024,66138.12,2024,144.32072938584085,A,40.48,2024,A,11.602430014917612,2024,A,17,12,23,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,GR,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",6027946.0,2024,7119.31,2024,97.93752748997034,C,321.65,2024,A,12.355719274017453,2024,C,19,12,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,HR,2024,12891.287850576402,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,1987156.0,2024,5421.3,2024,211.62899636959833,A,170.7,2024,A,13.174220091427145,2024,A,20,13,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,HU,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",4263067.0,2024,7664.85,2024,149.09465923191536,C,184.47,2024,A,14.919494227981874,2024,A,22,15,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,IE,2024,14899.298709725723,,,A,2023,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2023).,2534636.0,2024,5615.58,2024,148.70076145690362,A,270.91,2024,A,12.355719274017453,2024,C,19,12,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,IT,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",41340516.0,2024,65280.65,2024,130.94507289539993,C,281.4,2024,A,12.355719274017453,2024,C,19,12,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,LT,2024,12224.226155523866,,,B,2018,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2018).,1729713.0,2024,2814.87,2024,133.12601040687613,B,116.37,2024,A,15.459505709906788,2024,A,23,15,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,LU,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",457231.0,2024,2143.23,2024,388.6992447981309,C,132.45,2024,A,8.01317386616393,2024,A,12,10,16,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it. | FLEET_INTENSITY_IMPLAUSIBLE: 389 gCO2/km outside 80-320; inventory and stock cover different driving populations (cross-border refuelling); tiered down to C.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,LV,2024,12307.33115502966,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,788075.0,2024,1524.66,2024,157.19602849748946,A,134.28,2024,A,15.288464295910922,2024,A,23,15,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,MT,2024,7108.834315730867,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,330484.0,2024,434.48,2024,184.935786658131,A,488.58,2024,A,14.457090207090207,2024,A,22,14,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,NL,2024,13187.662808816358,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,9247810.0,2024,14098.16,2024,115.59943258689538,A,250.72,2024,A,10.517460944807473,2024,A,16,11,21,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,PL,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",22951213.0,2024,35293.59,2024,127.51779004458479,C,608.18,2024,A,16.142239366607768,2024,A,24,16,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,PT,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",6135517.0,2024,10135.47,2024,136.9850944546785,C,110.64,2024,A,13.863956044779927,2024,A,21,14,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,RO,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",8449781.0,2024,11553.47,2024,113.38290309764388,C,251.33,2024,A,16.719328761301625,2024,A,25,17,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,SE,2024,13290.511910117506,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,4976987.0,2024,9721.94,2024,146.97542379473023,A,34.91,2024,A,10.609793937577093,2024,A,16,11,21,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,SI,2024,14417.340792701845,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,1250508.0,2024,3649.36,2024,202.41610738255034,A,230.4,2024,A,11.890903136965138,2024,A,18,12,24,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,SK,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",2722491.0,2024,4713.14,2024,143.5570324985228,C,96.55,2024,A,12.355719274017453,2024,C,19,12,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
