company,destination,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
kia,GR,S1,4581,-67352.7455,-14702.6294,liability
kia,GR,S2,4581,-81970.4461,-17893.5704,liability
kia,GR,S3,4581,-112821.6764,-24628.1765,liability
kia,HR,S1,3274,32625.7209,9965.095,contribution
kia,HR,S2,3274,-15123.1595,-4619.1691,liability
kia,HR,S3,3274,-73635.8691,-22491.1024,liability
kia,HU,S1,6258,-37432.4529,-5981.5361,liability
kia,HU,S2,6258,-118661.3664,-18961.5478,liability
kia,HU,S3,6258,-203024.3361,-32442.3675,liability
kia,IE,S1,7531,-38457.6665,-5106.5817,liability
kia,IE,S2,7531,-63410.4223,-8419.9206,liability
kia,IE,S3,7531,-151179.1673,-20074.2487,liability
kia,IT,S1,46588,-398271.9076,-8548.8089,liability
kia,IT,S2,46588,-608050.1373,-13051.6471,liability
kia,IT,S3,46588,-1032735.3265,-22167.4106,liability
kia,LT,S1,2146,-41898.5334,-19524.0137,liability
kia,LT,S2,2146,-48038.4565,-22385.1149,liability
kia,LT,S3,2146,-74360.2748,-34650.6406,liability
kia,LU,S1,1443,39015.5457,27037.8002,contribution
kia,LU,S2,1443,38572.4987,26730.7683,contribution
kia,LU,S3,1443,15983.6394,11076.6732,contribution
kia,LV,S1,770,-9613.9335,-12485.6279,liability
kia,LV,S2,770,-12293.1704,-15965.1564,liability
kia,LV,S3,770,-23412.2864,-30405.5668,liability
kia,MT,S1,494,3160.5312,6397.8364,contribution
kia,MT,S2,494,-1631.2006,-3302.0255,liability
kia,MT,S3,494,-6143.7511,-12436.7431,liability
kia,NL,S1,32012,-114935.4993,-3590.388,liability
kia,NL,S2,32012,-180637.4407,-5642.804,liability
kia,NL,S3,32012,-388860.3237,-12147.3299,liability
kia,PL,S1,32226,-237495.8243,-7369.696,liability
kia,PL,S2,32226,-818326.6456,-25393.367,liability
kia,PL,S3,32226,-1195024.8048,-37082.6291,liability
kia,PT,S1,6400,-34320.7664,-5362.6197,liability
kia,PT,S2,6400,-71700.7546,-11203.2429,liability
kia,PT,S3,6400,-142343.5715,-22241.183,liability
kia,RO,S1,4084,-75156.3486,-18402.6319,liability
kia,RO,S2,4084,-119950.8247,-29370.9169,liability
kia,RO,S3,4084,-165327.8864,-40481.8527,liability
kia,SE,S1,10104,128529.6093,12720.666,contribution
kia,SE,S2,10104,118037.5351,11682.258,contribution
kia,SE,S3,10104,22782.9121,2254.8409,contribution
kia,SI,S1,2286,12327.1019,5392.433,contribution
kia,SI,S2,2286,-11902.6474,-5206.7574,liability
kia,SI,S3,2286,-50552.2136,-22113.8292,liability
kia,SK,S1,8547,-73873.3827,-8643.1944,liability
kia,SK,S2,8547,-116493.4325,-13629.7452,liability
kia,SK,S3,8547,-201992.4185,-23633.1366,liability
toyota,AT,S1,10768,37563.6269,3488.4497,contribution
toyota,AT,S2,10768,4527.0788,420.4197,contribution
toyota,AT,S3,10768,-112238.1107,-10423.3015,liability
toyota,BE,S1,22722,-76539.6211,-3368.5248,liability
toyota,BE,S2,22722,-123613.7667,-5440.2679,liability
toyota,BE,S3,22722,-313731.1495,-13807.3739,liability
toyota,BG,S1,4961,57897.4605,11670.5222,contribution
toyota,BG,S2,4961,-26868.8534,-5416.0156,liability
toyota,BG,S3,4961,-84480.0878,-17028.8425,liability
toyota,CY,S1,7,-46.9261,-6703.7286,liability
toyota,CY,S2,7,-95.9208,-13702.9714,liability
toyota,CY,S3,7,-194.898,-27842.5714,liability
toyota,CZ,S1,18428,33011.1497,1791.3582,contribution
toyota,CZ,S2,18428,-94175.0477,-5110.4324,liability
toyota,CZ,S3,18428,-261243.0087,-14176.4168,liability
toyota,DE,S1,93242,-202559.7997,-2172.4094,liability
toyota,DE,S2,93242,-431182.209,-4624.3346,liability
toyota,DE,S3,93242,-1206579.9015,-12940.3048,liability
toyota,DK,S1,12693,16798.5119,1323.4469,contribution
toyota,DK,S2,12693,5851.0817,460.9692,contribution
toyota,DK,S3,12693,-101482.3739,-7995.1449,liability
toyota,EE,S1,4275,-1368.8602,-320.2012,liability
toyota,EE,S2,4275,-11940.6453,-2793.1334,liability
toyota,EE,S3,4275,-63262.0467,-14798.1396,liability
toyota,ES,S1,97284,-156506.7147,-1608.7611,liability
toyota,ES,S2,97284,-702594.0477,-7222.0925,liability
toyota,ES,S3,97284,-2017124.9617,-20734.3958,liability
toyota,FI,S1,11328,-197671.99,-17449.8579,liability
toyota,FI,S2,11328,-117934.0569,-10410.8454,liability
toyota,FI,S3,11328,-236162.0343,-20847.6372,liability
toyota,FR,S1,130556,-34472.8916,-264.0468,liability
toyota,FR,S2,130556,-535523.4579,-4101.8678,liability
toyota,FR,S3,130556,-1713001.8631,-13120.8207,liability
toyota,GR,S1,23118,-224563.8967,-9713.8116,liability
toyota,GR,S2,23118,-295924.705,-12800.6188,liability
toyota,GR,S3,23118,-454282.7845,-19650.6092,liability
toyota,HR,S1,4127,64128.2689,15538.7131,contribution
toyota,HR,S2,4127,3940.7078,954.8601,contribution
toyota,HR,S3,4127,-69819.6084,-16917.7631,liability
toyota,HU,S1,14054,9040.0802,643.2389,contribution
toyota,HU,S2,14054,-171834.3716,-12226.7235,liability
toyota,HU,S3,14054,-363330.419,-25852.4562,liability
toyota,IE,S1,16150,-68633.4539,-4249.7495,liability
toyota,IE,S2,16150,-109629.0165,-6788.1744,liability
toyota,IE,S3,16150,-315536.7027,-19537.8763,liability
toyota,IT,S1,120233,-379760.4061,-3158.5372,liability
toyota,IT,S2,120233,-918713.1887,-7641.1068,liability
toyota,IT,S3,120233,-2020236.8787,-16802.6821,liability
toyota,LT,S1,5745,-83589.1155,-14549.8896,liability
toyota,LT,S2,5745,-99627.9329,-17341.6767,liability
toyota,LT,S3,5745,-170508.3601,-29679.436,liability
toyota,LU,S1,1184,28135.2341,23762.8666,contribution
toyota,LU,S2,1184,28075.854,23712.7145,contribution
toyota,LU,S3,1184,9199.7516,7770.0605,contribution
toyota,LV,S1,2752,-29964.397,-10888.2257,liability
toyota,LV,S2,2752,-39099.3176,-14207.6009,liability
toyota,LV,S3,2752,-79399.4479,-28851.5436,liability
toyota,MT,S1,1045,9137.8797,8744.3825,contribution
toyota,MT,S2,1045,-862.6513,-825.5036,liability
toyota,MT,S3,1045,-10831.94,-10365.4928,liability
toyota,NL,S1,28630,-206544.6518,-7214.2736,liability
toyota,NL,S2,28630,-236050.7022,-8244.8726,liability
toyota,NL,S3,28630,-451347.8465,-15764.8567,liability
toyota,PL,S1,101852,71777.4234,704.7228,contribution
toyota,PL,S2,101852,-1738755.774,-17071.3955,liability
toyota,PL,S3,101852,-2978658.1877,-29244.9651,liability
toyota,PT,S1,10116,-31288.3635,-3092.958,liability
toyota,PT,S2,10116,-86590.8455,-8559.791,liability
toyota,PT,S3,10116,-201343.5266,-19903.4724,liability
toyota,RO,S1,12213,-121102.1639,-9915.8408,liability
toyota,RO,S2,12213,-254306.4748,-20822.605,liability
toyota,RO,S3,12213,-391119.916,-32024.8846,liability
toyota,SE,S1,18656,-85461.4112,-4580.9075,liability
toyota,SE,S2,18656,-103017.4512,-5521.9474,liability
toyota,SE,S3,18656,-286120.9528,-15336.672,liability
toyota,SI,S1,3291,33839.0584,10282.3028,contribution
toyota,SI,S2,3291,-1026.1034,-311.7908,liability
toyota,SI,S3,3291,-56695.278,-17227.371,liability
toyota,SK,S1,9031,-51718.7414,-5726.8012,liability
toyota,SK,S2,9031,-96402.4959,-10674.6203,liability
toyota,SK,S3,9031,-187166.8196,-20724.9274,liability
