market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
EU27,nissan,2024,S1,1,2025,197588,-30293.7929
EU27,nissan,2024,S1,2,2026,197588,-37569.3106
EU27,nissan,2024,S1,3,2027,197588,-44644.7031
EU27,nissan,2024,S1,4,2028,197588,-51526.3454
EU27,nissan,2024,S1,5,2029,197588,-58220.3332
EU27,nissan,2024,S1,6,2030,197588,-64732.4993
EU27,nissan,2024,S1,7,2031,197588,-71068.4289
EU27,nissan,2024,S1,8,2032,197588,-77233.4742
EU27,nissan,2024,S1,9,2033,197588,-83232.7673
EU27,nissan,2024,S1,10,2034,197588,-89071.2328
EU27,nissan,2024,S1,11,2035,197588,-94753.5992
EU27,nissan,2024,S1,12,2036,197588,-100284.4095
EU27,nissan,2024,S1,13,2037,197588,-105668.0313
EU27,nissan,2024,S1,14,2038,188960,-103652.598
EU27,nissan,2024,S1,15,2039,151255,-84885.5216
EU27,nissan,2024,S1,16,2040,140992,-80999.9594
EU27,nissan,2024,S1,17,2041,111420,-70311.3332
EU27,nissan,2024,S1,18,2042,110451,-72422.5638
EU27,nissan,2024,S1,19,2043,63472,-38183.0877
EU27,nissan,2024,S1,20,2044,62625,-39560.9478
EU27,nissan,2024,S1,21,2045,21002,-9863.8196
EU27,nissan,2024,S1,22,2046,15183,-8206.31
EU27,nissan,2024,S1,23,2047,10490,-2440.902
EU27,nissan,2024,S1,24,2048,1202,-839.4032
EU27,nissan,2024,S2,0,2024,197588,-22811.4776
EU27,nissan,2024,S2,1,2025,197588,-37680.1296
EU27,nissan,2024,S2,2,2026,197588,-51909.9533
EU27,nissan,2024,S2,3,2027,197588,-65527.9846
EU27,nissan,2024,S2,4,2028,197588,-78560.1573
EU27,nissan,2024,S2,5,2029,197588,-91031.3432
EU27,nissan,2024,S2,6,2030,197588,-102965.3917
EU27,nissan,2024,S2,7,2031,197588,-114385.1683
EU27,nissan,2024,S2,8,2032,197588,-125312.5922
EU27,nissan,2024,S2,9,2033,197588,-135768.6724
EU27,nissan,2024,S2,10,2034,197588,-145773.543
EU27,nissan,2024,S2,11,2035,197588,-155346.4975
EU27,nissan,2024,S2,12,2036,197588,-164506.0219
EU27,nissan,2024,S2,13,2037,197588,-173269.8264
EU27,nissan,2024,S2,14,2038,188960,-172159.9631
EU27,nissan,2024,S2,15,2039,151255,-146565.4929
EU27,nissan,2024,S2,16,2040,140992,-143158.8441
EU27,nissan,2024,S2,17,2041,111420,-122997.3391
EU27,nissan,2024,S2,18,2042,110451,-125788.8581
EU27,nissan,2024,S2,19,2043,63472,-72063.6592
EU27,nissan,2024,S2,20,2044,62625,-73292.6835
EU27,nissan,2024,S2,21,2045,21002,-26363.2956
EU27,nissan,2024,S2,22,2046,15183,-19779.6134
EU27,nissan,2024,S2,23,2047,10490,-15076.5613
EU27,nissan,2024,S2,24,2048,1202,-1709.3171
EU27,nissan,2024,S3,0,2024,197588,-22811.4776
EU27,nissan,2024,S3,1,2025,197588,-69466.005
EU27,nissan,2024,S3,2,2026,197588,-109798.9615
EU27,nissan,2024,S3,3,2027,197588,-144665.9825
EU27,nissan,2024,S3,4,2028,197588,-174806.9705
