company,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
toyota,S1,12,2036,777277,-172425.6889
toyota,S1,13,2037,777277,-190204.5023
toyota,S1,14,2038,754555,-194471.321
toyota,S1,15,2039,637852,-163633.5945
toyota,S1,16,2040,572138,-140564.3698
toyota,S1,17,2041,441582,-116014.3131
toyota,S1,18,2042,264798,-47905.5132
toyota,S1,19,2043,264798,-50239.295
toyota,S1,20,2044,260671,-54997.7937
toyota,S1,21,2045,153264,-9782.3538
toyota,S1,22,2046,152219,-9192.406
toyota,S1,23,2047,125393,2966.9825
toyota,S1,24,2048,12213,-5864.1438
toyota,S2,0,2024,778461,92207.474
toyota,S2,1,2025,778461,33884.1443
toyota,S2,2,2026,778461,-21905.4045
toyota,S2,3,2027,778461,-75271.2496
toyota,S2,4,2028,778461,-126318.6852
toyota,S2,5,2029,778461,-175148.4318
toyota,S2,6,2030,778461,-221856.8341
toyota,S2,7,2031,778461,-266536.0507
toyota,S2,8,2032,778461,-309274.2372
toyota,S2,9,2033,778461,-350155.7191
toyota,S2,10,2034,778461,-389261.1585
toyota,S2,11,2035,778461,-426667.7133
toyota,S2,12,2036,777277,-463647.4888
toyota,S2,13,2037,777277,-497732.9912
toyota,S2,14,2038,754555,-511347.9437
toyota,S2,15,2039,637852,-462731.876
toyota,S2,16,2040,572138,-432323.6564
toyota,S2,17,2041,441582,-367503.6027
toyota,S2,18,2042,264798,-228920.487
toyota,S2,19,2043,264798,-237805.4271
toyota,S2,20,2044,260671,-243504.9226
toyota,S2,21,2045,153264,-157621.5011
toyota,S2,22,2046,152219,-161244.7232
toyota,S2,23,2047,125393,-137954.3679
toyota,S2,24,2048,12213,-14731.4604
toyota,S3,0,2024,778461,92207.474
toyota,S3,1,2025,778461,-88854.1489
toyota,S3,2,2026,778461,-245438.5508
toyota,S3,3,2027,778461,-380853.9714
toyota,S3,4,2028,778461,-497961.5883
toyota,S3,5,2029,778461,-599235.9255
toyota,S3,6,2030,778461,-686817.0992
toyota,S3,7,2031,778461,-762556.0061
toyota,S3,8,2032,778461,-828053.4041
toyota,S3,9,2033,778461,-884693.7133
toyota,S3,10,2034,778461,-933674.2502
toyota,S3,11,2035,778461,-976030.5111
toyota,S3,12,2036,777277,-1011575.2031
toyota,S3,13,2037,777277,-1043117.2725
toyota,S3,14,2038,754555,-1033184.709
toyota,S3,15,2039,637852,-891149.1607
toyota,S3,16,2040,572138,-809160.4047
toyota,S3,17,2041,441582,-652997.9937
toyota,S3,18,2042,264798,-399758.994
toyota,S3,19,2043,264798,-404260.1949
toyota,S3,20,2044,260671,-401342.4161
toyota,S3,21,2045,153264,-239310.1754
toyota,S3,22,2046,152219,-239944.8296
toyota,S3,23,2047,125393,-199004.171
toyota,S3,24,2048,12213,-19932.1337
