company,market,cohort_year,powertrain,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
kia,KR,2026,HEV,S2,8450,34240.3599,4052.1136,contribution
kia,KR,2026,HEV,S3,8450,2575.0959,304.7451,contribution
kia,KR,2026,ICE,S1,198539,38957.0065,196.2184,contribution
kia,KR,2026,ICE,S2,198539,-1343589.4257,-6767.3829,liability
kia,KR,2026,ICE,S3,198539,-2087588.2242,-10514.7514,liability
kia,US,2024,BEV,S1,56108,1737967.0342,30975.3874,contribution
kia,US,2024,BEV,S3,56108,1218586.8712,21718.594,contribution
kia,US,2024,HEV,S1,45694,762652.7568,16690.4354,contribution
kia,US,2024,HEV,S3,45694,-74619.5215,-1633.0267,liability
kia,US,2024,ICE,S1,678507,-1485951.2242,-2190.0308,liability
kia,US,2024,ICE,S3,678507,-13918548.5417,-20513.4929,liability
kia,US,2025,BEV,S1,40808,1267846.2266,31068.5705,contribution
kia,US,2025,BEV,S3,40808,887969.521,21759.6922,contribution
kia,US,2025,HEV,S1,49164,816728.229,16612.3226,contribution
kia,US,2025,HEV,S3,49164,-84126.4629,-1711.1395,liability
kia,US,2025,ICE,S1,746599,-2083855.061,-2791.1303,liability
kia,US,2025,ICE,S3,746599,-15764133.5616,-21114.5924,liability
kia,US,2026,BEV,S1,12731,384880.2159,30231.7348,contribution
kia,US,2026,BEV,S3,12731,272323.8239,21390.6075,contribution
kia,US,2026,HEV,S1,27655,470908.9191,17027.9848,contribution
kia,US,2026,HEV,S3,27655,-35826.426,-1295.4773,liability
kia,US,2026,ICE,S1,381785,-1346149.6852,-3525.9365,liability
kia,US,2026,ICE,S3,381785,-8341772.6734,-21849.3987,liability
toyota,EU27,2024,BEV,S1,10853,219226.3849,20199.6116,contribution
toyota,EU27,2024,BEV,S2,10853,191905.3493,17682.2399,contribution
toyota,EU27,2024,BEV,S3,10853,96928.6721,8931.0488,contribution
toyota,EU27,2024,HEV,S1,610069,-728857.2083,-1194.7127,liability
toyota,EU27,2024,HEV,S2,610069,-4345873.2928,-7123.5767,liability
toyota,EU27,2024,HEV,S3,610069,-10739373.8468,-17603.5397,liability
toyota,EU27,2024,ICE,S1,156355,-1172288.3531,-7497.6071,liability
toyota,EU27,2024,ICE,S2,156355,-2137296.8663,-13669.514,liability
toyota,EU27,2024,ICE,S3,156355,-3727328.4473,-23838.8823,liability
