market,company,destination,cohort_year,segment,model,powertrain,scenario,t,calendar_year,units,e_ref_kgco2e_per_vehicle,e_prod_kgco2e_per_vehicle,gap_kgco2e_per_vehicle,e_ref_tco2e,e_prod_tco2e,ti_tco2e,tier
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,2,2026,705,2220.7505,1803.5469,417.2035,1565.6291,1271.5006,294.1285,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,3,2027,705,2161.5492,1803.5469,358.0023,1523.8922,1271.5006,252.3916,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,4,2028,705,2103.9261,1803.5469,300.3792,1483.2679,1271.5006,211.7673,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,5,2029,705,2047.8392,1803.5469,244.2922,1443.7266,1271.5006,172.226,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,6,2030,705,1993.2474,1803.5469,189.7005,1405.2394,1271.5006,133.7388,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,7,2031,705,1940.111,1803.5469,136.564,1367.7782,1271.5006,96.2776,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,8,2032,705,1888.391,1803.5469,84.8441,1331.3157,1271.5006,59.8151,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,9,2033,705,1838.0499,1803.5469,34.503,1295.8252,1271.5006,24.3246,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,10,2034,705,1789.0507,1803.5469,-14.4962,1261.2808,1271.5006,-10.2198,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,11,2035,705,1741.3578,1803.5469,-62.1891,1227.6572,1271.5006,-43.8433,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,12,2036,705,1694.9363,1803.5469,-108.6106,1194.9301,1271.5006,-76.5705,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,13,2037,705,1649.7523,1803.5469,-153.7946,1163.0754,1271.5006,-108.4252,C
EU27,hyundai,AT,2024,passenger_car,BAYON,ICE,S1,14,2038,705,1605.7728,1803.5469,-197.7741,1132.0698,1271.5006,-139.4308,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,0,2024,1,2344.0617,3102.3081,-758.2464,2.3441,3.1023,-0.7582,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,1,2025,1,2281.5732,3102.3081,-820.7349,2.2816,3.1023,-0.8207,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,2,2026,1,2220.7505,3102.3081,-881.5576,2.2208,3.1023,-0.8816,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,3,2027,1,2161.5492,3102.3081,-940.7589,2.1615,3.1023,-0.9408,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,4,2028,1,2103.9261,3102.3081,-998.382,2.1039,3.1023,-0.9984,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,5,2029,1,2047.8392,3102.3081,-1054.4689,2.0478,3.1023,-1.0545,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,6,2030,1,1993.2474,3102.3081,-1109.0607,1.9932,3.1023,-1.1091,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,7,2031,1,1940.111,3102.3081,-1162.1971,1.9401,3.1023,-1.1622,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,8,2032,1,1888.391,3102.3081,-1213.9171,1.8884,3.1023,-1.2139,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,9,2033,1,1838.0499,3102.3081,-1264.2582,1.838,3.1023,-1.2643,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,10,2034,1,1789.0507,3102.3081,-1313.2574,1.7891,3.1023,-1.3133,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,11,2035,1,1741.3578,3102.3081,-1360.9503,1.7414,3.1023,-1.361,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,12,2036,1,1694.9363,3102.3081,-1407.3718,1.6949,3.1023,-1.4074,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,13,2037,1,1649.7523,3102.3081,-1452.5558,1.6498,3.1023,-1.4526,C
EU27,hyundai,AT,2024,passenger_car,G70 GENESIS G70,ICE,S1,14,2038,1,1605.7728,3102.3081,-1496.5353,1.6058,3.1023,-1.4965,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,0,2024,2,2344.0617,3753.1566,-1409.0949,4.6881,7.5063,-2.8182,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,1,2025,2,2281.5732,3753.1566,-1471.5834,4.5631,7.5063,-2.9432,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,2,2026,2,2220.7505,3753.1566,-1532.4061,4.4415,7.5063,-3.0648,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,3,2027,2,2161.5492,3753.1566,-1591.6074,4.3231,7.5063,-3.1832,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,4,2028,2,2103.9261,3753.1566,-1649.2304,4.2079,7.5063,-3.2985,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,5,2029,2,2047.8392,3753.1566,-1705.3174,4.0957,7.5063,-3.4106,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,6,2030,2,1993.2474,3753.1566,-1759.9092,3.9865,7.5063,-3.5198,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,7,2031,2,1940.111,3753.1566,-1813.0456,3.8802,7.5063,-3.6261,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,8,2032,2,1888.391,3753.1566,-1864.7655,3.7768,7.5063,-3.7295,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,9,2033,2,1838.0499,3753.1566,-1915.1067,3.6761,7.5063,-3.8302,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,10,2034,2,1789.0507,3753.1566,-1964.1058,3.5781,7.5063,-3.9282,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,11,2035,2,1741.3578,3753.1566,-2011.7988,3.4827,7.5063,-4.0236,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,12,2036,2,1694.9363,3753.1566,-2058.2203,3.3899,7.5063,-4.1164,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,13,2037,2,1649.7523,3753.1566,-2103.4043,3.2995,7.5063,-4.2068,C
EU27,hyundai,AT,2024,passenger_car,G90 GENESIS G90,HEV,S1,14,2038,2,1605.7728,3753.1566,-2147.3838,3.2115,7.5063,-4.2948,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,0,2024,1,2344.0617,237.0988,2106.9629,2.3441,0.2371,2.107,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,1,2025,1,2281.5732,225.5273,2056.0459,2.2816,0.2255,2.056,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,2,2026,1,2220.7505,214.5204,2006.23,2.2208,0.2145,2.0062,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,3,2027,1,2161.5492,204.0508,1957.4984,2.1615,0.2041,1.9575,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,4,2028,1,2103.9261,194.0921,1909.834,2.1039,0.1941,1.9098,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,5,2029,1,2047.8392,184.6195,1863.2197,2.0478,0.1846,1.8632,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,6,2030,1,1993.2474,175.6091,1817.6383,1.9932,0.1756,1.8176,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,7,2031,1,1940.111,167.0386,1773.0724,1.9401,0.167,1.7731,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,8,2032,1,1888.391,158.8863,1729.5048,1.8884,0.1589,1.7295,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,9,2033,1,1838.0499,151.1318,1686.918,1.838,0.1511,1.6869,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,10,2034,1,1789.0507,143.7559,1645.2949,1.7891,0.1438,1.6453,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,11,2035,1,1741.3578,136.7399,1604.6179,1.7414,0.1367,1.6046,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,12,2036,1,1694.9363,130.0663,1564.87,1.6949,0.1301,1.5649,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,13,2037,1,1649.7523,123.7184,1526.0338,1.6498,0.1237,1.526,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,BEV,S1,14,2038,1,1605.7728,117.6804,1488.0924,1.6058,0.1177,1.4881,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,0,2024,1,2344.0617,2815.0574,-470.9957,2.3441,2.8151,-0.471,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,1,2025,1,2281.5732,2815.0574,-533.4842,2.2816,2.8151,-0.5335,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,2,2026,1,2220.7505,2815.0574,-594.3069,2.2208,2.8151,-0.5943,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,3,2027,1,2161.5492,2815.0574,-653.5082,2.1615,2.8151,-0.6535,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,4,2028,1,2103.9261,2815.0574,-711.1312,2.1039,2.8151,-0.7111,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,5,2029,1,2047.8392,2815.0574,-767.2182,2.0478,2.8151,-0.7672,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,6,2030,1,1993.2474,2815.0574,-821.8099,1.9932,2.8151,-0.8218,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,7,2031,1,1940.111,2815.0574,-874.9464,1.9401,2.8151,-0.8749,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,8,2032,1,1888.391,2815.0574,-926.6663,1.8884,2.8151,-0.9267,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,9,2033,1,1838.0499,2815.0574,-977.0075,1.838,2.8151,-0.977,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,10,2034,1,1789.0507,2815.0574,-1026.0066,1.7891,2.8151,-1.026,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,11,2035,1,1741.3578,2815.0574,-1073.6996,1.7414,2.8151,-1.0737,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,12,2036,1,1694.9363,2815.0574,-1120.1211,1.6949,2.8151,-1.1201,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,13,2037,1,1649.7523,2815.0574,-1165.3051,1.6498,2.8151,-1.1653,C
EU27,hyundai,AT,2024,passenger_car,GV70 GENESIS GV70,ICE,S1,14,2038,1,1605.7728,2815.0574,-1209.2845,1.6058,2.8151,-1.2093,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,0,2024,324,2344.0617,2053.8514,290.2103,759.476,665.4479,94.0281,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,1,2025,324,2281.5732,2053.8514,227.7218,739.2297,665.4479,73.7819,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,2,2026,324,2220.7505,2053.8514,166.8991,719.5232,665.4479,54.0753,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,3,2027,324,2161.5492,2053.8514,107.6978,700.3419,665.4479,34.8941,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,4,2028,324,2103.9261,2053.8514,50.0747,681.6721,665.4479,16.2242,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,5,2029,324,2047.8392,2053.8514,-6.0122,663.4999,665.4479,-1.948,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,6,2030,324,1993.2474,2053.8514,-60.604,645.8122,665.4479,-19.6357,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,7,2031,324,1940.111,2053.8514,-113.7404,628.596,665.4479,-36.8519,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,8,2032,324,1888.391,2053.8514,-165.4604,611.8387,665.4479,-53.6092,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,9,2033,324,1838.0499,2053.8514,-215.8015,595.5282,665.4479,-69.9197,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,10,2034,324,1789.0507,2053.8514,-264.8007,579.6524,665.4479,-85.7954,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,11,2035,324,1741.3578,2053.8514,-312.4936,564.1999,665.4479,-101.2479,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,12,2036,324,1694.9363,2053.8514,-358.9151,549.1594,665.4479,-116.2885,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,13,2037,324,1649.7523,2053.8514,-404.0991,534.5197,665.4479,-130.9281,C
EU27,hyundai,AT,2024,passenger_car,I 30,HEV,S1,14,2038,324,1605.7728,2053.8514,-448.0786,520.2704,665.4479,-145.1775,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,0,2024,1631,2344.0617,1940.0341,404.0276,3823.1646,3164.1957,658.969,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,1,2025,1631,2281.5732,1940.0341,341.539,3721.2458,3164.1957,557.0502,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,2,2026,1631,2220.7505,1940.0341,280.7163,3622.044,3164.1957,457.8484,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,3,2027,1631,2161.5492,1940.0341,221.5151,3525.4867,3164.1957,361.2911,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,4,2028,1631,2103.9261,1940.0341,163.892,3431.5035,3164.1957,267.3079,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,5,2029,1631,2047.8392,1940.0341,107.8051,3340.0257,3164.1957,175.83,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,6,2030,1631,1993.2474,1940.0341,53.2133,3250.9865,3164.1957,86.7909,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,7,2031,1631,1940.111,1940.0341,0.0768,3164.321,3164.1957,0.1253,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,8,2032,1631,1888.391,1940.0341,-51.6431,3079.9658,3164.1957,-84.2299,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,9,2033,1631,1838.0499,1940.0341,-101.9842,2997.8594,3164.1957,-166.3363,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,10,2034,1631,1789.0507,1940.0341,-150.9834,2917.9417,3164.1957,-246.2539,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,11,2035,1631,1741.3578,1940.0341,-198.6763,2840.1546,3164.1957,-324.0411,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,12,2036,1631,1694.9363,1940.0341,-245.0978,2764.4411,3164.1957,-399.7546,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,13,2037,1631,1649.7523,1940.0341,-290.2818,2690.746,3164.1957,-473.4497,C
EU27,hyundai,AT,2024,passenger_car,I 30,ICE,S1,14,2038,1631,1605.7728,1940.0341,-334.2613,2619.0155,3164.1957,-545.1802,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,0,2024,17,2344.0617,2728.0376,-383.9759,39.849,46.3766,-6.5276,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,1,2025,17,2281.5732,2728.0376,-446.4644,38.7867,46.3766,-7.5899,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,2,2026,17,2220.7505,2728.0376,-507.2871,37.7528,46.3766,-8.6239,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,3,2027,17,2161.5492,2728.0376,-566.4884,36.7463,46.3766,-9.6303,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,4,2028,17,2103.9261,2728.0376,-624.1115,35.7667,46.3766,-10.6099,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,5,2029,17,2047.8392,2728.0376,-680.1984,34.8133,46.3766,-11.5634,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,6,2030,17,1993.2474,2728.0376,-734.7902,33.8852,46.3766,-12.4914,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,7,2031,17,1940.111,2728.0376,-787.9267,32.9819,46.3766,-13.3948,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,8,2032,17,1888.391,2728.0376,-839.6466,32.1026,46.3766,-14.274,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,9,2033,17,1838.0499,2728.0376,-889.9877,31.2468,46.3766,-15.1298,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,10,2034,17,1789.0507,2728.0376,-938.9869,30.4139,46.3766,-15.9628,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,11,2035,17,1741.3578,2728.0376,-986.6798,29.6031,46.3766,-16.7736,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,12,2036,17,1694.9363,2728.0376,-1033.1013,28.8139,46.3766,-17.5627,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,13,2037,17,1649.7523,2728.0376,-1078.2853,28.0458,46.3766,-18.3309,C
EU27,hyundai,AT,2024,passenger_car,I 30 N,ICE,S1,14,2038,17,1605.7728,2728.0376,-1122.2648,27.2981,46.3766,-19.0785,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,0,2024,1575,2344.0617,1691.8064,652.2553,3691.8972,2664.5951,1027.3021,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,1,2025,1575,2281.5732,1691.8064,589.7668,3593.4777,2664.5951,928.8827,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,2,2026,1575,2220.7505,1691.8064,528.9441,3497.682,2664.5951,833.0869,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,3,2027,1575,2161.5492,1691.8064,469.7428,3404.44,2664.5951,739.8449,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,4,2028,1575,2103.9261,1691.8064,412.1197,3313.6836,2664.5951,649.0886,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,5,2029,1575,2047.8392,1691.8064,356.0328,3225.3467,2664.5951,560.7516,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,6,2030,1575,1993.2474,1691.8064,301.441,3139.3647,2664.5951,474.7696,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,7,2031,1575,1940.111,1691.8064,248.3046,3055.6748,2664.5951,391.0797,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,8,2032,1575,1888.391,1691.8064,196.5847,2974.2159,2664.5951,309.6208,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,9,2033,1575,1838.0499,1691.8064,146.2435,2894.9286,2664.5951,230.3335,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,10,2034,1575,1789.0507,1691.8064,97.2443,2817.7549,2664.5951,153.1598,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,11,2035,1575,1741.3578,1691.8064,49.5514,2742.6385,2664.5951,78.0435,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,12,2036,1575,1694.9363,1691.8064,3.1299,2669.5247,2664.5951,4.9296,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,13,2037,1575,1649.7523,1691.8064,-42.0541,2598.3599,2664.5951,-66.2352,C
EU27,hyundai,AT,2024,passenger_car,I10,ICE,S1,14,2038,1575,1605.7728,1691.8064,-86.0336,2529.0922,2664.5951,-135.5029,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,0,2024,2058,2344.0617,1748.0486,596.0131,4824.079,3597.4841,1226.5949,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,1,2025,2058,2281.5732,1748.0486,533.5245,4695.4776,3597.4841,1097.9935,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,2,2026,2058,2220.7505,1748.0486,472.7018,4570.3045,3597.4841,972.8203,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,3,2027,2058,2161.5492,1748.0486,413.5005,4448.4682,3597.4841,850.9841,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,4,2028,2058,2103.9261,1748.0486,355.8775,4329.88,3597.4841,732.3958,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,5,2029,2058,2047.8392,1748.0486,299.7905,4214.453,3597.4841,616.9689,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,6,2030,2058,1993.2474,1748.0486,245.1988,4102.1032,3597.4841,504.6191,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,7,2031,2058,1940.111,1748.0486,192.0623,3992.7484,3597.4841,395.2643,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,8,2032,2058,1888.391,1748.0486,140.3424,3886.3088,3597.4841,288.8247,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,9,2033,2058,1838.0499,1748.0486,90.0012,3782.7067,3597.4841,185.2225,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,10,2034,2058,1789.0507,1748.0486,41.0021,3681.8664,3597.4841,84.3823,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,11,2035,2058,1741.3578,1748.0486,-6.6908,3583.7144,3597.4841,-13.7698,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,12,2036,2058,1694.9363,1748.0486,-53.1124,3488.1789,3597.4841,-109.3052,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,13,2037,2058,1649.7523,1748.0486,-98.2964,3395.1902,3597.4841,-202.2939,C
EU27,hyundai,AT,2024,passenger_car,I20,ICE,S1,14,2038,2058,1605.7728,1748.0486,-142.2758,3304.6804,3597.4841,-292.8037,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,0,2024,42,2344.0617,2269.2809,74.7808,98.4506,95.3098,3.1408,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,1,2025,42,2281.5732,2269.2809,12.2922,95.8261,95.3098,0.5163,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,2,2026,42,2220.7505,2269.2809,-48.5305,93.2715,95.3098,-2.0383,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,3,2027,42,2161.5492,2269.2809,-107.7317,90.7851,95.3098,-4.5247,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,4,2028,42,2103.9261,2269.2809,-165.3548,88.3649,95.3098,-6.9449,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,5,2029,42,2047.8392,2269.2809,-221.4418,86.0092,95.3098,-9.3006,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,6,2030,42,1993.2474,2269.2809,-276.0335,83.7164,95.3098,-11.5934,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,7,2031,42,1940.111,2269.2809,-329.17,81.4847,95.3098,-13.8251,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,8,2032,42,1888.391,2269.2809,-380.8899,79.3124,95.3098,-15.9974,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,9,2033,42,1838.0499,2269.2809,-431.2311,77.1981,95.3098,-18.1117,C
EU27,hyundai,AT,2024,passenger_car,I20 N,ICE,S1,10,2034,42,1789.0507,2269.2809,-480.2302,75.1401,95.3098,-20.1697,C
