company,market,scenario,dimension,variant,parameter,ti_tco2e
kia,US,S1,lifetime,central,T_c,-760858.1
kia,US,S1,lifetime,minus,T_c - 3,-334745.9
kia,US,S1,lifetime,plus,T_c + 3,-1328956.8
kia,US,S1,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,2564622.4
kia,US,S1,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-760858.1
kia,US,S1,realworld,central,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",-760858.1
kia,US,S1,realworld,high,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",-760858.1
kia,US,S1,realworld,low,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",-760858.1
kia,US,S1,vkt_proxy,central,market distance as published for tier-C markets,-760858.1
kia,US,S1,vkt_proxy,high,upper quartile of measured distances,-760858.1
kia,US,S1,vkt_proxy,low,lower quartile of measured distances,-760858.1
kia,US,S3,lifetime,central,T_c,-8532548.4
kia,US,S3,lifetime,minus,T_c - 3,-5281924.5
kia,US,S3,lifetime,plus,T_c + 3,-12207785.3
kia,US,S3,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,-5207067.8
kia,US,S3,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-8532548.4
kia,US,S3,realworld,central,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",-8532548.4
kia,US,S3,realworld,high,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",-8532548.4
kia,US,S3,realworld,low,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",-8532548.4
kia,US,S3,vkt_proxy,central,market distance as published for tier-C markets,-8532548.4
kia,US,S3,vkt_proxy,high,upper quartile of measured distances,-8532548.4
kia,US,S3,vkt_proxy,low,lower quartile of measured distances,-8532548.4
